replicate,shifted_parent_grandchild_brier,improvement_over_parent_state
0,0.08094880516309326,0.0037920736249061476
1,0.0812579727414255,0.0034829060465739053
2,0.0812615888611112,0.0034792899268882016
3,0.08091348397353004,0.003827394814469365
4,0.08156170817266935,0.0031791706153300597
5,0.08151249318380205,0.003228385604197359
6,0.08061781088958334,0.004123067898416072
7,0.08154458087740085,0.0031962979105985556
8,0.08118698068816008,0.003553898099839331
9,0.08122893047550668,0.003511948312492727
10,0.08114810137388638,0.003592777414113027
11,0.08067427037993644,0.004066608408062972
12,0.0798141034795543,0.004926775308445111
13,0.08251242206669336,0.0022284567213060463
14,0.08058610702153028,0.004154771766469126
15,0.08228629433279967,0.0024545844551997348
16,0.08019148395256354,0.0045493948354358715
17,0.08135895097422503,0.003381927813774374
18,0.08199854312435027,0.002742335663649134
19,0.08213917909287613,0.0026016996951232774
20,0.08257035828560919,0.002170520502390222
21,0.08040507819054087,0.004335800597458542
22,0.08140590754832838,0.003334971239671025
23,0.08177526790674625,0.002965610881253161
24,0.08161281778827001,0.0031280609997293984
25,0.08177029574631042,0.0029705830416889845
26,0.08241498025775527,0.002325898530244133
27,0.08117552808033521,0.0035653507076642
28,0.08177884463308044,0.002962034154918969
29,0.08185110447894174,0.002889774309057666
30,0.08069241823155691,0.004048460556442493
31,0.0827189308725786,0.0020219479154208048
32,0.08191948987941984,0.002821388908579567
33,0.07988973529150001,0.004851143496499399
34,0.08222934853372782,0.002511530254271588
35,0.0800847975505741,0.004656081237425308
36,0.08125422119391887,0.003486657594080539
37,0.08238465095927809,0.002356227828721316
38,0.08091362927675869,0.003827249511240721
39,0.0819736505364606,0.002767228251538814
40,0.08124779679809502,0.0034930819899043897
41,0.08269570273524068,0.0020451760527587237
42,0.08191235245247161,0.002828526335527798
43,0.08063614755807141,0.004104731229927994
44,0.08109466616109182,0.003646212626907591
45,0.08166217692428075,0.0030787018637186553
46,0.08232195264355832,0.002418926144441086
47,0.08068990474923518,0.004050974038764227
48,0.0813702850614821,0.0033705937265173097
49,0.08126421522498739,0.003476663563012017
50,0.08146159446112781,0.0032792843268715927
51,0.0810725527882457,0.0036683259997537104
52,0.08038479436746554,0.004356084420533868
53,0.08020260277604607,0.004538276011953335
54,0.08154017155350189,0.0032007072344975157
55,0.0802606678204363,0.004480210967563111
56,0.0810014073692273,0.0037394714187721084
57,0.08011670176484187,0.0046241770231575385
58,0.08154525720625412,0.0031956215817452865
59,0.08223727565871888,0.002503603129280524
60,0.08189530701031482,0.0028455717776845885
61,0.08050752969601219,0.004233349091987221
62,0.0822982098276393,0.002442668960360106
63,0.08146066274523797,0.0032802160427614357
64,0.08212545759095012,0.0026154211970492863
65,0.08140512850437187,0.0033357502836275366
66,0.08113309003536708,0.003607788752632332
67,0.08095418372177413,0.003786695066225282
68,0.08074382870898406,0.003997050079015352
69,0.08186682337486945,0.002874055413129961
70,0.08002247662582437,0.004718402162175034
71,0.08178839949418057,0.0029524792938188382
72,0.08131778973071158,0.0034230890572878314
73,0.08215939105967203,0.002581487728327378
