target,quadrant,count,share
imminent,Ab,1,0.0002717391304347826
imminent,aB,1745,0.4741847826086957
imminent,Ba,3,0.0008152173913043478
imminent,bA,1760,0.4782608695652174
imminent,ridge,171,0.04646739130434783
open,Ab,4,8.376261674414709e-05
open,aB,22971,0.48102776730745067
open,Ba,63,0.0013192612137203166
open,bA,22459,0.47030615236419987
open,ridge,2257,0.047263056497884995
