replicate,delta_logloss
0,0.008763133381123363
1,0.009811623582609176
2,0.00898912212308782
3,0.00845010227095522
4,0.006825136936482335
5,0.01005412078124711
6,0.0082758505833478
7,0.009486198321864186
8,0.007062698344818458
9,0.008187017395552987
10,0.00943377302767126
11,0.010501034520178108
12,0.009409311450104136
13,0.009353437254827061
14,0.008681442963802638
15,0.007516071777106889
16,0.009861882069943428
17,0.006159144901715662
18,0.010005373500870047
19,0.007094083705678655
20,0.007444960576622869
21,0.008690472838862933
22,0.010849558999847953
23,0.007785834727997332
24,0.006589676716651796
25,0.0088727903790513
26,0.009857314172754804
27,0.009658986682453774
28,0.006714794333907997
29,0.0068560620440695896
30,0.011866669723767174
31,0.006189057330135331
32,0.007599864634952639
33,0.009051232918692764
34,0.00858531324104817
35,0.008524678295278875
36,0.008418132014784195
37,0.009206097042854968
38,0.007038618942713648
39,0.009798103945890374
40,0.008803750822004259
41,0.009694585690810307
42,0.008131080485832248
43,0.009496086559356002
44,0.007969517815595923
45,0.0075436402554133405
46,0.009412979296831686
47,0.008434891048963895
48,0.005966297520519598
49,0.0110887254794276
50,0.009309047637748447
51,0.009788612577088024
52,0.0062653011281600755
53,0.0073632254649979075
54,0.009380095397457173
55,0.007994938126974993
56,0.008958329744040908
57,0.008485639317644672
58,0.008627212057477667
59,0.007632080447092754
60,0.008611621321550385
61,0.00765833535993581
62,0.008662578224403717
63,0.007129072485111344
64,0.00809235378159959
65,0.010095663483043072
66,0.010127765119309151
67,0.008807412169911497
68,0.009293437646420405
69,0.009231748649294451
70,0.0077118119997109155
71,0.00809301262193502
72,0.009361130512347406
73,0.007342364837693015
74,0.00843946713785607
75,0.009055071216979765
76,0.007324768192379761
77,0.009150089434999025
78,0.009631157758109736
79,0.00848938772338113
80,0.009817120239660837
81,0.008486401265598778
82,0.007458952324769133
83,0.007941029381869717
84,0.008529685689501184
85,0.009866728550282578
86,0.009426917328264162
87,0.005645548890662219
88,0.009512777947331049
89,0.007177661187207553
90,0.008150338483400106
91,0.009362252744031244
92,0.012433907425988017
93,0.009607334999264522
94,0.008313218393275234
95,0.006714639292843522
96,0.009590576621113548
97,0.00915304394929159
98,0.007939888383583116
99,0.009093685346364644
100,0.007677571144621842
101,0.007511782668929512
102,0.00877750100124547
103,0.008629888125745609
104,0.010787106257038439
105,0.010553216342939287
106,0.009549112811475278
107,0.00823696822456424
108,0.011025690309742472
109,0.008395974736490048
110,0.007477309051915073
111,0.009682532096090232
112,0.00862019047737385
113,0.008266564560466068
114,0.01067763462102419
115,0.010253251723981099
116,0.010276249394718037
117,0.010972389030531344
118,0.008452490444764623
119,0.008898371798318124
120,0.0094641684676263
121,0.010204457129987455
122,0.007713524365529747
123,0.01005927019571901
124,0.011043705626259354
125,0.011196667006783656
126,0.010345316554148488
127,0.007944009707444544
128,0.008624513087251458
