run,field_g,cycle,phase_fraction,time_us,x_parent,x_child_observed,x_child_full,x_child_open,x_L,x_T
EMU00066578,63.0,1,0.0,1.160232684115598,0.8217420257902044,0.4279450446939156,0.4279450446939156,0.0,,
EMU00066578,63.0,1,0.0625,1.2320173072750404,0.8596895580869997,0.0015102046177852824,0.0015102046177852824,0.07612046748871293,1.2545061896434675,1.0517142841048333
EMU00066578,63.0,1,0.125,1.3038019304344828,0.8964149342525094,0.5106539043760202,0.0,0.29289321881345165,0.663165973371344,0.9780389322225489
EMU00066578,63.0,1,0.1875,1.3755865535939253,0.9319575156237918,0.6819812385429411,0.0,0.6173165676349104,0.7880157682352125,0.9993066522188249
EMU00066578,63.0,1,0.25,1.4473711767533677,0.9663553958481093,0.7704237382228895,0.2240366251574898,0.9999999999999997,0.8327702582070324,1.020774312790656
EMU00066578,63.0,1,0.3125,1.51915579991281,0.9996454417107465,0.9798318485206429,0.4480732503149796,1.3826834323650898,0.1599626275536191,1.0407235281095983
EMU00066578,63.0,1,0.375,1.5909404230722526,1.0318633326479045,1.0468354227920005,0.749020551009227,1.707106781186548,1.4748282375451334,1.8154372723554588
EMU00066578,63.0,1,0.4375,1.662725046231695,1.0630435989870262,1.2327599122479618,1.0393632908714676,1.9238795325112872,1.6195578445590857,1.1059631291867245
EMU00066578,63.0,1,0.5,1.7345096693911373,1.0932196589555352,1.7668579626823893,1.5388383329823736,2.0,1.5242013424093677,1.0456899471534244
EMU00066578,63.0,1,0.5625,1.8062942925505796,1.1224238544976541,1.998855673696712,1.766645098471446,1.9238795325112867,1.1314496458448622,0.9996852403592141
EMU00066578,63.0,1,0.625,1.878078915710022,1.1506874859376888,1.5377681392224394,1.9884710433777664,1.7071067811865483,0.713800091954377,0.9518566933929018
EMU00066578,63.0,1,0.6875,1.9498635388694645,1.1780408455269304,1.1717004395162975,2.0,1.382683432365089,0.6138917738531474,0.8311931045135291
EMU00066578,63.0,1,0.75,2.0216481620289066,1.2045132499101316,1.161855268481608,2.0,1.0000000000000004,1.0265011361541514,0.9688738018693274
EMU00066578,63.0,1,0.8125,2.093432785188349,1.230133071546351,0.9499354460418602,2.0,0.6173165676349119,0.949033645601073,0.7187114749752046
EMU00066578,63.0,1,0.875,2.1652174083477917,1.254927769117842,0.9150324360980153,2.0,0.2928932188134522,1.0658409519894538,0.9657776935615179
EMU00066578,63.0,1,0.9375,2.237002031507234,1.278923916959581,0.6256984776051902,2.0,0.07612046748871293,1.2693128179922482,0.8062566005429466
EMU00066578,63.0,1,1.0,2.3087866546666764,1.302147233540972,0.4639271549176901,2.0,0.0,1.1372827388366098,0.959522346768121
