run,split,field_g,cycle,method,rmse,mae,direction_agreement,fallbacks
EMU00066572,calibration,20.0,1,open_loop_t382,0.15875930180495365,0.1328864695483455,0.9333333333333333,0
EMU00066572,calibration,20.0,1,linear_persistence,0.20266063555076494,0.12815769236446412,0.9333333333333333,0
EMU00066572,calibration,20.0,1,state_only,0.18126132367242698,0.10651810000866616,0.9333333333333333,0
EMU00066572,calibration,20.0,1,direction_only,0.18135726100881502,0.10605559437166111,0.9333333333333333,0
EMU00066572,calibration,20.0,1,wrong_relation,0.21579086060146666,0.12750692409250888,0.9333333333333333,0
EMU00066572,calibration,20.0,1,full_irrationality,0.17968266783542017,0.10350516984193617,0.9333333333333333,0
EMU00066574,calibration,20.0,1,open_loop_t382,0.15619247583796186,0.12928683202737587,0.9333333333333333,0
EMU00066574,calibration,20.0,1,linear_persistence,0.1431970683643425,0.10230060709805429,0.9333333333333333,0
EMU00066574,calibration,20.0,1,state_only,0.16809243849656283,0.11042442584985493,0.9333333333333333,0
EMU00066574,calibration,20.0,1,direction_only,0.15480546666134523,0.10946759530464086,0.9333333333333333,0
EMU00066574,calibration,20.0,1,wrong_relation,0.18984955569686413,0.1317162134807849,0.9333333333333333,0
EMU00066574,calibration,20.0,1,full_irrationality,0.15341186679941435,0.1069171707749159,0.9333333333333333,0
EMU00066576,calibration,20.0,1,open_loop_t382,0.16981756322857253,0.1403503618090329,0.9333333333333333,0
EMU00066576,calibration,20.0,1,linear_persistence,0.19321418568468232,0.13158832618733216,0.8666666666666667,0
EMU00066576,calibration,20.0,1,state_only,0.18143344450324841,0.10551224360273358,0.9333333333333333,0
EMU00066576,calibration,20.0,1,direction_only,0.18170873441692625,0.1081261010022059,0.9333333333333333,0
EMU00066576,calibration,20.0,1,wrong_relation,0.22488938536300324,0.1449670154623058,0.9333333333333333,0
EMU00066576,calibration,20.0,1,full_irrationality,0.18170873441692625,0.1081261010022059,0.9333333333333333,0
EMU00066577,calibration,25.0,1,open_loop_t382,0.529788758342819,0.39306439686614814,0.6666666666666666,0
EMU00066577,calibration,25.0,1,linear_persistence,0.4329876934177857,0.35114094526794076,0.4,0
EMU00066577,calibration,25.0,1,state_only,0.37665450901366254,0.24820392178998746,0.6666666666666666,0
EMU00066577,calibration,25.0,1,direction_only,0.41537555206243515,0.3342913549282461,0.4666666666666667,0
EMU00066577,calibration,25.0,1,wrong_relation,0.3900578844380857,0.31169715173758483,0.4666666666666667,0
EMU00066577,calibration,25.0,1,full_irrationality,0.4179841802493497,0.33707072383855036,0.4666666666666667,0
EMU00066571,validation,25.0,1,open_loop_t382,0.46433562317233174,0.35890233138723665,0.8666666666666667,0
EMU00066571,validation,25.0,1,linear_persistence,0.47892291501066697,0.360883969171999,0.6666666666666666,0
EMU00066571,validation,25.0,1,state_only,0.3745798252299708,0.2770277064761607,0.7333333333333333,0
EMU00066571,validation,25.0,1,direction_only,0.4073609430140068,0.29700625682684956,0.7333333333333333,0
EMU00066571,validation,25.0,1,wrong_relation,0.38794500757567657,0.2757111481511961,0.6666666666666666,0
EMU00066571,validation,25.0,1,full_irrationality,0.40803133818974485,0.30102690314804553,0.6666666666666666,0
EMU00066584,validation,20.0,1,open_loop_t382,0.14001012527471085,0.11597465168215305,0.9333333333333333,0
EMU00066584,validation,20.0,1,linear_persistence,0.166621039387269,0.11788036755017053,0.9333333333333333,0
EMU00066584,validation,20.0,1,state_only,0.1685000193144972,0.11368303466959725,0.9333333333333333,0
EMU00066584,validation,20.0,1,direction_only,0.16821293839710516,0.11500770151616811,0.9333333333333333,0
EMU00066584,validation,20.0,1,wrong_relation,0.20490595439927065,0.13062333092859385,0.9333333333333333,0
EMU00066584,validation,20.0,1,full_irrationality,0.16743661428516038,0.11329694486555376,0.9333333333333333,0
EMU00066578,holdout,63.0,1,open_loop_t382,0.3961919204171393,0.33898683488488346,0.9333333333333333,0
EMU00066578,holdout,63.0,1,linear_persistence,0.2651785886256498,0.22250155506915173,0.6,0
EMU00066578,holdout,63.0,1,state_only,0.37121689970290445,0.31645097970120245,0.9333333333333333,0
EMU00066578,holdout,63.0,1,direction_only,0.2478165353812071,0.18979606566081555,0.9333333333333333,0
EMU00066578,holdout,63.0,1,wrong_relation,0.2245191020824306,0.16754567839349585,0.8666666666666667,0
EMU00066578,holdout,63.0,1,full_irrationality,0.2523647332721893,0.19614366032955166,0.9333333333333333,0
EMU00066578,holdout,63.0,2,open_loop_t382,0.42388235063229457,0.3405762919553487,0.8666666666666667,0
EMU00066578,holdout,63.0,2,linear_persistence,0.305999433458385,0.24292743481448742,0.5333333333333333,0
EMU00066578,holdout,63.0,2,state_only,0.21786399159695874,0.17688783896564433,0.6,0
EMU00066578,holdout,63.0,2,direction_only,0.3976536400385338,0.3247620671174854,0.6666666666666666,0
EMU00066578,holdout,63.0,2,wrong_relation,0.3148392943799112,0.2425102225750754,0.6666666666666666,0
EMU00066578,holdout,63.0,2,full_irrationality,0.3985671534916986,0.32708431449748976,0.6666666666666666,0
EMU00066578,holdout,63.0,3,open_loop_t382,0.4955034370293196,0.41931146456980334,0.7333333333333333,0
EMU00066578,holdout,63.0,3,linear_persistence,0.5621755076044186,0.43180107318648375,0.3333333333333333,0
EMU00066578,holdout,63.0,3,state_only,0.4771832181890721,0.3796110904005487,0.4666666666666667,0
EMU00066578,holdout,63.0,3,direction_only,0.5323310775838932,0.4240200481642808,0.4666666666666667,0
EMU00066578,holdout,63.0,3,wrong_relation,0.45737584389818026,0.3368621971025466,0.4666666666666667,0
EMU00066578,holdout,63.0,3,full_irrationality,0.5323310775838932,0.4240200481642808,0.4666666666666667,0
EMU00066578,holdout,63.0,4,open_loop_t382,0.6167170043019864,0.4809859610897538,0.7333333333333333,0
EMU00066578,holdout,63.0,4,linear_persistence,0.6688189802972963,0.5137146656034822,0.4666666666666667,0
EMU00066578,holdout,63.0,4,state_only,0.5722828066557112,0.42273962520774055,0.4666666666666667,0
EMU00066578,holdout,63.0,4,direction_only,0.5981564320154087,0.4562631262776196,0.4,0
EMU00066578,holdout,63.0,4,wrong_relation,0.5687597401441614,0.43776381168340517,0.4,0
EMU00066578,holdout,63.0,4,full_irrationality,0.6000511759706141,0.45855773685171636,0.4,0
EMU00066578,holdout,63.0,5,open_loop_t382,0.9429891879165649,0.8165631280765431,0.4666666666666667,0
EMU00066578,holdout,63.0,5,linear_persistence,1.1344539656130128,0.976081313795667,0.26666666666666666,0
EMU00066578,holdout,63.0,5,state_only,0.9803777622321058,0.7989227049484572,0.26666666666666666,0
EMU00066578,holdout,63.0,5,direction_only,1.0175965227115826,0.8348708346227408,0.26666666666666666,0
EMU00066578,holdout,63.0,5,wrong_relation,1.0268538919843713,0.8648186298591671,0.26666666666666666,0
EMU00066578,holdout,63.0,5,full_irrationality,1.017767899034443,0.8351683881264172,0.26666666666666666,0
EMU00066579,holdout,160.0,1,open_loop_t382,0.43298093866012793,0.36197472551870385,0.7333333333333333,0
EMU00066579,holdout,160.0,1,linear_persistence,0.38929837343855933,0.31989030009800035,0.4,0
EMU00066579,holdout,160.0,1,state_only,0.37178458443490703,0.31801164574149154,0.5333333333333333,0
EMU00066579,holdout,160.0,1,direction_only,0.4517530978227088,0.37914433406623677,0.5333333333333333,0
EMU00066579,holdout,160.0,1,wrong_relation,0.39860062692276077,0.33382811428538894,0.5333333333333333,0
EMU00066579,holdout,160.0,1,full_irrationality,0.4592982406319082,0.3823938702015258,0.5333333333333333,0
EMU00066579,holdout,160.0,2,open_loop_t382,0.4814527445907535,0.39064248106737726,0.7333333333333333,0
EMU00066579,holdout,160.0,2,linear_persistence,0.26732552529588666,0.21594807565554888,0.4666666666666667,0
EMU00066579,holdout,160.0,2,state_only,0.21043208387258008,0.1843588828472375,0.6,0
EMU00066579,holdout,160.0,2,direction_only,0.3639645005854345,0.3036231633707196,0.4666666666666667,0
EMU00066579,holdout,160.0,2,wrong_relation,0.29818002034095464,0.2131717601426327,0.6,0
EMU00066579,holdout,160.0,2,full_irrationality,0.3585194524569372,0.2825386704068506,0.5333333333333333,0
EMU00066579,holdout,160.0,3,open_loop_t382,0.5049849712376724,0.4286475629042134,0.6666666666666666,0
EMU00066579,holdout,160.0,3,linear_persistence,0.3709109629502948,0.2994511744799869,0.5333333333333333,0
EMU00066579,holdout,160.0,3,state_only,0.3510880488624939,0.3077426306129128,0.7333333333333333,0
EMU00066579,holdout,160.0,3,direction_only,0.42815036223405556,0.3493544022703626,0.4666666666666667,0
EMU00066579,holdout,160.0,3,wrong_relation,0.33440023054261686,0.24633720774746445,0.5333333333333333,0
EMU00066579,holdout,160.0,3,full_irrationality,0.4021549582742559,0.32266106681155277,0.4,0
EMU00066579,holdout,160.0,6,open_loop_t382,0.6810433615653325,0.6244409085852065,0.5333333333333333,0
EMU00066579,holdout,160.0,6,linear_persistence,0.5281024376690916,0.4199472761316948,0.4,0
EMU00066579,holdout,160.0,6,state_only,0.469368732581074,0.4066963292270722,0.5333333333333333,0
EMU00066579,holdout,160.0,6,direction_only,0.4965644906555479,0.40398911802969817,0.4,0
EMU00066579,holdout,160.0,6,wrong_relation,0.447212687886064,0.36537502623692997,0.4666666666666667,0
EMU00066579,holdout,160.0,6,full_irrationality,0.4959987934595973,0.4012545093396861,0.4,0
EMU00066579,holdout,160.0,12,open_loop_t382,0.8891244805039247,0.792804675275885,0.4666666666666667,0
EMU00066579,holdout,160.0,12,linear_persistence,0.9449194300159441,0.7551488066079572,0.4666666666666667,0
EMU00066579,holdout,160.0,12,state_only,0.7376177307177763,0.5520138159153786,0.4,0
EMU00066579,holdout,160.0,12,direction_only,0.7521204883745486,0.5508791344162304,0.4,0
EMU00066579,holdout,160.0,12,wrong_relation,0.7747591619364134,0.5900839016883842,0.4,0
EMU00066579,holdout,160.0,12,full_irrationality,0.7518445846423192,0.5483287098865053,0.4,0
EMU00066579,holdout,160.0,15,open_loop_t382,0.9948832909844081,0.8486149244937222,0.5333333333333333,0
EMU00066579,holdout,160.0,15,linear_persistence,1.1339502805247992,0.9209528603955071,0.3333333333333333,0
EMU00066579,holdout,160.0,15,state_only,0.9204326762167688,0.804235567440437,0.4,0
EMU00066579,holdout,160.0,15,direction_only,0.9880117734021873,0.8224858523470119,0.4,0
EMU00066579,holdout,160.0,15,wrong_relation,1.0440624572109543,0.8398199336222042,0.3333333333333333,0
EMU00066579,holdout,160.0,15,full_irrationality,0.9907876800228366,0.8356551728985723,0.4,0
EMU00066579,holdout,160.0,16,open_loop_t382,0.8074658717967735,0.6306471282148313,0.5333333333333333,0
EMU00066579,holdout,160.0,16,linear_persistence,1.07015082338249,0.9823996740960852,0.2,0
