run,split,field_g,method,cycle_x,t0_us,t1_us,native_bins,valid_fraction,fallbacks,recursive_rmse,recursive_mae,recursive_waveform_r,recursive_direction_agreement,recursive_quadrant_agreement,recursive_turn_error,recursive_endpoint_error,cycle_y,navigator_rmse,navigator_mae,navigator_direction_agreement,navigator_fallbacks
EMU00066571,validation,25.0,direction_only,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.667932743551659,0.5503321786135311,0.5646585811374792,0.375,0.375,0.125,0.6841630967227126,1.0,0.4073609430140068,0.29700625682684956,0.7333333333333333,0.0
EMU00066571,validation,25.0,full_irrationality,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.650213876115826,0.5337589793674756,0.5704389113659466,0.375,0.375,0.125,0.6609461092764941,1.0,0.40803133818974485,0.30102690314804553,0.6666666666666666,0.0
EMU00066571,validation,25.0,linear_persistence,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,1.1710338671003557,1.021394489526031,-0.20481355000586848,0.5625,0.5625,1.0,1.3158369032772874,1.0,0.47892291501066697,0.360883969171999,0.6666666666666666,0.0
EMU00066571,validation,25.0,open_loop_t382,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.4633920471187849,0.35853576257572867,0.7893505948568088,0.8125,0.8125,0.3125,1.3158369032772874,1.0,0.46433562317233174,0.35890233138723665,0.8666666666666667,0.0
EMU00066571,validation,25.0,state_only,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.3333664411275341,0.25981220988285364,0.846991765850203,0.75,0.75,0.125,0.7563324257071743,1.0,0.3745798252299708,0.2770277064761607,0.7333333333333333,0.0
EMU00066571,validation,25.0,wrong_relation,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.7911251914478773,0.6579010290931439,0.28832627884711104,0.375,0.375,0.125,0.6219835443992736,1.0,0.38794500757567657,0.2757111481511961,0.6666666666666666,0.0
EMU00066572,calibration,20.0,direction_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.26600756454358776,0.22707936555120428,0.9483760598530291,0.875,0.875,0.125,0.11936136237930284,1.0,0.18135726100881502,0.10605559437166111,0.9333333333333333,0.0
EMU00066572,calibration,20.0,full_irrationality,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.21758748562795557,0.15527656529368172,0.9886448172876264,0.9375,0.9375,0.0625,0.0002783442875661235,1.0,0.17968266783542017,0.10350516984193617,0.9333333333333333,0.0
EMU00066572,calibration,20.0,linear_persistence,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.0753011661861511,0.8282332154620637,-0.044287588190758474,0.4375,0.4375,1.0,0.3741234524015208,1.0,0.20266063555076494,0.12815769236446412,0.9333333333333333,0.0
EMU00066572,calibration,20.0,open_loop_t382,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.14958762031944708,0.12037235335943042,0.9829106142052425,0.9375,0.9375,0.0625,0.0002783442875661235,1.0,0.15875930180495365,0.1328864695483455,0.9333333333333333,0.0
EMU00066572,calibration,20.0,state_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.4386783017012243,0.34430659448675227,0.9427889742867509,1.0,1.0,0.0,0.0002783442875661235,1.0,0.18126132367242698,0.10651810000866616,0.9333333333333333,0.0
EMU00066572,calibration,20.0,wrong_relation,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.0411244209529456,0.8198204348947836,0.07978866438378847,0.4375,0.4375,1.0,1.9264514941212147,1.0,0.21579086060146666,0.12750692409250888,0.9333333333333333,0.0
EMU00066574,calibration,20.0,direction_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.2686851603021499,0.22169778546983487,0.9487779526192316,0.875,0.875,0.125,0.11491903447656537,1.0,0.15480546666134523,0.10946759530464086,0.9333333333333333,0.0
EMU00066574,calibration,20.0,full_irrationality,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.2207241066374557,0.15798490668910203,0.9903326913932697,0.9375,0.9375,0.0625,0.003604099143570294,1.0,0.15341186679941435,0.1069171707749159,0.9333333333333333,0.0
EMU00066574,calibration,20.0,linear_persistence,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.0700763525927417,0.8261337648962751,-0.048173993579291106,0.4375,0.4375,1.0,0.4194775660253822,1.0,0.1431970683643425,0.10230060709805429,0.9333333333333333,0.0
EMU00066574,calibration,20.0,open_loop_t382,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.1472007769211243,0.11700092244278432,0.983959170064266,0.9375,0.9375,0.0625,0.003604099143570294,1.0,0.15619247583796186,0.12928683202737587,0.9333333333333333,0.0
EMU00066574,calibration,20.0,state_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.44480957804257265,0.34356778370417834,0.9435882291041338,1.0,1.0,0.0,0.003604099143570294,1.0,0.16809243849656283,0.11042442584985493,0.9333333333333333,0.0
EMU00066574,calibration,20.0,wrong_relation,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.0452382933660336,0.8211132078047003,0.07704113638826772,0.4375,0.4375,1.0,1.9220091662184773,1.0,0.18984955569686413,0.1317162134807849,0.9333333333333333,0.0
EMU00066576,calibration,20.0,direction_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.2821184977744001,0.22540309845139972,0.9418566120692589,0.875,0.875,0.125,0.09438358818426129,1.0,0.18170873441692625,0.1081261010022059,0.9333333333333333,0.0
EMU00066576,calibration,20.0,full_irrationality,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.23735507873789816,0.1641234208693395,0.9874533158300978,0.9375,0.9375,0.0625,0.010621747025576278,1.0,0.18170873441692625,0.1081261010022059,0.9333333333333333,0.0
EMU00066576,calibration,20.0,linear_persistence,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.1753928313572815,0.8870046055370745,-0.05708554996617255,0.4375,0.4375,1.0,0.08334995107212939,1.0,0.19321418568468232,0.13158832618733216,0.8666666666666667,0.0
EMU00066576,calibration,20.0,open_loop_t382,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.16028060065476965,0.1279946483248778,0.9801561621241967,0.9375,0.9375,0.0625,0.010621747025576278,1.0,0.16981756322857253,0.1403503618090329,0.9333333333333333,0.0
EMU00066576,calibration,20.0,state_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.45117848351358864,0.3484108030500906,0.9474175086225831,1.0,1.0,0.0,0.010621747025576278,1.0,0.18143344450324841,0.10551224360273358,0.9333333333333333,0.0
EMU00066576,calibration,20.0,wrong_relation,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.0481514414295685,0.8315518614394087,0.06280544061792759,0.4375,0.4375,1.0,1.8999874503262306,1.0,0.22488938536300324,0.1449670154623058,0.9333333333333333,0.0
EMU00066577,calibration,25.0,direction_only,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.7721710457968207,0.6851951614675191,0.2576020974197824,0.5,0.5,0.125,0.3027090701716273,1.0,0.41537555206243515,0.3342913549282461,0.4666666666666667,0.0
EMU00066577,calibration,25.0,full_irrationality,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.7509136508332721,0.6522573367363852,0.26894344635882933,0.5625,0.5625,0.125,0.77793405040947,1.0,0.4179841802493497,0.33707072383855036,0.4666666666666667,0.0
EMU00066577,calibration,25.0,linear_persistence,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,1.170768593635592,1.0458300733443737,-0.5969817896637437,0.375,0.375,1.0,1.4810974227943992,1.0,0.4329876934177857,0.35114094526794076,0.4,0.0
EMU00066577,calibration,25.0,open_loop_t382,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.5033406004713992,0.369061859890418,0.7480188590186589,0.625,0.625,0.25,1.4810974227943992,1.0,0.529788758342819,0.39306439686614814,0.6666666666666666,0.0
EMU00066577,calibration,25.0,state_only,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.45476050764368403,0.3552444954582342,0.7320412214869715,0.75,0.75,0.125,0.8253770801742034,1.0,0.37665450901366254,0.24820392178998746,0.6666666666666666,0.0
EMU00066577,calibration,25.0,wrong_relation,1.0,2.923786363971307,5.818142369760023,180.0,0.7647058823529411,0.0,0.8217074823875614,0.7226132386894638,0.19669497708455258,0.5625,0.5625,0.375,0.4567230248821619,1.0,0.3900578844380857,0.31169715173758483,0.4666666666666667,0.0
EMU00066578,holdout,63.0,direction_only,3.0,3.4573406252177543,4.605894595768833,72.0,0.8235294117647058,0.0,0.7546857845722736,0.6129484013251364,0.5005266752308671,0.5,0.5,0.125,0.7757509405585548,3.0,0.5323310775838932,0.4240200481642808,0.4666666666666667,0.0
EMU00066578,holdout,63.0,full_irrationality,3.0,3.4573406252177543,4.605894595768833,72.0,0.8235294117647058,0.0,0.7537707976019318,0.61086919022172,0.5019848205219134,0.4375,0.4375,0.125,0.9021902988723915,3.0,0.5323310775838932,0.4240200481642808,0.4666666666666667,0.0
EMU00066578,holdout,63.0,linear_persistence,3.0,3.4573406252177543,4.605894595768833,72.0,0.8235294117647058,0.0,1.0695290500514603,0.8696655593148181,0.019365350817038496,0.5,0.5,1.0,0.4639271549176901,3.0,0.5621755076044186,0.43180107318648375,0.4666666666666667,0.0
EMU00066578,holdout,63.0,open_loop_t382,3.0,3.4573406252177543,4.605894595768833,72.0,0.8235294117647058,0.0,0.4862074013328698,0.4060839517818239,0.7450903586608495,0.6875,0.6875,0.25,0.5784998244911406,3.0,0.4955034370293196,0.41931146456980334,0.7333333333333333,0.0
EMU00066578,holdout,63.0,state_only,3.0,3.4573406252177543,4.605894595768833,72.0,0.8235294117647058,0.0,1.0735408192929496,0.8806908528960898,-0.08345876014649962,0.5625,0.5625,0.4375,0.9820131109226276,3.0,0.4771832181890721,0.3796110904005487,0.4666666666666667,0.0
EMU00066578,holdout,63.0,wrong_relation,3.0,3.4573406252177543,4.605894595768833,72.0,0.8235294117647058,0.0,0.8128273482161236,0.6307074545808118,0.4755432073361511,0.5,0.5,0.34375,1.4215001755088594,3.0,0.45737584389818026,0.3368621971025466,0.4666666666666667,0.0
EMU00066579,holdout,160.0,direction_only,6.0,2.718057248892952,3.170300374797439,28.0,0.8235294117647058,0.0,0.7298558291782078,0.5788880745273033,0.10965002289246435,0.5,0.5,0.21875,0.4941408039914559,6.0,0.4965644906555479,0.40398911802969817,0.4,0.0
EMU00066579,holdout,160.0,full_irrationality,6.0,2.718057248892952,3.170300374797439,28.0,0.8235294117647058,0.0,0.7213660185512628,0.5769007056599316,0.10902035776958174,0.5,0.5,0.125,0.47724816861879726,6.0,0.4959987934595973,0.4012545093396861,0.4,0.0
EMU00066579,holdout,160.0,linear_persistence,6.0,2.718057248892952,3.170300374797439,28.0,0.8235294117647058,0.0,1.0380954828396571,0.8955387378720947,-0.07502052588757208,0.5625,0.5625,1.0,0.6799750891755116,6.0,0.5281024376690916,0.4199472761316948,0.4,0.0
EMU00066579,holdout,160.0,open_loop_t382,6.0,2.718057248892952,3.170300374797439,28.0,0.8235294117647058,0.0,0.6995807416476926,0.6459714467937047,0.38501514479347826,0.5625,0.5625,0.28125,0.8019553316218655,6.0,0.6810433615653325,0.6244409085852065,0.5333333333333333,0.0
EMU00066579,holdout,160.0,state_only,6.0,2.718057248892952,3.170300374797439,28.0,0.8235294117647058,0.0,1.0177324436476936,0.7981650630822796,0.05426350877605026,0.5625,0.5625,0.4375,0.9950393920310602,6.0,0.469368732581074,0.4066963292270722,0.5333333333333333,0.0
EMU00066579,holdout,160.0,wrong_relation,6.0,2.718057248892952,3.170300374797439,28.0,0.8235294117647058,0.0,0.8073274823512747,0.6684249927487315,0.28679443439372854,0.625,0.625,0.4375,1.1802274696860908,6.0,0.447212687886064,0.36537502623692997,0.4666666666666667,0.0
EMU00066580,holdout,400.0,direction_only,38.0,6.875934911134614,7.056832161496408,11.0,0.7647058823529411,0.0,0.8378409991414894,0.6018941382230546,0.4695634921721476,0.6875,0.6875,0.1875,0.1432757242697149,38.0,0.39970407994329094,0.33574302681879636,0.6666666666666666,0.0
EMU00066580,holdout,400.0,full_irrationality,38.0,6.875934911134614,7.056832161496408,11.0,0.7647058823529411,0.0,0.8378409991414894,0.6018941382230546,0.4695634921721476,0.6875,0.6875,0.1875,0.1432757242697149,38.0,0.40029922051164163,0.3389633478399424,0.6666666666666666,0.0
EMU00066580,holdout,400.0,linear_persistence,38.0,6.875934911134614,7.056832161496408,11.0,0.7647058823529411,0.0,1.2284146093346133,0.9950040251047011,0.2517388277566438,0.5,0.5,1.0,1.3681240399727754,38.0,0.4091566265103341,0.2957155066794505,0.6666666666666666,0.0
EMU00066580,holdout,400.0,open_loop_t382,38.0,6.875934911134614,7.056832161496408,11.0,0.7647058823529411,0.0,1.1204944341671106,0.9932199385711288,-0.3025078367616301,0.375,0.375,0.3125,1.3681240399727754,38.0,1.0049516827519458,0.8934839297120735,0.4666666666666667,0.0
EMU00066580,holdout,400.0,state_only,38.0,6.875934911134614,7.056832161496408,11.0,0.7647058823529411,0.0,1.1126081883828152,0.9086654439349566,0.3598869290233436,0.5,0.5,1.0,1.3681240399727754,38.0,0.5510362083813787,0.47663286174592606,0.6666666666666666,0.0
EMU00066580,holdout,400.0,wrong_relation,38.0,6.875934911134614,7.056832161496408,11.0,0.7647058823529411,0.0,0.7646724780564502,0.5500153310477832,0.4991656985819222,0.75,0.75,0.25,0.15981317766216985,38.0,0.40359479308188495,0.32583903905532663,0.6666666666666666,0.0
EMU00066584,validation,20.0,direction_only,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.24852654506818625,0.2007827691952473,0.9565168551879031,0.875,0.875,0.125,0.10390158565275698,1.0,0.16821293839710516,0.11500770151616811,0.9333333333333333,0.0
EMU00066584,validation,20.0,full_irrationality,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,0.2201748937806152,0.16076281550350155,0.9912192296371785,0.9375,0.9375,0.0625,0.00010928103594376459,1.0,0.16743661428516038,0.11329694486555376,0.9333333333333333,0.0
EMU00066584,validation,20.0,linear_persistence,1.0,3.654732954964134,7.27267796220003,226.0,1.0,0.0,1.135078109076476,0.8641112633445595,-0.031070047285987674,0.4375,0.4375,1.0,0.18973973783799958,1.0,0.166621039387269,0.11788036755017053,0.9333333333333333,0.0
