# Pp(MPa)  S-type
5.004596602316602194e-01 3.432371250707413890e-01
5.004047863501484006e-01 3.142047467233439750e-01
5.002807476759628669e-01 4.032597266035751749e-01
4.991579264705883756e-01 3.945783132530120696e-01
1.500011255461211945e+01 5.509325681492108773e-01
4.999848852550975664e+00 4.429687500000000222e-01
5.000086119433198917e+00 4.789687924016282072e-01
2.500000000000000000e+01 6.068308181096108145e-01
3.500000000000000000e+01 6.400000000000000133e-01
1.500044419666666684e+01 5.764512268102932602e-01
