# tToFail   Slip
   -96.270     0.019
   -96.270     0.018
   -96.270     0.018
   -96.170     0.012
   -96.170     0.012
   -96.170     0.012
   -96.170     0.012
   -96.170     0.012
   -96.070     0.002
   -96.070     0.002
   -96.070     0.002
   -96.070     0.002
   -96.070     0.002
   -95.970     0.002
   -95.970     0.002
   -95.970     0.002
   -95.970     0.002
   -95.970     0.002
   -95.870     0.002
   -95.870     0.002
   -95.870     0.002
   -95.870     0.002
   -95.870     0.002
   -95.770     0.005
   -95.770     0.005
   -95.770     0.005
   -95.770     0.005
   -95.770     0.005
   -95.670     0.009
   -95.670     0.009
   -95.670     0.009
   -95.670     0.009
   -95.670     0.009
   -95.570     0.018
   -95.570     0.019
   -95.570     0.019
   -95.570     0.019
   -95.570     0.019
   -95.470     0.022
   -95.470     0.022
   -95.470     0.022
   -95.470     0.022
   -95.470     0.022
   -95.369     0.021
   -95.369     0.021
   -95.369     0.021
   -95.369     0.021
   -95.369     0.021
   -95.270     0.021
   -95.270     0.021
   -95.270     0.021
   -95.270     0.021
   -95.270     0.021
   -95.170     0.020
   -95.170     0.020
   -95.170     0.020
   -95.170     0.020
   -95.170     0.020
   -95.070     0.013
   -95.070     0.013
   -95.070     0.013
   -95.070     0.013
   -95.070     0.013
   -94.970     0.003
   -94.970     0.003
   -94.970     0.003
   -94.970     0.003
   -94.970     0.003
   -94.869     0.001
   -94.869     0.001
   -94.869     0.001
   -94.869     0.001
   -94.869     0.000
   -94.770     0.002
   -94.770     0.002
   -94.770     0.002
   -94.770     0.002
   -94.770     0.002
   -94.670     0.001
   -94.670     0.001
   -94.670     0.001
   -94.670     0.001
   -94.670     0.001
   -94.570     0.003
   -94.570     0.003
   -94.570     0.003
   -94.570     0.003
   -94.570     0.003
   -94.470     0.002
   -94.470     0.002
   -94.470     0.002
   -94.470     0.002
   -94.470     0.002
   -94.370     0.001
   -94.370     0.001
   -94.370     0.001
   -94.370     0.001
   -94.370     0.001
   -94.270     0.001
   -94.270     0.001
   -94.270     0.001
   -94.270     0.001
   -94.270     0.001
   -94.170     0.002
   -94.170     0.002
   -94.170     0.002
   -94.170     0.002
   -94.170     0.002
   -94.070     0.003
   -94.070     0.003
   -94.070     0.003
   -94.070     0.003
   -94.070     0.003
   -93.970     0.005
   -93.970     0.005
   -93.970     0.005
   -93.970     0.005
   -93.970     0.005
   -93.870     0.009
   -93.870     0.009
   -93.870     0.009
   -93.870     0.009
   -93.870     0.009
   -93.770     0.020
   -93.770     0.020
   -93.770     0.020
   -93.770     0.020
   -93.770     0.020
   -93.670     0.021
   -93.670     0.021
   -93.670     0.021
   -93.670     0.021
   -93.670     0.021
   -93.569     0.021
   -93.569     0.021
   -93.569     0.021
   -93.569     0.021
   -93.569     0.021
   -93.470     0.020
   -93.470     0.020
   -93.470     0.020
   -93.470     0.020
   -93.470     0.020
   -93.370     0.013
   -93.370     0.013
   -93.370     0.013
   -93.370     0.013
   -93.370     0.013
   -93.270     0.003
   -93.270     0.003
   -93.270     0.003
   -93.270     0.003
   -93.270     0.003
   -93.170     0.003
   -93.170     0.003
   -93.170     0.003
   -93.170     0.003
   -93.170     0.002
   -93.069     0.009
   -93.069     0.009
   -93.069     0.009
   -93.069     0.009
   -93.069     0.009
   -92.970     0.018
   -92.970     0.018
   -92.970     0.018
   -92.970     0.018
   -92.970     0.018
   -92.870     0.021
   -92.870     0.021
   -92.870     0.022
   -92.870     0.022
   -92.870     0.022
   -92.770     0.020
   -92.770     0.020
   -92.770     0.020
   -92.770     0.020
   -92.770     0.020
   -92.670     0.013
   -92.670     0.013
   -92.670     0.013
   -92.670     0.013
   -92.670     0.013
   -92.569     0.003
   -92.569     0.003
   -92.569     0.003
   -92.569     0.003
   -92.569     0.003
   -92.470     0.002
   -92.470     0.002
   -92.470     0.002
   -92.470     0.002
   -92.470     0.002
   -92.370     0.002
   -92.370     0.002
   -92.370     0.002
   -92.370     0.002
   -92.370     0.002
   -92.270     0.003
   -92.270     0.003
   -92.270     0.003
   -92.270     0.003
   -92.270     0.003
   -92.170     0.007
   -92.170     0.007
   -92.170     0.007
   -92.170     0.007
   -92.170     0.007
   -92.070     0.014
   -92.070     0.014
   -92.070     0.014
   -92.070     0.014
   -92.070     0.014
   -91.970     0.020
   -91.970     0.020
   -91.970     0.020
   -91.970     0.020
   -91.970     0.020
   -91.870     0.022
   -91.870     0.022
   -91.870     0.022
   -91.870     0.022
   -91.870     0.022
   -91.770     0.022
   -91.770     0.022
   -91.770     0.022
   -91.770     0.022
   -91.770     0.022
   -91.670     0.021
   -91.670     0.021
   -91.670     0.021
   -91.670     0.021
   -91.670     0.021
   -91.570     0.018
   -91.570     0.018
   -91.570     0.018
   -91.570     0.018
   -91.570     0.018
   -91.470     0.012
   -91.470     0.012
   -91.470     0.012
   -91.470     0.012
   -91.470     0.012
   -91.370     0.004
