# Stress  Width (w)   w_min   w_max
   0.613   6.492   5.486   7.813
   0.482   6.381   4.890   8.961
   0.414   8.437   6.412   9.851
   0.367   5.977   5.126   6.828
   0.337   6.752   5.596   8.897
   0.314   5.921   5.187   6.378
   0.292   5.930   4.554   8.186
   0.270   7.161   6.196   8.505
   0.254   7.628   6.544   8.486
   0.243   6.052   5.728   6.435
   0.232   5.997   5.439   6.882
   0.223   4.642   4.028   5.055
   0.214   4.836   4.015   5.279
   0.204   4.850   3.836   5.888
   0.195   4.626   3.717   5.293
   0.186   5.645   4.645   6.099
   0.179   4.896   3.626   6.005
   0.171   3.337   3.130   3.583
   0.165   4.689   3.635   6.979
   0.160   5.910   4.732   7.140
   0.155   5.594   4.521   6.945
   0.151   4.914   4.244   6.140
   0.147   5.638   4.367   6.642
   0.143   5.384   4.632   6.240
   0.138   5.033   3.942   6.579
   0.134   5.180   4.285   6.801
   0.129   5.309   3.525   6.391
   0.126   5.537   4.770   6.732
   0.122   5.899   5.337   6.610
   0.119   5.958   4.825   6.464
   0.115   6.096   4.917   7.100
   0.112   5.698   3.731   7.585
   0.108   4.775   3.532   6.654
   0.104   4.127   3.351   5.020
   0.101   3.772   3.338   4.751
   0.099   5.007   3.922   5.853
   0.095   5.415   4.735   6.864
   0.092   6.058   4.576   7.105
   0.090   5.102   4.404   5.977
   0.088   4.491   3.753   5.959
   0.086   5.259   4.688   5.857
   0.084   5.670   5.303   6.769
   0.081   4.848   3.682   5.739
   0.080   5.525   4.519   7.185
   0.079   4.703   3.322   6.526
   0.075   5.375   5.120   5.766
   0.074   5.083   4.625   5.642
   0.073   5.006   4.044   5.617
   0.072   4.940   4.045   5.810
   0.069   5.171   4.312   6.164
   0.068   5.646   5.002   6.809
   0.066   6.256   4.684   8.419
   0.065   5.789   4.997   6.265
   0.063   4.996   4.415   6.390
   0.062   5.184   4.585   5.601
   0.060   5.533   4.675   7.263
   0.059   6.091   5.664   6.860
   0.058   5.659   4.844   6.829
   0.057   6.415   5.805   7.583
   0.055   6.934   5.130   9.233
   0.054   5.469   4.372   6.678
   0.054   5.856   5.203   6.802
   0.053   6.082   5.019   6.942
   0.052   5.522   4.646   6.578
   0.051   5.361   4.691   5.822
   0.050   6.483   5.394   7.000
   0.049   7.391   6.935   8.337
   0.048   5.567   5.207   5.883
   0.047   4.888   4.649   5.325
   0.046   5.575   4.816   6.075
   0.045   6.468   5.636   7.479
   0.044   5.343   4.478   6.347
   0.044   4.746   3.728   5.824
   0.043   5.276   4.343   7.010
   0.041   5.161   4.704   6.128
   0.041   5.880   3.936   8.443
   0.041   6.384   5.349   7.369
   0.041   5.632   4.672   6.277
   0.039   5.199   3.921   6.824
   0.038   5.432   4.115   7.137
   0.037   4.186   3.432   5.440
   0.037   4.562   3.766   5.026
   0.036   5.351   4.525   6.354
   0.035   4.981   2.973   6.956
   0.034   5.562   4.441   6.485
   0.032   5.133   4.243   5.939
   0.032   5.831   4.672   7.351
   0.030   5.012   4.223   5.960
   0.029   5.097   4.076   5.709
   0.028   5.801   4.703   7.309
   0.027   5.961   5.312   6.878
   0.026   4.335   3.932   4.755
   0.025   4.374   3.639   4.975
   0.025   4.565   3.742   5.316
   0.024   4.442   3.687   5.648
   0.023   4.051   3.006   5.404
   0.022   4.469   3.673   5.172
   0.022   4.835   4.354   5.761
   0.021   4.686   4.489   4.785
   0.021   5.522   4.988   6.113
   0.021   5.874   5.196   6.610
   0.020   6.871   5.316   9.858
   0.019   4.626   3.496   6.468
   0.019   4.346   3.730   5.166
   0.018   4.692   4.571   4.966
   0.017   4.334   3.511   5.069
   0.017   3.901   3.598   4.228
   0.016   5.923   4.371   6.951
   0.018   5.825   5.098   7.172
   0.018   4.341   3.937   4.830
   0.019   4.562   4.118   5.114
