# Time  Stress
 2834.4033 0.659
 2834.5029 0.659
 2834.6025 0.659
 2834.7021 0.659
 2834.8018 0.659
 2834.9014 0.659
 2835.0010 0.659
 2835.1006 0.659
 2835.2002 0.659
 2835.2998 0.659
 2835.3994 0.659
 2835.4990 0.659
 2835.5986 0.659
 2835.6982 0.659
 2835.7979 0.659
 2835.8975 0.659
 2835.9971 0.659
 2836.0967 0.659
 2836.1963 0.659
 2836.2959 0.659
 2836.3955 0.659
 2836.4951 0.659
 2836.5947 0.659
 2836.6943 0.659
 2836.7939 0.659
 2836.8936 0.659
 2836.9932 0.660
 2837.0928 0.660
 2837.1924 0.660
 2837.2920 0.660
 2837.3916 0.660
 2837.4912 0.660
 2837.5908 0.660
 2837.6904 0.660
 2837.7900 0.660
 2837.8896 0.660
 2837.9893 0.660
 2838.0889 0.660
 2838.1885 0.660
 2838.2881 0.659
 2838.3877 0.659
 2838.4873 0.659
 2838.5869 0.659
 2838.6865 0.659
 2838.7861 0.659
 2838.8857 0.660
 2838.9854 0.660
 2839.0850 0.660
 2839.1846 0.660
 2839.2842 0.660
 2839.3838 0.660
 2839.4834 0.660
 2839.5830 0.660
 2839.6826 0.660
 2839.7822 0.659
 2839.8818 0.659
 2839.9814 0.659
 2840.0811 0.659
 2840.1807 0.659
 2840.2803 0.660
 2840.3799 0.660
 2840.4795 0.660
 2840.5791 0.660
 2840.6787 0.660
 2840.7783 0.660
 2840.8779 0.660
 2840.9775 0.660
 2841.0771 0.660
 2841.1768 0.660
 2841.2764 0.661
 2841.3760 0.661
 2841.4756 0.661
 2841.5752 0.661
 2841.6748 0.661
 2841.7744 0.661
 2841.8740 0.661
 2841.9736 0.661
 2842.0732 0.661
 2842.1729 0.661
 2842.2725 0.661
 2842.3721 0.661
 2842.4717 0.661
 2842.5713 0.661
 2842.6709 0.661
 2842.7705 0.661
 2842.8701 0.661
 2842.9697 0.661
 2843.0693 0.661
 2843.1689 0.661
 2843.2686 0.661
 2843.3682 0.661
 2843.4678 0.661
 2843.5674 0.661
 2843.6670 0.661
 2843.7666 0.661
 2843.8662 0.661
 2843.9658 0.661
 2844.0654 0.661
