# Stress  Width (w)   w_min   w_max
   0.964   9.407   8.687   9.741
   0.937   8.472   7.899   8.971
   0.915   9.770   9.055  10.560
   0.890   9.602   9.123   9.930
   0.864   8.607   8.196   8.888
   0.838   9.212   8.542   9.639
   0.807   9.653   8.934  10.684
   0.778   9.794   9.190  10.522
   0.742   9.182   8.070  10.533
   0.705  10.048   9.211  10.678
   0.666  10.427   9.466  11.667
   0.621  10.342   9.059  11.156
   0.584  10.695   9.887  11.169
   0.553  10.296   9.024  11.111
   0.527   9.905   8.634  11.030
   0.500  10.066   8.191  11.911
   0.475   8.801   5.587  11.732
   0.451   7.820   5.423  10.465
   0.430   8.918   5.899  12.398
   0.404  10.335   5.087  12.966
   0.383   6.029   4.407   9.261
   0.364  10.038   6.946  12.123
   0.346  10.251   6.699  12.200
   0.324  11.173   5.938  15.209
   0.302  11.335   9.128  13.342
   0.284   9.599   5.718  11.142
   0.270   5.568   3.657  11.787
   0.257   6.753   4.547   8.707
   0.244   7.463   4.786   9.656
   0.229   8.177   5.146  10.255
   0.216   5.482   4.247   7.538
   0.203   4.665   3.865   5.389
   0.190   7.251   4.184  10.580
   0.174   6.134   3.712   9.688
   0.161   5.477   4.066   7.534
   0.149   4.353   3.820   4.901
   0.139   4.310   3.309   5.041
   0.130   4.468   3.606   4.816
   0.124   3.807   3.000   4.906
   0.116   5.983   5.089   7.443
   0.110   6.097   5.657   6.731
   0.104   4.830   4.501   5.260
   0.098   6.575   4.759   8.388
   0.092   6.540   4.943   9.070
   0.085   4.373   3.306   4.947
   0.078   4.163   3.667   4.845
   0.071   4.100   3.503   4.718
   0.064   3.830   2.765   4.459
   0.059   3.974   3.050   4.735
   0.054   4.312   3.432   5.066
   0.050   4.701   3.254   6.348
   0.047   4.453   3.469   5.434
   0.044   3.825   2.908   4.369
   0.041   3.968   3.337   4.710
   0.040   4.463   4.193   4.913
   0.037   3.789   3.395   4.192
   0.034   4.282   3.102   6.811
   0.032   3.474   2.935   4.170
   0.030   3.095   2.646   3.487
   0.027   2.993   2.618   3.513
   0.026   4.122   3.558   5.098
   0.024   4.421   3.478   5.611
   0.022   3.678   2.798   4.724
   0.021   3.616   3.236   3.985
   0.019   3.288   2.483   3.932
   0.018   2.810   2.354   3.203
   0.017   4.407   3.510   5.669
   0.017   4.032   3.093   4.658
   0.015   3.848   3.220   4.497
   0.015   3.256   2.728   3.932
   0.014   3.162   2.656   3.667
   0.013   3.843   3.342   4.336
   0.012   5.088   3.902   6.046
   0.010   5.695   3.324   7.171
   0.011   4.499   3.561   6.049
   0.009   4.420   4.097   4.849
   0.008   6.572   4.632   9.739
   0.007   4.322   3.418   6.678
   0.006   4.375   2.882   6.324
   0.006   3.382   2.728   4.856
   0.011   3.627   2.902   4.375
   0.013   4.109   2.846   5.355
   0.015   3.179   2.787   3.834
   0.014   4.526   3.556   5.533
   0.013   4.455   3.446   5.849
   0.012   3.268   2.658   3.759
   0.011   4.004   3.241   4.843
   0.009   4.486   3.757   5.459
   0.007   4.599   3.909   5.305
   0.006   4.005   2.938   5.104
   0.005   3.792   3.036   4.663
   0.004   4.989   4.378   5.655
   0.003   4.600   3.608   5.797
   0.001   3.778   3.337   4.447
   0.001   3.856   3.511   4.160
   0.002   3.223   2.532   4.244
   0.001   3.188   2.782   3.576
   0.001   3.327   2.893   3.738
   0.001   4.085   3.297   4.643
   0.002   4.070   3.735   4.406
   0.002   4.513   4.089   4.830
   0.001   4.116   3.598   4.764
   0.002   3.649   3.338   4.262
   0.001   4.325   3.649   5.723
   0.001   4.340   3.843   4.934
   0.001   4.544   3.998   5.188
   0.001   3.775   3.088   4.248
   0.001   3.353   3.063   3.740
   0.002   3.584   2.901   4.515
   0.001   3.572   2.972   4.668
   0.001   5.662   4.949   7.065
   0.001   5.106   4.841   5.445
   0.001   4.659   3.647   5.197
   0.001   3.977   3.312   5.199
   0.001   4.139   3.301   5.561
   0.000   3.791   3.130   4.657
   0.002   3.830   3.025   4.673
   0.001   3.939   3.027   4.814
   0.001   4.639   3.373   5.873
   0.001   5.357   4.726   6.190
   0.001   4.164   3.177   5.183
   0.001   3.997   3.247   4.556
   0.002   3.486   2.841   4.754
   0.002   5.104   3.651   6.216
   0.002   5.396   4.478   6.521
   0.003   4.235   3.447   4.645
   0.002   4.287   3.786   4.878
