# Stress  Width (w)   w_min   w_max
   0.762   6.494   5.987   7.120
   0.661   5.880   4.380   7.104
   0.599   6.033   4.558   7.129
   0.552   6.292   5.520   7.538
   0.514   5.208   4.505   6.319
   0.481   5.932   4.242   9.397
   0.452   4.317   3.207   5.870
   0.426   4.239   3.091   4.844
   0.404   4.799   3.923   5.685
   0.385   5.431   4.338   6.799
   0.367   6.014   5.183   6.694
   0.351   5.450   4.685   5.891
   0.336   5.112   4.007   6.087
   0.325   4.869   4.271   6.016
   0.313   5.507   4.625   7.603
   0.305   3.961   3.024   4.811
   0.296   3.266   2.475   4.127
   0.286   3.466   3.025   4.355
   0.277   4.040   3.107   5.398
   0.267   4.813   3.758   5.990
   0.262   4.422   3.998   5.219
   0.258   4.405   3.760   5.029
   0.254   5.231   4.052   6.107
   0.251   5.225   3.778   6.258
   0.247   5.211   4.478   6.452
   0.243   5.063   4.722   5.430
   0.239   4.361   3.417   5.257
   0.233   4.072   3.275   4.915
   0.231   4.957   3.682   6.168
   0.226   5.225   4.535   5.968
   0.222   5.266   4.394   5.742
   0.218   5.148   4.838   5.873
   0.214   4.554   4.168   4.735
   0.208   4.737   4.198   4.957
   0.205   5.171   4.060   6.834
   0.201   5.865   5.090   6.682
   0.196   5.641   4.701   6.779
   0.191   5.005   4.560   5.718
   0.186   5.027   4.637   5.444
   0.183   4.863   4.118   5.251
   0.180   4.204   3.862   4.992
   0.177   4.675   4.325   5.368
   0.175   4.959   4.350   6.297
   0.172   5.250   4.070   8.242
   0.169   6.647   4.396   7.691
   0.165   5.105   4.086   6.061
   0.161   5.039   4.295   6.253
   0.157   5.083   4.847   5.482
   0.154   4.494   3.806   5.152
   0.151   4.109   3.142   4.978
   0.149   4.686   3.480   5.292
   0.145   6.148   5.582   7.683
   0.141   5.258   4.158   5.850
   0.137   3.613   2.920   4.909
   0.135   3.441   3.153   3.885
   0.130   5.018   4.503   5.520
   0.127   5.123   3.732   5.991
   0.123   4.428   2.891   6.287
   0.120   5.078   4.071   7.051
   0.117   5.570   3.766   6.258
   0.115   5.727   3.514   6.439
   0.111   4.379   3.261   5.743
   0.108   4.720   4.031   5.351
   0.107   4.131   3.797   4.789
   0.106   4.323   3.881   4.943
   0.104   5.012   3.269   6.594
   0.103   4.117   2.496   5.489
   0.101   4.107   2.573   4.858
   0.099   4.677   3.994   5.661
   0.097   4.963   3.644   7.578
   0.095   3.179   2.508   4.256
   0.093   5.190   3.689   6.719
   0.091   4.484   4.075   5.319
   0.088   3.484   2.922   4.302
   0.086   3.630   2.452   6.329
   0.084   4.181   2.828   6.695
   0.082   3.612   2.852   4.666
   0.079   3.623   3.148   4.614
   0.077   6.116   4.325   7.483
   0.075   5.230   3.515   7.600
   0.073   5.279   3.260   8.141
   0.071   4.608   3.847   5.457
   0.070   4.102   3.662   4.860
   0.068   4.184   3.820   5.186
   0.066   3.978   3.345   5.195
   0.065   5.138   4.197   5.811
   0.064   5.681   4.994   6.417
   0.061   7.629   6.921   8.149
   0.060   6.575   5.294   7.669
   0.059   4.837   3.179   5.985
   0.056   3.600   3.019   5.204
   0.055   5.246   3.120   7.430
   0.053   5.113   3.835   6.324
   0.052   4.475   4.047   4.911
   0.049   4.952   3.892   6.243
   0.048   5.621   3.772   7.455
   0.046   4.891   4.247   5.548
   0.044   5.177   4.580   5.540
   0.043   3.851   2.898   5.939
   0.042   4.294   3.345   5.596
   0.040   4.488   3.366   5.927
   0.039   4.239   2.960   5.741
   0.038   5.853   5.357   6.801
   0.037   4.309   3.404   5.568
   0.035   2.496   2.260   2.737
   0.034   2.917   2.249   3.946
   0.032   3.329   2.718   5.448
   0.032   6.039   5.144   7.828
   0.030   4.415   3.516   5.143
   0.030   3.821   3.202   4.636
   0.028   5.150   4.060   6.742
   0.028   5.631   3.860   7.889
   0.026   5.210   4.073   6.429
   0.026   6.482   4.786   7.361
   0.025   4.581   3.887   5.695
   0.025   5.017   4.151   5.824
   0.025   5.651   4.417   7.015
   0.039   5.613   4.970   6.382
   0.040   5.330   4.067   6.442
   0.041   6.017   4.144   7.432
   0.044   5.745   4.486   7.557
   0.046   5.718   5.395   6.103
   0.046   6.193   5.932   6.599
   0.047   6.153   5.759   6.428
   0.048   4.297   3.583   5.237
   0.049   3.915   3.667   4.302
   0.050   3.538   2.970   4.213
   0.051   3.189   3.026   3.332
   0.052   4.109   3.385   4.910
   0.051   5.023   3.517   6.362
   0.051   4.839   3.398   5.609
   0.050   5.467   3.449   6.417
   0.047   4.059   2.819   4.811
   0.046   3.719   2.915   4.282
   0.044   4.854   4.122   5.722
   0.042   4.920   4.089   5.805
   0.041   3.714   2.602   4.205
   0.039   5.505   4.653   8.327
   0.036   6.489   4.895   9.245
   0.034   4.817   4.353   5.370
   0.032   4.308   3.964   4.674
   0.031   4.960   3.849   5.834
   0.028   5.293   4.376   6.247
   0.027   5.155   3.238   7.688
   0.026   5.336   4.382   6.245
   0.024   4.608   4.240   4.871
   0.023   4.575   2.762   6.871
   0.021   6.951   5.391   7.955
   0.020   5.873   4.692   7.557
   0.019   5.990   4.347   7.378
   0.018   4.728   3.442   6.180
   0.017   4.621   3.669   5.175
   0.016   5.632   5.146   5.989
   0.016   5.564   5.120   5.974
   0.016   4.174   3.734   4.927
   0.015   4.679   3.848   6.469
   0.014   4.660   3.561   5.679
   0.013   5.012   3.557   6.605
   0.013   5.814   4.092   7.341
   0.011   5.667   4.133   7.404
   0.010   4.523   3.905   5.166
   0.010   5.137   4.404   6.853
   0.008   4.948   3.450   7.629
   0.009   3.974   3.343   4.370
   0.007   4.608   4.212   5.720
   0.007   6.222   3.947   7.502
   0.006   3.966   3.198   4.845
   0.004   4.151   3.398   4.931
   0.003   5.056   4.305   5.829
   0.002   4.796   3.581   6.080
   0.002   5.251   4.055   6.781
