Time2	v(16-15)	v(1-3)	v(4-2)	v(9-10)	v(8-6)	v(5-7)	v(12-14)
13.587	5.9146	5.9892	5.7015	5.5237	5.7453	5.9926	5.4912
43.588	5.9190	6.0613	5.7027	5.5222	5.7512	5.9932	5.4885
73.589	5.9223	6.0623	5.7041	5.5229	5.7498	5.9924	5.4890
103.59	5.9207	6.0615	5.7032	5.5224	5.7491	5.9943	5.4897
133.59	5.9161	5.9915	5.7040	5.5246	5.7550	5.9929	5.4913
163.59	5.9271	5.9903	5.7036	5.5245	5.7458	5.9947	5.4923
193.59	5.9314	5.9919	5.7046	5.5100	5.7427	5.9946	5.4941
223.59	5.9346	5.9923	5.7050	5.5272	5.7565	5.9949	5.4958
253.59	5.9231	6.0651	5.7078	5.5261	5.7523	5.9950	5.4933
283.59	5.9258	6.0681	5.7086	5.5266	5.7510	5.9952	5.4946
313.60	5.9257	6.0682	5.7093	5.5280	5.7547	5.9965	5.4956
343.60	5.9282	5.9951	5.7083	5.5292	5.7548	5.9967	5.4994
373.60	5.9323	6.0676	5.7101	5.5276	5.7561	5.9971	5.4978
403.60	5.9227	5.9960	5.7094	5.5300	5.7522	5.9986	5.5020
433.60	5.9235	6.0684	5.7112	5.5289	5.7540	5.9995	5.5000
463.60	5.9361	5.9957	5.7103	5.5306	5.7615	6.0000	5.5033
493.60	5.9411	5.9978	5.7121	5.5323	5.7534	6.0005	5.5059
523.60	5.9436	5.9978	5.7121	5.5326	5.7588	6.0012	5.5059
553.60	5.9447	6.0742	5.7145	5.5331	5.7542	6.0014	5.5071
583.60	5.9530	5.9995	5.7136	5.5340	5.7563	6.0025	5.5087
613.60	5.9410	6.0744	5.7169	5.5338	5.7566	6.0027	5.5081
643.60	5.9527	6.0010	5.7155	5.5347	5.7555	6.0035	5.5112
673.60	5.9551	6.0029	5.7172	5.5356	5.7575	6.0041	5.5121
703.61	5.9678	6.0735	5.7170	5.5349	5.7633	6.0059	5.5110
733.61	5.9641	6.0766	5.7196	5.5359	5.7581	6.0057	5.5131
763.61	5.9596	6.0780	5.7206	5.5373	5.7646	6.0061	5.5140
793.61	5.9692	6.0754	5.7194	5.5364	5.7572	6.0084	5.5143
823.61	5.9794	6.0051	5.7195	5.5390	5.7570	6.0067	5.5182
853.61	5.9683	6.0801	5.7222	5.5386	5.7557	6.0081	5.5176
883.61	5.9844	6.0050	5.7211	5.5398	5.7618	6.0088	5.5188
913.61	5.9783	6.0062	5.7213	5.5399	5.7655	6.0089	5.5204
943.61	5.9731	6.0078	5.7219	5.5405	5.7642	6.0094	5.5229
973.61	5.9844	6.0817	5.7244	5.5402	5.7645	6.0108	5.5229
1003.6	5.9785	6.0836	5.7249	5.5408	5.7657	6.0111	5.5237
1033.6	5.9870	6.0095	5.7241	5.5426	5.7678	6.0109	5.5252
1063.6	5.9841	6.0087	5.7239	5.5422	5.7703	6.0120	5.5256
1093.6	6.0070	6.0088	5.7252	5.5420	5.7650	6.0126	5.5263
1123.6	6.0083	6.0847	5.7282	5.5427	5.7649	6.0134	5.5279
1153.6	6.0286	6.0106	5.7264	5.5435	5.7643	6.0133	5.5282
1183.6	6.0245	6.0867	5.7276	5.5438	5.7670	6.0138	5.5295
1213.6	6.0242	6.0121	5.7273	5.5447	5.7626	6.0142	5.5307
1243.6	6.0201	6.0860	5.7288	5.5434	5.7672	6.0164	5.5315
1273.6	6.0267	6.0872	5.7304	5.5442	5.7668	6.0163	5.5324
