# Time  Volume
   2834.44     0.001
   2834.56     0.001
   2834.68     0.001
   2834.80     0.001
   2834.86     0.001
   2834.98     0.001
   2835.10     0.001
   2835.22     0.001
   2835.34     0.001
   2835.46     0.001
   2835.52     0.001
   2835.64     0.001
   2835.76     0.001
   2835.88     0.001
   2836.00     0.001
   2836.12     0.001
   2836.18     0.001
   2836.30     0.001
   2836.42     0.001
   2836.54     0.001
   2836.66     0.001
   2836.78     0.001
   2836.84     0.001
   2836.96     0.001
   2837.08     0.001
   2837.20     0.001
   2837.32     0.001
   2837.38     0.001
   2837.50     0.001
   2837.62     0.001
   2837.74     0.001
   2837.86     0.001
   2837.92     0.001
   2838.04     0.001
   2838.16     0.001
   2838.28     0.001
   2838.40     0.001
   2838.52     0.001
   2838.58     0.001
   2838.70     0.001
   2838.82     0.001
   2838.94     0.001
   2839.06     0.001
   2839.12     0.001
   2839.24     0.001
   2839.36     0.001
   2839.48     0.001
   2839.60     0.001
   2839.72     0.001
   2839.78     0.001
   2839.90     0.001
   2840.02     0.001
   2840.14     0.001
   2840.26     0.001
   2840.38     0.001
   2840.44     0.001
   2840.56     0.001
   2840.68     0.001
   2840.80     0.001
   2840.92     0.001
   2841.04     0.001
   2841.10     0.001
   2841.22     0.001
   2841.34     0.001
   2841.46     0.000
   2841.58     0.000
   2841.64     0.000
   2841.76     0.000
   2841.88     0.000
   2842.00     0.000
   2842.12     0.000
   2842.18     0.000
   2842.30     0.000
   2842.42     0.000
   2842.54     0.000
   2842.66     0.000
   2842.78     0.000
   2842.84     0.000
   2842.96     0.000
   2843.08     0.000
   2843.20     0.000
   2843.32     0.000
   2843.38     0.000
   2843.50     0.000
   2843.62     0.000
   2843.74     0.000
   2843.86     0.000
   2843.98     0.000
   2844.04     0.000
   2844.16     0.000
   2844.28     0.000
   2844.40     0.000
   2844.52     0.000
   2844.64     0.000
   2844.70     0.000
   2844.82     0.000
   2844.94     0.000
   2845.06     0.000
   2845.18     0.000
   2845.24     0.000
   2845.36     0.000
   2845.48     0.001
   2845.60     0.001
   2845.72     0.001
   2845.84     0.001
   2845.90     0.001
   2846.02     0.001
   2846.14     0.001
   2846.26     0.001
   2846.38     0.001
   2846.50     0.001
   2846.56     0.001
   2846.68     0.001
   2846.80     0.001
   2846.92     0.001
   2847.04     0.001
   2847.10     0.001
   2847.22     0.001
   2847.34     0.001
   2847.46     0.001
   2847.58     0.001
   2847.64     0.001
   2847.76     0.001
   2847.88     0.001
   2848.00     0.001
   2848.12     0.001
   2848.24     0.001
   2848.30     0.001
   2848.42     0.001
   2848.54     0.001
   2848.66     0.001
   2848.78     0.001
   2848.84     0.001
   2848.96     0.001
   2849.08     0.001
   2849.20     0.001
   2849.32     0.001
   2849.44     0.001
   2849.50     0.001
   2849.62     0.001
   2849.74     0.001
   2849.86     0.001
   2849.98     0.001
   2850.10     0.001
   2850.16     0.001
   2850.28     0.001
   2850.40     0.001
   2850.52     0.001
   2850.64     0.001
   2850.76     0.001
   2850.82     0.001
   2850.94     0.001
   2851.06     0.001
   2851.18     0.001
   2851.30     0.001
   2851.36     0.001
   2851.48     0.001
   2851.60     0.001
   2851.72     0.001
   2851.84     0.001
   2851.90     0.001
   2852.02     0.001
   2852.14     0.001
   2852.26     0.001
   2852.38     0.001
   2852.50     0.001
   2852.56     0.001
   2852.68     0.001
   2852.80     0.001
   2852.92     0.001
   2853.04     0.001
   2853.16     0.001
   2853.22     0.001
   2853.34     0.001
   2853.46     0.001
   2853.58     0.001
   2853.70     0.001
   2853.76     0.001
   2853.88     0.001
   2854.00     0.001
   2854.12     0.001
   2854.24     0.000
   2854.36     0.001
   2854.42     0.000
   2854.54     0.000
   2854.66     0.000
   2854.78     0.000
   2854.90     0.000
   2854.96     0.000
   2855.08     0.000
   2855.20     0.000
   2855.32     0.000
   2855.44     0.000
   2855.50     0.000
   2855.62     0.000
   2855.74     0.000
   2855.86     0.000
   2855.98     0.000
   2856.10     0.000
   2856.16     0.000
   2856.28     0.000
   2856.40     0.000
   2856.52     0.000
   2856.64     0.000
   2856.76     0.000
   2856.82     0.000
   2856.94     0.000
   2857.06     0.000
   2857.18     0.000
   2857.30     0.000
   2857.36     0.000
   2857.48     0.000
   2857.60     0.000
   2857.72     0.000
   2857.84     0.000
   2857.96     0.000
   2858.02     0.000
   2858.14     0.000
   2858.26     0.000
   2858.38     0.000
   2858.50     0.000
   2858.56     0.000
   2858.68     0.000
   2858.80     0.000
   2858.92     0.000
   2859.04     0.000
   2859.16     0.000
   2859.22     0.000
   2859.34     0.000
   2859.46     0.000
   2859.58     0.000
   2859.70     0.000
   2859.76     0.000
   2859.88     0.000
   2860.00     0.000
   2860.12     0.000
   2860.24     0.000
   2860.36     0.000
   2860.42     0.000
   2860.54     0.000
   2860.66     0.000
   2860.78     0.000
   2860.90     0.000
   2861.02     0.000
   2861.08     0.000
   2861.20     0.000
   2861.32     0.000
   2861.44     0.000
   2861.56     0.000
   2861.68     0.000
   2861.74     0.000
   2861.86     0.000
   2861.98     0.000
   2862.10     0.001
   2862.22     0.001
   2862.28     0.001
   2862.40     0.001
   2862.52     0.001
   2862.64     0.001
   2862.76     0.001
   2862.82     0.001
   2862.94     0.001
   2863.06     0.001
   2863.18     0.001
   2863.30     0.001
   2863.42     0.001
   2863.48     0.001
   2863.60     0.001
   2863.72     0.001
   2863.84     0.001
   2863.96     0.001
   2864.02     0.001
   2864.14     0.001
   2864.26     0.001
   2864.38     0.001
   2864.50     0.001
   2864.62     0.001
   2864.68     0.000
   2864.80     0.000
   2864.92     0.000
   2865.04     0.000
   2865.16     0.000
   2865.28     0.000
   2865.34     0.000
   2865.46     0.000
   2865.58     0.000
   2865.70     0.000
   2865.82     0.000
   2865.88     0.000
   2866.00     0.000
   2866.12     0.000
   2866.24     0.000
   2866.36     0.000
   2866.48     0.000
   2866.54     0.000
   2866.66     0.000
   2866.78     0.000
   2866.90     0.000
   2867.02     0.000
   2867.08     0.000
   2867.20     0.000
   2867.32     0.000
   2867.44     0.000
   2867.56     0.000
   2867.68     0.000
   2867.74     0.000
   2867.86     0.000
   2867.98     0.000
   2868.10     0.000
   2868.22     0.000
   2868.28     0.000
   2868.40     0.000
   2868.52     0.000
   2868.64     0.000
   2868.76     0.000
   2868.88     0.000
   2868.94     0.000
   2869.06     0.000
   2869.18     0.000
   2869.30     0.000
   2869.42     0.000
   2869.54     0.000
   2869.60     0.000
   2869.72     0.000
   2869.84     0.000
   2869.96     0.000
   2870.08     0.000
   2870.14     0.000
   2870.26     0.000
   2870.38     0.000
   2870.50     0.000
   2870.62     0.000
   2870.68     0.000
   2870.80     0.000
   2870.92     0.000
   2871.04     0.000
   2871.16     0.000
   2871.28     0.000
   2871.34     0.000
   2871.46     0.000
   2871.58     0.001
   2871.70     0.000
   2871.82     0.001
   2871.88     0.001
   2872.00     0.001
   2872.12     0.001
   2872.24     0.001
   2872.36     0.001
   2872.48     0.001
   2872.54     0.001
   2872.66     0.001
   2872.78     0.001
   2872.90     0.001
   2873.02     0.001
   2873.14     0.001
   2873.20     0.001
   2873.32     0.001
   2873.44     0.001
   2873.56     0.001
   2873.68     0.001
   2873.74     0.001
   2873.86     0.001
   2873.98     0.000
   2874.10     0.001
   2874.22     0.001
   2874.34     0.001
   2874.40     0.001
   2874.52     0.001
   2874.64     0.001
   2874.76     0.001
   2874.88     0.001
   2874.94     0.001
   2875.06     0.001
   2875.18     0.001
   2875.30     0.001
   2875.42     0.001
   2875.54     0.001
   2875.60     0.001
   2875.72     0.001
   2875.84     0.001
   2875.96     0.000
   2876.08     0.001
   2876.14     0.000
   2876.26     0.000
   2876.38     0.000
   2876.50     0.000
   2876.62     0.000
   2876.74     0.000
   2876.80     0.000
   2876.92     0.000
   2877.04     0.000
   2877.16     0.000
   2877.28     0.000
   2877.34     0.000
   2877.46     0.000
   2877.58     0.000
   2877.70     0.000
   2877.82     0.000
   2877.94     0.000
   2878.00     0.000
   2878.12     0.000
   2878.24     0.000
   2878.36     0.000
   2878.48     0.000
   2878.60     0.000
   2878.66     0.000
   2878.78     0.000
   2878.90     0.000
   2879.02     0.000
   2879.14     0.000
   2879.20     0.000
   2879.32     0.000
   2879.44     0.000
   2879.56     0.000
   2879.68     0.000
   2879.80     0.000
   2879.86     0.000
   2879.98     0.000
   2880.10     0.000
   2880.22     0.000
   2880.34     0.000
   2880.40     0.000
   2880.52     0.000
   2880.64     0.000
   2880.76     0.000
   2880.88     0.000
   2881.00     0.000
   2881.06     0.000
   2881.18     0.000
   2881.30     0.000
   2881.42     0.000
   2881.54     0.000
   2881.66     0.000
   2881.72     0.000
   2881.84     0.000
   2881.96     0.000
   2882.08     0.000
   2882.20     0.000
   2882.26     0.000
   2882.38     0.000
   2882.50     0.000
   2882.62     0.000
   2882.74     0.000
   2882.86     0.000
   2882.92     0.001
   2883.04     0.000
   2883.16     0.000
   2883.28     0.000
   2883.40     0.000
   2883.52     0.000
   2883.58     0.000
   2883.70     0.000
   2883.82     0.000
   2883.94     0.000
   2884.06     0.000
   2884.12     0.000
   2884.24     0.000
   2884.36     0.001
   2884.48     0.001
   2884.60     0.000
   2884.66     0.001
   2884.78     0.001
   2884.90     0.001
   2885.02     0.001
   2885.14     0.001
   2885.26     0.001
   2885.32     0.001
   2885.44     0.001
   2885.56     0.001
   2885.68     0.001
   2885.80     0.001
   2885.86     0.001
   2885.98     0.001
   2886.10     0.001
   2886.22     0.001
   2886.34     0.001
   2886.46     0.001
   2886.52     0.001
   2886.64     0.001
   2886.76     0.001
   2886.88     0.001
   2887.00     0.001
   2887.06     0.001
   2887.18     0.001
   2887.30     0.001
   2887.42     0.001
   2887.54     0.001
   2887.66     0.001
   2887.72     0.001
   2887.84     0.001
   2887.96     0.001
   2888.08     0.001
   2888.20     0.001
   2888.26     0.001
   2888.38     0.001
   2888.50     0.001
   2888.62     0.001
   2888.74     0.001
   2888.86     0.001
   2888.92     0.001
   2889.04     0.001
   2889.16     0.000
   2889.28     0.000
   2889.40     0.000
   2889.52     0.000
   2889.58     0.000
