Time2	v(16-15)	v(1-3)	v(4-2)	v(9-10)	v(8-6)	v(5-7)	v(12-14)
17.739	6.2730	5.8302	5.4337	5.2759	5.5940	5.9868	5.4368
47.740	6.2764	5.8300	5.4339	5.2759	5.5940	5.9868	5.4351
77.741	6.2799	5.8305	5.4341	5.2766	5.5942	5.9871	5.4333
107.74	6.2672	5.8313	5.4343	5.2774	5.5943	5.9874	5.4299
137.74	6.2573	5.8318	5.4347	5.2781	5.5945	5.9877	5.4380
167.74	6.2810	5.8326	5.4347	5.2789	5.5947	5.9881	5.4326
197.75	6.2804	5.8318	5.4362	5.2796	5.5949	5.9884	5.4330
257.75	6.2791	5.8336	5.4361	5.2811	5.5952	5.9890	5.4343
287.75	6.2785	5.8338	5.4376	5.2819	5.5954	5.9893	5.4388
317.75	6.2840	5.8350	5.4366	5.2826	5.5955	5.9896	5.3906
347.75	6.2839	5.8345	5.4385	5.2834	5.5957	5.9900	5.3950
377.75	6.2839	5.8359	5.4381	5.2841	5.5959	5.9903	5.3955
407.75	6.2957	5.8356	5.4398	5.2849	5.5961	5.9906	5.3985
437.75	6.2890	5.8359	5.4391	5.2856	5.5962	5.9909	5.3966
467.75	6.2914	5.8365	5.4406	5.2863	5.5964	5.9912	5.3973
497.76	6.2889	5.8380	5.4401	5.2871	5.5966	5.9915	5.3983
557.76	6.2963	5.8388	5.4400	5.2886	5.5969	5.9922	5.3991
587.76	6.3001	5.8382	5.4410	5.2893	5.5971	5.9925	5.4015
617.76	6.3161	5.8384	5.4421	5.2901	5.5973	5.9928	5.4028
647.76	6.3004	5.8393	5.4413	5.2908	5.5974	5.9931	5.4024
677.76	6.3115	5.8399	5.4430	5.2916	5.5976	5.9934	5.4022
707.76	6.3053	5.8410	5.4424	5.2923	5.5978	5.9937	5.4036
737.76	6.3187	5.8399	5.4442	5.2931	5.5979	5.9941	5.4060
767.77	6.3073	5.8406	5.4442	5.2938	5.5981	5.9944	5.4060
797.77	6.3193	5.8424	5.4437	5.2946	5.5983	5.9947	5.4066
857.77	6.3188	5.8416	5.4459	5.2960	5.5986	5.9953	5.4088
887.77	6.3351	5.8417	5.4460	5.2968	5.5988	5.9956	5.4080
917.77	6.3205	5.8423	5.4467	5.2975	5.5990	5.9960	5.4080
947.77	6.3297	5.8426	5.4454	5.2983	5.5991	5.9963	5.4116
977.77	6.3363	5.8432	5.4466	5.2990	5.5993	5.9966	5.4104
1007.8	6.3197	5.8432	5.4461	5.2998	5.5995	5.9969	5.4120
1037.8	6.3294	5.8440	5.4476	5.3005	5.5996	5.9972	5.4109
1067.8	6.3366	5.8464	5.4462	5.3013	5.5998	5.9975	5.4095
1097.8	6.3332	5.8439	5.4461	5.3020	5.6000	5.9978	5.4134
1127.8	6.3399	5.8454	5.4472	5.3028	5.6002	5.9982	5.4114
1157.8	6.3440	5.8450	5.4481	5.3035	5.6003	5.9985	5.4128
1187.8	6.3408	5.8448	5.4500	5.3043	5.6005	5.9988	5.4130
1217.8	6.3538	5.8452	5.4497	5.3050	5.6007	5.9991	5.4126
1247.8	6.3550	5.8471	5.4478	5.3057	5.6008	5.9994	5.4115
1277.8	6.3690	5.8474	5.4485	5.3065	5.6010	5.9997	5.4127
1307.8	6.3557	5.8461	5.4486	5.3072	5.6012	6.0001	5.4136
1337.8	6.3653	5.8464	5.4502	5.3080	5.6014	6.0004	5.4149
1367.8	6.3749	5.8482	5.4498	5.3087	5.6015	6.0007	5.4139
1397.8	6.3647	5.8459	5.4532	5.3095	5.6017	6.0010	5.4141
1427.8	6.3556	5.8474	5.4500	5.3102	5.6019	6.0013	5.4150
1457.8	6.3648	5.8460	5.4530	5.3110	5.6020	6.0016	5.4152
1487.8	6.3640	5.8468	5.4538	5.3117	5.6022	6.0020	5.4172
1517.8	6.3690	5.8471	5.4524	5.3125	5.6024	6.0023	5.4169
1547.8	6.3727	5.8464	5.4531	5.3132	5.6026	6.0026	5.4181
1577.8	6.3790	5.8461	5.4536	5.3140	5.6027	6.0029	5.4185
1637.8	6.3733	5.8480	5.4531	5.3149	5.6026	6.0030	5.4185
1667.8	6.3712	5.8488	5.4532	5.3150	5.6022	6.0030	5.4179
1697.8	6.3829	5.8481	5.4535	5.3152	5.6019	6.0030	5.4181
1727.8	6.3719	5.8463	5.4533	5.3153	5.6015	6.0031	5.4186
1757.8	6.3772	5.8472	5.4550	5.3155	5.6012	6.0031	5.4188
