tau_us,objective
1.8,648897.8591971085
1.801,645411.7374880719
1.8019999999999998,641937.3237496194
1.8029999999999997,638474.5973884752
1.8039999999999996,635023.537855882
1.8049999999999995,631584.1246475008
1.8059999999999994,628156.3373033033
1.8069999999999993,624740.1554074897
1.8079999999999992,621335.5585883912
1.808999999999999,617942.5265183367
1.809999999999999,614561.0389136021
1.8109999999999988,611191.0755342786
1.8119999999999987,607832.616184187
1.8129999999999986,604485.6407107835
1.8139999999999985,601150.1290050483
1.8149999999999984,597826.0610014137
1.8159999999999983,594513.4166776247
1.8169999999999982,591212.1760546998
1.817999999999998,587922.3191967837
1.818999999999998,584643.8262110724
1.8199999999999978,581376.6772477218
1.8209999999999977,578120.8524997439
1.8219999999999976,574876.3322029096
1.8229999999999975,571643.0966356578
1.8239999999999974,568421.1261189972
1.8249999999999973,565210.401016421
1.8259999999999972,562010.9017337954
1.826999999999997,558822.608719282
1.827999999999997,555645.5024632245
1.8289999999999969,552479.5634980795
1.8299999999999967,549324.7723983038
1.8309999999999966,546181.1097802669
1.8319999999999965,543048.5563021507
1.8329999999999964,539927.0926638645
1.8339999999999963,536816.6996069638
1.8349999999999962,533717.3579145251
1.835999999999996,530629.0484110925
1.836999999999996,527551.7519625438
1.8379999999999959,524485.4494760355
1.8389999999999957,521430.1218998891
1.8399999999999956,518385.75022350956
1.8409999999999955,515352.3154772966
1.8419999999999954,512329.7987325216
1.8429999999999953,509318.1811012993
1.8439999999999952,506317.4437364375
1.844999999999995,503327.5678313633
1.845999999999995,500348.5346200631
1.8469999999999949,497380.32537695096
1.8479999999999948,494422.92141679535
1.8489999999999946,491476.3040946472
1.8499999999999945,488540.45480571466
1.8509999999999944,485615.3549852981
1.8519999999999943,482700.9861087034
1.8529999999999942,479797.3296911396
1.853999999999994,476904.3672876334
1.854999999999994,474022.08049295755
1.8559999999999939,471150.4509415112
1.8569999999999938,468289.46030726464
1.8579999999999937,465439.0903036459
1.8589999999999935,462599.3226834786
1.8599999999999934,459770.1392388569
1.8609999999999933,456951.52180110326
1.8619999999999932,454143.4522406603
1.862999999999993,451345.9124669864
1.863999999999993,448558.8844284979
1.8649999999999929,445782.35011247057
1.8659999999999928,443016.2915449585
1.8669999999999927,440260.6907906926
1.8679999999999926,437515.5299530295
1.8689999999999924,434780.7911738122
1.8699999999999923,432056.4566333451
1.8709999999999922,429342.5085502596
1.8719999999999921,426638.9291814648
1.872999999999992,423945.70082203345
1.873999999999992,421262.8058051437
1.8749999999999918,418590.2265019767
1.8759999999999917,415927.9453216396
1.8769999999999916,413275.94471108913
1.8779999999999915,410634.20715501945
1.8789999999999913,408002.7151758207
1.8799999999999912,405381.45133347035
1.8809999999999911,402770.3982254403
1.881999999999991,400169.5384866487
1.882999999999991,397578.8547893286
1.8839999999999908,394998.32984300493
1.8849999999999907,392427.9463943638
1.8859999999999906,389867.6872271834
1.8869999999999905,387317.53516227053
1.8879999999999904,384777.47305735096
1.8889999999999902,382247.4838070102
1.8899999999999901,379727.55034259905
1.89099999999999,377217.6556321639
1.89199999999999,374717.78268035065
1.8929999999999898,372227.9145283405
1.8939999999999897,369748.0342537556
1.8949999999999896,367278.124970591
1.8959999999999895,364818.169829122
1.8969999999999894,362368.1520158366
1.8979999999999893,359928.054753341
1.8989999999999891,357497.8613003029
1.899999999999989,355077.5549513457
1.900999999999989,352667.11903699243
1.9019999999999888,350266.53692356707
1.9029999999999887,347875.7920131254
1.9039999999999886,345494.86774338846
1.9049999999999885,343123.7475876345
1.9059999999999884,340762.4150546515
1.9069999999999883,338410.85368864477
1.9079999999999881,336069.04706915346
1.908999999999988,333736.978810981
1.909999999999988,331414.6325641206
1.9109999999999878,329101.9920136756
1.9119999999999877,326799.04087977135
1.9129999999999876,324505.76291749603
1.9139999999999875,322222.14191681566
1.9149999999999874,319948.1617024908
1.9159999999999873,317683.8061340116
1.9169999999999872,315429.0591055153
1.917999999999987,313183.90454572084
1.918999999999987,310948.3264178264
1.9199999999999868,308722.30871946324
1.9209999999999867,306505.835482617
1.9219999999999866,304298.8907735227
1.9229999999999865,302101.4586926318
1.9239999999999864,299913.52337450156
1.9249999999999863,297735.06898774474
1.9259999999999862,295566.0797349413
1.926999999999986,293406.53985257493
1.927999999999986,291256.43361094093
1.9289999999999858,289115.7453140959
1.9299999999999857,286984.4592997679
1.9309999999999856,284862.5599392854
1.9319999999999855,282750.03163750254
1.9329999999999854,280646.8588327329
1.9339999999999853,278553.0259966766
1.9349999999999852,276468.51763433183
1.935999999999985,274393.31828394276
1.936999999999985,272327.41251691285
1.9379999999999848,270270.7849377406
1.9389999999999847,268223.42018393666
1.9399999999999846,266185.3029259715
1.9409999999999845,264156.4178671778
1.9419999999999844,262136.74974369654
1.9429999999999843,260126.28332440733
1.9439999999999842,258125.0034108372
1.944999999999984,256132.89483712302
1.945999999999984,254149.9424698945
1.9469999999999839,252176.13120825333
1.9479999999999837,250211.4459836637
1.9489999999999836,248255.87175990408
1.9499999999999835,246309.39353298038
1.9509999999999834,244371.99633108042
1.9519999999999833,242443.6652144688
1.9529999999999832,240524.38527545074
1.953999999999983,238614.1416382845
1.954999999999983,236712.91945911178
1.9559999999999829,234820.7039258992
1.9569999999999828,232937.48025835396
1.9579999999999826,231063.23370787286
1.9589999999999825,229197.9495574546
1.9599999999999824,227341.61312164585
1.9609999999999823,225494.20974646296
1.9619999999999822,223655.72480933327
1.962999999999982,221826.1437190194
1.963999999999982,220005.45191554874
1.9649999999999819,218193.63487015982
1.9659999999999818,216390.67808521228
1.9669999999999817,214596.5670941485
1.9679999999999815,212811.287461396
1.9689999999999814,211034.82478231846
1.9699999999999813,209267.16468314573
1.9709999999999812,207508.2928209122
1.971999999999981,205758.19488336908
1.972999999999981,204016.85658894264
1.9739999999999809,202284.26368665608
1.9749999999999808,200560.40195606346
1.9759999999999807,198845.25720718628
1.9769999999999806,197138.81528044617
1.9779999999999804,195441.0620465973
1.9789999999999803,193751.98340666585
1.9799999999999802,192071.56529188016
1.98099999999998,190399.79366361102
1.98199999999998,188736.65451329548
1.98299999999998,187082.13386237813
1.9839999999999798,185436.21776225942
1.9849999999999797,183798.89229420226
1.9859999999999796,182170.1435693003
1.9869999999999794,180549.95772838348
1.9879999999999793,178938.32094197173
1.9889999999999792,177335.2194102163
1.9899999999999791,175740.63936281318
1.990999999999979,174154.5670589588
1.991999999999979,172576.98878727967
1.9929999999999788,171007.89086577515
1.9939999999999787,169447.25964173884
1.9949999999999786,167895.08149171036
1.9959999999999785,166351.34282140987
1.9969999999999783,164816.03006566648
1.9979999999999782,163289.1296883727
1.9989999999999781,161770.62818239754
1.999999999999978,160260.51206955116
2.000999999999978,158758.7679005006
2.0019999999999776,157265.38225472116
2.002999999999978,155780.34174042387
2.0039999999999774,154303.63299450732
2.0049999999999777,152835.24268248893
2.005999999999977,151375.15749843567
2.0069999999999775,149923.36416491552
2.007999999999977,148479.84943293117
2.0089999999999772,147044.60008185534
2.0099999999999767,145617.6029193775
2.010999999999977,144198.84478144214
2.0119999999999765,142788.3125321771
2.012999999999977,141385.9930638429
2.0139999999999763,139991.873296779
2.0149999999999766,138605.9401793272
2.015999999999976,137228.1806877832
2.0169999999999764,135858.5818263326
2.017999999999976,134497.13062699797
2.018999999999976,133143.81414956626
2.0199999999999756,131798.61948153886
2.020999999999976,130461.53373806989
2.0219999999999754,129132.54406191503
2.0229999999999757,127811.63762335232
2.023999999999975,126498.80162014684
2.0249999999999755,125194.0232774716
2.025999999999975,123897.28984787116
2.0269999999999753,122608.5886111782
2.0279999999999747,121327.90687447795
2.028999999999975,120055.23197203051
2.0299999999999745,118790.55126523135
2.030999999999975,117533.85214253457
2.0319999999999743,116285.12201941795
2.0329999999999746,115044.34833830086
2.033999999999974,113811.51856850357
2.0349999999999744,112586.62020618329
2.035999999999974,111369.64077428225
2.036999999999974,110160.56782246288
2.0379999999999736,108959.38892705916
2.038999999999974,107766.09169100839
2.0399999999999734,106580.66374381329
2.0409999999999737,105403.09274146479
2.041999999999973,104233.36636640102
2.0429999999999735,103071.4723274411
2.043999999999973,101917.39835973963
2.0449999999999733,100771.13222471553
2.0459999999999727,99632.66171001666
2.046999999999973,98501.97462944164
2.0479999999999725,97379.05882290193
2.048999999999973,96263.90215636085
2.0499999999999723,95156.49252177434
2.0509999999999726,94056.81783704025
2.051999999999972,92964.86604594126
2.0529999999999724,91880.62511809244
2.053999999999972,90804.08304888719
2.054999999999972,89735.22785943603
2.0559999999999716,88674.04759652213
2.056999999999972,87620.53033253422
2.0579999999999714,86574.66416542798
2.0589999999999717,85536.43721865556
2.059999999999971,84505.83764112985
2.0609999999999715,83482.85360715185
2.061999999999971,82467.47331636971
2.0629999999999713,81459.68499372165
2.0639999999999707,80459.47688938362
2.064999999999971,79466.8372787104
2.0659999999999705,78481.75446219211
2.066999999999971,77504.21676539398
2.0679999999999703,76534.21253890377
2.0689999999999706,75571.73015828078
2.06999999999997,74616.75802400679
