split,alias_class,period,phase_bin,x_spin_mid,measure,mean,se,run_count,count_weight
development,primary,RF off,11,0.71875,release_residual,-0.039373847468606275,0.0901348612910977,13,3338995.0
development,primary,RF off,11,0.71875,parent_release_ARA,1.0074973049368299,0.031913779145861326,13,3338995.0
development,primary,RF off,11,0.71875,time_us,1.9124163212305794,0.06754549151027664,13,3338995.0
development,primary,RF off,12,0.78125,direction_cos,-0.062086303710472635,0.0059283501578427135,13,3016446.0
development,primary,RF off,12,0.78125,direction_sin,0.05722827647680184,0.007439533733274747,13,3016446.0
development,primary,RF off,12,0.78125,release_residual,-0.09301307908178048,0.061482232438850905,13,3016446.0
development,primary,RF off,12,0.78125,parent_release_ARA,1.0496692677681188,0.02933341557353566,13,3016446.0
development,primary,RF off,12,0.78125,time_us,2.0492747376647427,0.070823602029778,13,3016446.0
development,primary,RF off,13,0.84375,direction_cos,-0.07195133421803675,0.00841619618118135,13,3254079.0
development,primary,RF off,13,0.84375,direction_sin,0.04283705343511682,0.007335661383778737,13,3254079.0
development,primary,RF off,13,0.84375,release_residual,-0.16886895293975918,0.09382857386851486,13,3254079.0
development,primary,RF off,13,0.84375,parent_release_ARA,1.0426986319127898,0.027843041473131065,13,3254079.0
development,primary,RF off,13,0.84375,time_us,2.0047866347531555,0.07613021100202927,13,3254079.0
development,primary,RF off,14,0.90625,direction_cos,-0.07679135070042863,0.005654638963861569,13,3228430.0
development,primary,RF off,14,0.90625,direction_sin,0.024577103274991272,0.007577458026009447,13,3228430.0
development,primary,RF off,14,0.90625,release_residual,0.08028863107927925,0.061733080313644176,13,3228430.0
development,primary,RF off,14,0.90625,parent_release_ARA,1.0407937896665223,0.04452059976256057,13,3228430.0
development,primary,RF off,14,0.90625,time_us,1.9969950896392266,0.11327354126247025,13,3228430.0
development,primary,RF off,15,0.96875,direction_cos,-0.08090116972001017,0.007212926781439464,13,3120258.0
development,primary,RF off,15,0.96875,direction_sin,0.010237981885047518,0.00668543256451247,13,3120258.0
development,primary,RF off,15,0.96875,release_residual,-0.09294156830714566,0.0714189296798415,13,3120258.0
development,primary,RF off,15,0.96875,parent_release_ARA,1.0155521456154761,0.029735273148858144,13,3120258.0
development,primary,RF off,15,0.96875,time_us,1.935814362176276,0.06589821469008349,13,3120258.0
development,primary,RF off,16,1.03125,direction_cos,-0.08185755452592858,0.0060207127099532725,13,3222164.0
development,primary,RF off,16,1.03125,direction_sin,-0.007579225860761299,0.006947000080384928,13,3222164.0
development,primary,RF off,16,1.03125,release_residual,0.005514280169227384,0.08207744968719533,13,3222164.0
development,primary,RF off,16,1.03125,parent_release_ARA,1.033755052051755,0.02062248139394707,13,3222164.0
development,primary,RF off,16,1.03125,time_us,1.96369034717852,0.05468082174667415,13,3222164.0
development,primary,RF off,17,1.09375,direction_cos,-0.07822376405054562,0.006241132742257443,13,2999952.0
development,primary,RF off,17,1.09375,direction_sin,-0.01940591764710933,0.004922225630810274,13,2999952.0
development,primary,RF off,17,1.09375,release_residual,0.1564250028582364,0.06405206064090327,13,2999952.0
development,primary,RF off,17,1.09375,parent_release_ARA,1.0860757862582038,0.04894325871205274,13,2999952.0
development,primary,RF off,17,1.09375,time_us,2.1386320803879495,0.15273408719214007,13,2999952.0
development,primary,RF off,18,1.15625,direction_cos,-0.06328273251729105,0.005686381191736988,13,3220926.0
development,primary,RF off,18,1.15625,direction_sin,-0.04419682895468709,0.006454019894699205,13,3220926.0
development,primary,RF off,18,1.15625,release_residual,0.011043683942717165,0.06650999837954287,13,3220926.0
development,primary,RF off,18,1.15625,parent_release_ARA,1.0365199399975233,0.02618006345024196,13,3220926.0
development,primary,RF off,18,1.15625,time_us,1.9939075876579073,0.06534798361439281,13,3220926.0
development,primary,RF off,19,1.21875,direction_cos,-0.059328017334913996,0.004051124014591221,13,3207852.0
development,primary,RF off,19,1.21875,direction_sin,-0.051750662332230586,0.006159504877336622,13,3207852.0
development,primary,RF off,19,1.21875,release_residual,0.14154528818410617,0.07540974841650602,13,3207852.0
development,primary,RF off,19,1.21875,parent_release_ARA,1.0387304086939737,0.028312350032080436,13,3207852.0
development,primary,RF off,19,1.21875,time_us,1.9763853586538778,0.059652110623187,13,3207852.0
development,primary,RF off,20,1.28125,direction_cos,-0.04813147006334673,0.005161468158888725,13,3135994.0
development,primary,RF off,20,1.28125,direction_sin,-0.04924347186509527,0.007181345998872386,13,3135994.0
development,primary,RF off,20,1.28125,release_residual,-0.057555637903270104,0.05388873027176666,13,3135994.0
development,primary,RF off,20,1.28125,parent_release_ARA,1.0370752413269355,0.02222875120742207,13,3135994.0
development,primary,RF off,20,1.28125,time_us,2.0070556538471886,0.05422627476213478,13,3135994.0
