split,event_id,run,period,field_G,direction,lag_reads,offset_reads,offset_us,child_U,child_R,parent_H,signed_parent_Q
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-8,-0.5119999084214655,0.7530424402845635,1.2248714868197825,0.7275241398793751,1.7343123623620118
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-7,-0.4479999542236328,0.7974525138445935,1.1985981085322195,0.7362494500643721,1.736428189142837
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-6,-0.3840000629425049,0.8348491299365972,1.1719231412859923,0.7275643656721017,1.736409085458969
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-5,-0.3199999961595026,0.8318780892939655,1.138096447801659,0.7107399061021987,1.734393770256593
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-4,-0.2560000419616699,0.8410893569804384,1.1086415174051494,0.7084938899434798,1.7339200247580164
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-3,-0.19199997517866763,0.8889906704646664,1.0836559068934302,0.7201460421458956,1.7332606050305974
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-2,-0.12800002098083496,0.9422922086606006,1.061985930500326,0.7499421085849731,1.735499058202322
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,-1,-0.06399995419783266,0.9901125161439298,1.046762399785171,0.7571521205031878,1.7348955762212417
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,0,0.0,1.0124051385463764,1.0124051385463764,0.7419185461936977,1.7287390752923015
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,1,0.0640000667830023,1.0260212097389143,0.9648976447182673,0.7331231698969012,1.7253685686217664
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,2,0.12800002098083496,1.0095302877264152,0.9020220253077421,0.7392805914287429,1.7205182461940123
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,3,0.19200008776383726,1.0076488545525335,0.8606750309620191,0.7499011940614584,1.7203119665566717
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,4,0.2560000419616699,0.9810912012212509,0.8441459337570478,0.780329687006893,1.7263365072668515
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,5,0.31999993324279785,0.9023917056607323,0.819062418320347,0.7718605280822609,1.7256974500526008
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,6,0.38400000002580015,0.8782981786705535,0.802092341657122,0.7659335100592679,1.7222703969167026
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,7,0.4479999542236328,0.856642706570377,0.7642579191338066,0.7339818659071426,1.7144000414164295
development,EMU00069983|RF off|0|lag-6,EMU00069983,RF off,50.0,R_to_U,-6,8,0.5120000210066351,0.8472579957535058,0.7114697238105131,0.7017243992902228,1.698073659332254
development,EMU00069983|RF on|0|lag-6,EMU00069983,RF on,50.0,R_to_U,-6,-8,-0.5120000691823106,0.7626879722838723,1.202433104558603,0.7015329639229597,1.7317602436435546
development,EMU00069983|RF on|0|lag-6,EMU00069983,RF on,50.0,R_to_U,-6,-7,-0.4479999542236328,0.8028713881549712,1.1778339773655362,0.7017835582112205,1.737088838481663
development,EMU00069983|RF on|0|lag-6,EMU00069983,RF on,50.0,R_to_U,-6,-6,-0.3840000482014756,0.8219739191392015,1.1488298260592993,0.713061061475303,1.7418080521219959
