split,lag_reads,lag_us_median,event_count,field_count,parent_ridge_distance,ridge_exposure
development,-8,-0.5120010375976562,17,10,0.07129973835744141,0.047124355636338516
development,-7,-0.4480009078979492,20,12,0.06712020196481067,0.07507108352206648
development,-6,-0.3840007781982422,21,13,0.04967519394618192,0.07511245558291069
development,-5,-0.32000064849853516,23,13,0.05667482405768115,0.08589247245187326
development,-4,-0.2560005187988281,26,13,0.060452788647443356,0.13031653377944957
development,-3,-0.1920003890991211,27,13,0.06656444479928514,0.11024936723713313
development,-2,-0.12800025939941406,29,13,0.06538485582804848,0.10786010808368968
development,-1,-0.06400012969970703,29,13,0.06601302686435478,0.09947626603498355
development,0,0.0,30,13,0.0662910832754281,0.10011117106649492
development,1,0.06400012969970703,30,13,0.07028875921030664,0.10672241218516548
development,2,0.12800025939941406,30,13,0.0736329864604221,0.09993627346263201
development,3,0.1920003890991211,30,13,0.07462972283388586,0.1014416130022171
development,4,0.2560005187988281,30,13,0.08409939703213998,0.10040584407886693
development,5,0.32000064849853516,30,13,0.09650854084457328,0.09398158429863263
development,6,0.3840007781982422,30,13,0.08584160205852387,0.09307276970262507
development,7,0.4480009078979492,30,13,0.0898574007956966,0.11082498065843477
development,8,0.5120010375976562,30,13,0.1152759729301685,0.08889668449169086
