lag_frames,run_id,sector,share
1,SN103_ToyouraSand_060_g0,contracting reverse,0.14814814814814814
1,SN103_ToyouraSand_060_g0,expanding reverse,0.1728395061728395
1,SN103_ToyouraSand_060_g0,expanding forward,0.6172839506172839
1,SN103_ToyouraSand_060_g0,contracting forward,0.06172839506172839
1,SN103_ToyouraSand_060_g1,contracting reverse,0.1
1,SN103_ToyouraSand_060_g1,expanding reverse,0.12
1,SN103_ToyouraSand_060_g1,expanding forward,0.74
1,SN103_ToyouraSand_060_g1,contracting forward,0.04
1,SN103_ToyouraSand_060_g2,contracting reverse,0.3111111111111111
1,SN103_ToyouraSand_060_g2,expanding reverse,0.07777777777777778
1,SN103_ToyouraSand_060_g2,expanding forward,0.6111111111111112
1,SN103_ToyouraSand_060_g2,contracting forward,0.0
1,SN103_ToyouraSand_060_g3,contracting reverse,0.36619718309859156
1,SN103_ToyouraSand_060_g3,expanding reverse,0.09859154929577464
1,SN103_ToyouraSand_060_g3,expanding forward,0.5352112676056338
1,SN103_ToyouraSand_060_g3,contracting forward,0.0
1,SN103_ToyouraSand_060_g4,contracting reverse,0.2702702702702703
1,SN103_ToyouraSand_060_g4,expanding reverse,0.14864864864864866
1,SN103_ToyouraSand_060_g4,expanding forward,0.581081081081081
1,SN103_ToyouraSand_060_g4,contracting forward,0.0
1,SN103_ToyouraSand_060_g5,contracting reverse,0.36
1,SN103_ToyouraSand_060_g5,expanding reverse,0.08
1,SN103_ToyouraSand_060_g5,expanding forward,0.56
1,SN103_ToyouraSand_060_g5,contracting forward,0.0
1,SN103_ToyouraSand_060_g6,contracting reverse,0.2708333333333333
1,SN103_ToyouraSand_060_g6,expanding reverse,0.16666666666666666
1,SN103_ToyouraSand_060_g6,expanding forward,0.5520833333333334
1,SN103_ToyouraSand_060_g6,contracting forward,0.010416666666666666
1,SN103_ToyouraSand_060_g7,contracting reverse,0.14423076923076922
1,SN103_ToyouraSand_060_g7,expanding reverse,0.5480769230769231
1,SN103_ToyouraSand_060_g7,expanding forward,0.28846153846153844
1,SN103_ToyouraSand_060_g7,contracting forward,0.019230769230769232
1,SN103_ToyouraSand_120_g0,contracting reverse,0.3468208092485549
1,SN103_ToyouraSand_120_g0,expanding reverse,0.12716763005780346
1,SN103_ToyouraSand_120_g0,expanding forward,0.44508670520231214
1,SN103_ToyouraSand_120_g0,contracting forward,0.08092485549132948
1,SN103_ToyouraSand_120_g1,contracting reverse,0.2835820895522388
1,SN103_ToyouraSand_120_g1,expanding reverse,0.014925373134328358
1,SN103_ToyouraSand_120_g1,expanding forward,0.7014925373134329
1,SN103_ToyouraSand_120_g1,contracting forward,0.0
1,SN103_ToyouraSand_120_g2,contracting reverse,0.31736526946107785
1,SN103_ToyouraSand_120_g2,expanding reverse,0.10778443113772455
1,SN103_ToyouraSand_120_g2,expanding forward,0.5269461077844312
1,SN103_ToyouraSand_120_g2,contracting forward,0.04790419161676647
1,SN103_ToyouraSand_120_g3,contracting reverse,0.25333333333333335
1,SN103_ToyouraSand_120_g3,expanding reverse,0.14666666666666667
1,SN103_ToyouraSand_120_g3,expanding forward,0.5866666666666667
1,SN103_ToyouraSand_120_g3,contracting forward,0.013333333333333334
1,SN103_ToyouraSand_120_g4,contracting reverse,0.24
1,SN103_ToyouraSand_120_g4,expanding reverse,0.0
1,SN103_ToyouraSand_120_g4,expanding forward,0.76
1,SN103_ToyouraSand_120_g4,contracting forward,0.0
1,SN103_ToyouraSand_120_g5,contracting reverse,0.3392857142857143
1,SN103_ToyouraSand_120_g5,expanding reverse,0.0
1,SN103_ToyouraSand_120_g5,expanding forward,0.6607142857142857
1,SN103_ToyouraSand_120_g5,contracting forward,0.0
1,SN103_ToyouraSand_120_g6,contracting reverse,0.2777777777777778
1,SN103_ToyouraSand_120_g6,expanding reverse,0.0
1,SN103_ToyouraSand_120_g6,expanding forward,0.7222222222222222
1,SN103_ToyouraSand_120_g6,contracting forward,0.0
1,SN103_ToyouraSand_120_g7,contracting reverse,0.3783783783783784
1,SN103_ToyouraSand_120_g7,expanding reverse,0.036036036036036036
1,SN103_ToyouraSand_120_g7,expanding forward,0.5765765765765766
1,SN103_ToyouraSand_120_g7,contracting forward,0.009009009009009009
3,SN103_ToyouraSand_060_g0,contracting reverse,0.15789473684210525
3,SN103_ToyouraSand_060_g0,expanding reverse,0.23684210526315788
3,SN103_ToyouraSand_060_g0,expanding forward,0.5
3,SN103_ToyouraSand_060_g0,contracting forward,0.10526315789473684
3,SN103_ToyouraSand_060_g1,contracting reverse,0.1702127659574468
3,SN103_ToyouraSand_060_g1,expanding reverse,0.1276595744680851
3,SN103_ToyouraSand_060_g1,expanding forward,0.574468085106383
3,SN103_ToyouraSand_060_g1,contracting forward,0.1276595744680851
3,SN103_ToyouraSand_060_g2,contracting reverse,0.27906976744186046
3,SN103_ToyouraSand_060_g2,expanding reverse,0.11627906976744186
3,SN103_ToyouraSand_060_g2,expanding forward,0.5581395348837209
3,SN103_ToyouraSand_060_g2,contracting forward,0.046511627906976744
3,SN103_ToyouraSand_060_g3,contracting reverse,0.417910447761194
3,SN103_ToyouraSand_060_g3,expanding reverse,0.1044776119402985
3,SN103_ToyouraSand_060_g3,expanding forward,0.47761194029850745
