video,run_id,gravity_index,event_type,frame,time_s,threshold,transition_frame,x_radial,y_angular,sector
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g0,0,terminal_closure,150,4.966666666666667,0.7517693409795934,150,0.9981887032510978,1.0042982041098876,contracting forward
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g1,1,terminal_closure,401,4.3,0.6405813011605916,401,1.0041363483252055,1.0022771302496278,expanding forward
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g2,2,terminal_closure,711,5.3,0.6326184392230336,649,1.000115099115613,1.0000733926324712,expanding forward
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g3,3,terminal_closure,945,4.033333333333333,0.5758431530104695,900,0.9998307282204257,0.999892077110787,contracting reverse
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g4,4,terminal_closure,1239,4.033333333333333,0.4738772171379274,1197,1.0000206446879183,1.0000131255372458,expanding forward
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g5,5,terminal_closure,1514,3.9,0.528477423988102,1477,1.0001068403325988,1.000068116089972,expanding forward
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g6,6,terminal_closure,1828,4.533333333333333,0.5924187494781727,1795,1.0000121252778549,1.0000077182228901,expanding forward
SN103_ToyouraSand_060.mp4,SN103_ToyouraSand_060_g7,7,terminal_closure,2118,4.766666666666667,0.7177855736367248,2090,1.000002711608518,0.9999986330204996,expanding reverse
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g0,0,terminal_closure,196,6.5,0.7018428164319993,196,0.9838081280850749,0.9910278041935155,contracting reverse
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g0,0,microjam_release,95,3.1333333333333333,0.7018428164319993,95,1.0853062141829166,1.0323885910481387,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g1,1,terminal_closure,487,6.066666666666666,0.6227792952731435,379,1.0000139116111777,1.000008858113497,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g2,2,terminal_closure,777,6.666666666666667,0.6038800559861237,777,1.0005204925279065,1.000337667759652,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g3,3,terminal_closure,1001,4.7,0.6247199033632701,941,1.0000588365168883,1.0000374857702587,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g4,4,terminal_closure,1271,4.666666666666667,0.4952164185729368,1213,1.000000962417469,1.000000612695689,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g5,5,terminal_closure,1578,5.6,0.5270502556595519,1531,1.0000053759063972,1.000003422665906,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g6,6,terminal_closure,1789,3.3,0.551056112911654,1749,1.0000057484074598,1.0000036598443847,expanding forward
SN103_ToyouraSand_120.mp4,SN103_ToyouraSand_120_g7,7,terminal_closure,2115,4.9,0.5278715122377213,2084,0.9990887860008685,0.9994136926599425,contracting reverse
