gate,requirement,record_hits,records_total,passed,observed
G1 waveform,waveform_r>=0.80 and RMSE<=0.30 in >=7/9 records,3,9,False,3/9 records
G2 movement,direction/quadrant>=0.75 and turn_error<=0.10 in >=7/9,3,9,False,3/9 records
G3 closure,endpoint<=0.20 and angular error<=0.15 in >=7/9,3,9,False,3/9 records
G4 four-state,four-state improves RMSE or direction by >=0.05 in >=5/9,0,9,False,0/9 records
G5 lineage,correct lineage improves RMSE or waveform_r by >=0.05 in >=5/9,3,9,False,3/9 records
G6 parent,coarse parent r>=0.90 and RMSE<=0.20 in >=7/9,1,9,False,1/9 records
