gate,passed,value,detail
G1 radial recovery,True,1.0,"{""medians"": {""contraction"": 0.14710835386963794, ""expansion"": 1.8528916461303622, ""neutral"": 1.0}, ""min_family_accuracy"": 1.0}"
G2 history recovery across radius,True,0.9565217391304348,"{""min_radial_accuracy"": 0.9565217391304348, ""irrational_improve"": 1.0, ""family_rho"": {""continuous stochastic"": 0.10898395243785129, ""deterministic chaos"": 0.04442526552415155, ""finite stochastic"": 0.013457712428836161, ""irrational rotation"": 1.0000000000000002, ""periodic rational"": 1.0000000000000002}}"
G3 radial inversion,True,0.0,"{""x_c"": 0.0, ""x_p"": 0.0, ""x_r"": 0.0, ""mean_rho"": 0.0}"
G4 phase reflection,True,0.0,"{""x_l"": 0.0, ""x_p"": 0.0, ""x_r"": 0.0, ""mean_rho"": 3.469446951953614e-18}"
G5 chronology specificity,True,,"{""periodic rational delta_x_r"": 1.9720609704403471, ""periodic rational abs_delta_x_l"": 0.0, ""periodic rational abs_delta_x_p"": 0.0, ""irrational rotation delta_x_r"": 1.9729265623155314, ""irrational rotation abs_delta_x_l"": 0.0, ""irrational rotation abs_delta_x_p"": 0.0, ""deterministic chaos delta_x_r"": 1.9999348856971437, ""deterministic chaos abs_delta_x_l"": 0.0, ""deterministic chaos abs_delta_x_p"": 0.0, ""periodic rational rho_drop"": 0.9866223469955199, ""irrational rotation rho_drop"": 0.9864845933921256}"
G6 endpoint/history distinction,True,,"{""max_endpoint_error"": 0.0, ""periodic rational delta_x_r"": 1.9780545763235864, ""periodic rational abs_delta_x_l"": 0.0, ""periodic rational abs_delta_x_p"": 0.0, ""irrational rotation delta_x_r"": 1.970953951907089, ""irrational rotation abs_delta_x_l"": 0.0, ""irrational rotation abs_delta_x_p"": 0.0, ""deterministic chaos delta_x_r"": 1.9999348856971437, ""deterministic chaos abs_delta_x_l"": 0.0, ""deterministic chaos abs_delta_x_p"": 0.0, ""periodic rational rho_drop"": 0.9865488999207798, ""irrational rotation rho_drop"": 0.9865096389434904}"
G7 factorial independence,True,,"{""max_x_l_range"": 0.0, ""max_x_p_range"": 0.0, ""max_x_r_range"": 0.0}"
G8 fixed constant specificity (separate),False,0.2833333333333334,"{""plastic"": 0.6688004256770382, ""sqrt2"": 0.6034264097200273, ""phi"": 0.46878817494039654, ""octave"": 0.3522842731466849, ""e"": 0.2833333333333334, ""calibration_fitted"": 0.3333333333333334}"
