identity,family,delta_r_ohm,condition,x_p,x_r,local_loss,null_loss,cycle_rho,cycle_miss_signed,cycle_miss_abs,best_rho,best_lag,best_miss_abs,orientation,pairs,pair_closure_share,pair_coherent_nonclosure_share,x_p_q25,x_r_q25,local_loss_q25,null_loss_q25,cycle_rho_q25,cycle_miss_signed_q25,cycle_miss_abs_q25,best_rho_q25,best_lag_q25,best_miss_abs_q25,orientation_q25,x_p_q75,x_r_q75,local_loss_q75,null_loss_q75,cycle_rho_q75,cycle_miss_signed_q75,cycle_miss_abs_q75,best_rho_q75,best_lag_q75,best_miss_abs_q75,orientation_q75
coupled_0,coupled,0.0,chronological,1.1864906165575415,1.5121327919863925,0.3515047102323382,0.48504448390886384,0.4075703397100044,0.010924905289495055,0.042207897194644,0.822933383396645,1.0,0.009939865543944298,0.0034145323177930207,40,0.0,0.0,1.1591718566439546,1.423632021370055,0.3233154203769281,0.4561957962524603,0.3919056753087884,0.00658655691499309,0.03711918129800873,0.8141174608198883,1.0,0.00889042516695941,0.002717483036904595,1.2033639192168124,1.6469362480899354,0.3816858171547512,0.5111174801525067,0.42100873816611306,0.01772652295776833,0.048322796111552935,0.8342892705276949,1.0,0.011345459502843998,0.004910984675771963
coupled_0,coupled,0.0,reversed,1.1864906165575415,1.499386051303813,0.31614947879905964,0.46165453736614714,0.40757033971000445,-0.010924905289495053,0.04220789719464401,0.822933383396645,1.0,0.009939865543944302,-0.003414532317793021,40,0.0,0.0,1.1591718566439546,1.3794761655116956,0.30227162892122905,0.4234856351056703,0.3919056753087884,-0.017726522957768324,0.03711918129800874,0.8141174608198882,1.0,0.008890425166959412,-0.004910984675771965,1.2033639192168124,1.5621629300338018,0.34603217579733103,0.5266510370385968,0.42100873816611306,-0.006586556914993092,0.04832279611155292,0.8342892705276949,1.0,0.011345459502843998,-0.002717483036904595
coupled_0,coupled,0.0,shuffled,1.1864906165575415,2.0,0.5029226594756904,0.4071680426441129,0.38797991172701163,0.0014873301054859887,0.029033845333644275,0.5753176822589885,11.0,0.023291576861258004,0.0002703140730561986,40,0.0,0.0,1.1591718566439546,2.0,0.458746013183863,0.3749267198490036,0.35724740663051613,-0.0031692992275760344,0.024381839354869952,0.5542974618385812,10.0,0.020277572946851726,-0.0016541632068993754,1.2033639192168124,2.0,0.533571277688084,0.4327916999980724,0.41751701541942005,0.0028451118525104997,0.03396170955009504,0.5927622084223604,11.5,0.028644960446391338,0.002657596484508148
coupled_0,coupled,0.0,wrong_record,1.1632961548671426,1.6003449771080687,0.36097849540277743,0.4826902257265453,0.4176184917962386,0.011706650730679263,0.03624536295789599,0.8194045210922005,1.0,0.01061551373498081,0.004197146194614561,40,0.0,0.0,1.1448487451556502,1.517309105048995,0.30948876337503983,0.4603050001305471,0.39513750917431645,0.0071772148024980015,0.03289666480785762,0.8133242852069856,1.0,0.009868031391346628,0.003192737639519884,1.1914082760781959,1.6667247374537228,0.3817528220897124,0.5025912401436691,0.43385167456348095,0.018974458322484903,0.04236010497261922,0.8274993558533561,1.0,0.011364505745656468,0.006417185695220521
coupled_100,coupled,100.0,chronological,1.236740021480859,1.4133002621248916,0.33112035445840765,0.47299684092847666,0.37847290631200714,0.005135035510013026,0.042970140984197616,0.791194147347485,1.0,0.013806799538493196,0.004282755931975144,40,0.0,0.0,1.2217668361837322,1.335591014878811,0.28717441330090643,0.4568753375078892,0.35089822226683454,-0.0007286591743914836,0.03834442380080381,0.7792333137170485,1.0,0.012468318576079919,0.0027076198461563174,1.2608152303579179,1.5184833099461232,0.3520237594694211,0.518729728755305,0.40271284020831694,0.010881371757529335,0.0545331365828059,0.8050753642032904,1.0,0.016802730235323214,0.007783504693617876
coupled_100,coupled,100.0,reversed,1.236740021480859,1.4487469134428126,0.31325916234586737,0.44097992320918133,0.37847290631200714,-0.005135035510013028,0.042970140984197616,0.791194147347485,1.0,0.013806799538493193,-0.004282755931975144,40,0.0,0.0,1.2217668361837322,1.3996765796068036,0.2871334743186388,0.4249189583958246,0.3508982222668346,-0.01088137175752934,0.0383444238008038,0.7792333137170486,1.0,0.01246831857607992,-0.007783504693617875,1.2608152303579179,1.5109314377115184,0.33259429524547557,0.48743506676708503,0.40271284020831694,0.0007286591743914898,0.05453313658280589,0.8050753642032904,1.0,0.016802730235323214,-0.0027076198461563174
coupled_100,coupled,100.0,shuffled,1.236740021480859,2.0,0.5467303788127944,0.43621299924287826,0.35890000263585775,-0.0019309546440275807,0.031217749643046265,0.5513452179838773,10.5,0.02251954215020628,0.0013439100166640424,40,0.0,0.0,1.2217668361837322,2.0,0.508288613151908,0.404457434074754,0.3221752526967666,-0.0076506506907118065,0.027340269468149127,0.526388865772647,10.0,0.02007314342970771,-0.002260935900689056,1.2608152303579179,2.0,0.5899802873069909,0.4848740154693999,0.3886213260107043,0.002782088721122124,0.04112886298504749,0.5800761367039312,11.125,0.02650115517698994,0.0033850005257811577
coupled_100,coupled,100.0,wrong_record,1.1898632121956445,1.4969966173678635,0.305526237674409,0.45426049736647744,0.3922240010855921,0.009971633435510724,0.03796421968807501,0.8046152605877859,1.0,0.013201167030672756,0.005134058108855433,40,0.0,0.0,1.1632961548671426,1.393974046946001,0.29094092050746967,0.4369729315626276,0.3683619373157788,0.004908652590454685,0.032771193682800924,0.7928946631252167,1.0,0.012088323738935272,0.0033354706233395077,1.2204622097387503,1.5836980219668928,0.32958094784784414,0.4690170413747032,0.41970008193851543,0.01497260415354269,0.04558790858713596,0.8136583615294598,1.0,0.014735426602257745,0.007142921423652538
coupled_150,coupled,150.0,chronological,1.1265496336446665,1.3711351684665904,0.3313432667501688,0.46405556234521944,0.35334798460436634,0.013731111422528398,0.04800025198027709,0.7721418676783898,1.0,0.01968135091451937,0.020066155502642777,40,0.0,0.0,0.935272473097348,1.161646806942432,0.2547941708017064,0.392951332456573,0.2759931704954103,0.007123525489331841,0.02634250625146522,0.744098487741432,1.0,0.01304175771546946,0.011060728042928914,1.3304153393159381,1.5390994879670863,0.4088842528294133,0.7521254808510689,0.43596180131551265,0.028278611707323143,0.11247386603356081,0.8375328018061489,1.0,0.03374689011792177,0.03447798851737062
coupled_150,coupled,150.0,reversed,1.1265496336446665,1.381866153269436,0.3033816922664373,0.4253713392514843,0.3533479846043663,-0.013731111422528404,0.04800025198027709,0.7721418676783898,1.0,0.01968135091451937,-0.020066155502642777,40,0.0,0.0,0.935272473097348,1.1801409365436615,0.2568770991620493,0.3053303284280946,0.2759931704954103,-0.028278611707323136,0.026342506251465225,0.7440984877414321,1.0,0.013041757715469464,-0.034477988517370606,1.3304153393159381,1.620474906381491,0.3783380133925061,0.7116466338136025,0.4359618013155126,-0.007123525489331839,0.11247386603356084,0.8375328018061489,1.0,0.03374689011792177,-0.01106072804292891
