identity,family,delta_r_ohm,condition,lag,rho,miss_signed,miss_abs
coupled_0,coupled,0.0,chronological,1,0.9998650521630114,0.13461091669099223,0.13461091669099223
coupled_0,coupled,0.0,chronological,2,0.9995078417406924,0.26919427352403913,0.26919427352403913
coupled_0,coupled,0.0,chronological,3,0.998989040549827,0.4038208411965021,0.4038208411965021
coupled_0,coupled,0.0,chronological,4,0.9983519390872386,-0.4615700719073039,0.46158873406723555
coupled_0,coupled,0.0,chronological,5,0.9976580558291444,-0.3270031466423745,0.3270031466423745
coupled_0,coupled,0.0,chronological,6,0.9970987109676408,-0.19238143833226676,0.19238143833226676
coupled_0,coupled,0.0,chronological,7,0.9966852750060797,-0.057808927636744556,0.057808927636744556
coupled_0,coupled,0.0,chronological,8,0.9964259285169319,0.07687363524429155,0.07687363524429155
coupled_0,coupled,0.0,chronological,9,0.99623427574895,0.21129349662330799,0.21129349662330799
coupled_0,coupled,0.0,chronological,10,0.9963888495567165,0.3455866586118267,0.3455866586118267
coupled_0,coupled,0.0,chronological,11,0.9966389830597274,0.47961250515061804,0.47975964881705474
coupled_0,coupled,0.0,chronological,12,0.9969820298594364,-0.3858553521253213,0.3858553521253213
coupled_0,coupled,0.0,chronological,13,0.997320379765984,-0.2514888767131238,0.2514888767131238
coupled_0,coupled,0.0,chronological,14,0.9977272713205714,-0.11725838662169667,0.11725838662169667
coupled_0,coupled,0.0,chronological,15,0.9982552594344569,0.017188643484528893,0.017705776047948894
coupled_0,coupled,0.0,chronological,16,0.9990966506335824,0.15146242509585847,0.15146242509585847
coupled_0,coupled,0.0,reversed,1,0.9998650521630114,-0.1346109166909922,0.1346109166909922
coupled_0,coupled,0.0,reversed,2,0.9995078417406926,-0.26919427352403913,0.26919427352403913
coupled_0,coupled,0.0,reversed,3,0.998989040549827,-0.4038208411965021,0.4038208411965021
coupled_0,coupled,0.0,reversed,4,0.9983519390872386,0.4615700719073039,0.46158873406723555
coupled_0,coupled,0.0,reversed,5,0.9976580558291444,0.3270031466423745,0.3270031466423745
coupled_0,coupled,0.0,reversed,6,0.9970987109676408,0.19238143833226679,0.19238143833226679
coupled_0,coupled,0.0,reversed,7,0.9966852750060796,0.05780892763674457,0.05780892763674457
coupled_0,coupled,0.0,reversed,8,0.9964259285169319,-0.07687363524429155,0.07687363524429155
coupled_0,coupled,0.0,reversed,9,0.99623427574895,-0.211293496623308,0.211293496623308
coupled_0,coupled,0.0,reversed,10,0.9963888495567166,-0.3455866586118267,0.3455866586118267
coupled_0,coupled,0.0,reversed,11,0.9966389830597273,-0.479612505150618,0.47975964881705474
coupled_0,coupled,0.0,reversed,12,0.9969820298594363,0.3858553521253213,0.3858553521253213
coupled_0,coupled,0.0,reversed,13,0.997320379765984,0.2514888767131238,0.2514888767131238
coupled_0,coupled,0.0,reversed,14,0.9977272713205714,0.11725838662169666,0.11725838662169666
coupled_0,coupled,0.0,reversed,15,0.9982552594344569,-0.017188643484528893,0.017705776047948894
coupled_0,coupled,0.0,reversed,16,0.9990966506335824,-0.15146242509585847,0.15146242509585847
coupled_0,coupled,0.0,shuffled,1,0.15066094149221315,0.009149915666719376,0.28618371575568713
coupled_0,coupled,0.0,shuffled,2,0.15094757004594256,0.002975629401588819,0.31102136708205763
coupled_0,coupled,0.0,shuffled,3,0.16652160045788958,-0.0036032528695291643,0.281624724365051
coupled_0,coupled,0.0,shuffled,4,0.16006194648715283,-0.00021128568763313454,0.29462310206036524
coupled_0,coupled,0.0,shuffled,5,0.1596755247557058,-0.012777322429701733,0.279096061214726
coupled_0,coupled,0.0,shuffled,6,0.1705359105325367,0.0030090206487422763,0.29811261677994083
coupled_0,coupled,0.0,shuffled,7,0.1632323421724789,0.011574021429466097,0.2826849003794252
coupled_0,coupled,0.0,shuffled,8,0.17326985836679404,-0.012471838719717632,0.28910192286949316
coupled_0,coupled,0.0,shuffled,9,0.17822482782156235,0.017770779379208963,0.27636186598795554
coupled_0,coupled,0.0,shuffled,10,0.18414405376785223,0.003440980752029953,0.280539282089302
coupled_0,coupled,0.0,shuffled,11,0.18460605825060178,-0.010537873862181971,0.285787681502088
coupled_0,coupled,0.0,shuffled,12,0.19177680444023965,-0.009894864012692253,0.2876407641038631
coupled_0,coupled,0.0,shuffled,13,0.1986601852554289,0.035433174720181045,0.2808908645273673
coupled_0,coupled,0.0,shuffled,14,0.19891798859412257,0.012014897471811779,0.2976683928551038
coupled_0,coupled,0.0,shuffled,15,0.20744531594262627,-0.025027378064533264,0.27000802755483044
coupled_0,coupled,0.0,shuffled,16,0.20677454806807294,-0.017541621912187777,0.2811517197054513
coupled_0,coupled,0.0,wrong_record,1,0.9998395923508407,0.1342702659943315,0.1342702659943315
coupled_0,coupled,0.0,wrong_record,2,0.9994006074070149,0.26857797166068753,0.26857797166068753
coupled_0,coupled,0.0,wrong_record,3,0.998738220187126,0.4028446598843187,0.4028446598843187
coupled_0,coupled,0.0,wrong_record,4,0.997912337501121,-0.46274392187107716,0.4627836250848795
coupled_0,coupled,0.0,wrong_record,5,0.9969955284074217,-0.3285728923668223,0.3285728923668223
coupled_0,coupled,0.0,wrong_record,6,0.9961264049908056,-0.19412335758249843,0.19412335758249843
coupled_0,coupled,0.0,wrong_record,7,0.99548828537875,-0.059751069188341124,0.059751069188341124
coupled_0,coupled,0.0,wrong_record,8,0.9950149005333537,0.07467635879025418,0.07467635879025418
coupled_0,coupled,0.0,wrong_record,9,0.9948773876185875,0.2086839443268424,0.2086839443268424
coupled_0,coupled,0.0,wrong_record,10,0.9947396251195966,0.34300668298013515,0.34300668298013515
coupled_0,coupled,0.0,wrong_record,11,0.9948403070583092,0.47599969973255996,0.4773336644202342
coupled_0,coupled,0.0,wrong_record,12,0.9953368099620361,-0.388699615945889,0.388699615945889
coupled_0,coupled,0.0,wrong_record,13,0.9957598140972712,-0.25457111431482565,0.25457111431482565
coupled_0,coupled,0.0,wrong_record,14,0.9964270181370019,-0.12033537541594694,0.12033537541594694
coupled_0,coupled,0.0,wrong_record,15,0.997577008026487,0.013904947865728002,0.016465280078246186
coupled_0,coupled,0.0,wrong_record,16,0.9988914504444583,0.14787981091428887,0.14787981091428887
coupled_100,coupled,100.0,chronological,1,0.9999833065818121,0.1267349463149632,0.1267349463149632
coupled_100,coupled,100.0,chronological,2,0.9999389172488351,0.25346931628087743,0.25346931628087743
coupled_100,coupled,100.0,chronological,3,0.9998719193190475,0.3801687194103561,0.3801687194103561
coupled_100,coupled,100.0,chronological,4,0.9997901623065371,-0.49313408273596326,0.49313408273596326
coupled_100,coupled,100.0,chronological,5,0.9996960480355708,-0.366457763141823,0.366457763141823
coupled_100,coupled,100.0,chronological,6,0.9996054205804831,-0.23978600147883097,0.23978600147883097
