delta_r,pair,method,transitions,delta_RMSE_ARA,next_position_RMSE_ARA,direction_agreement
0,1,primary,1736,0.0352175592493966,0.035079821909623624,0.9257012888551933
0,1,direction_blind,1736,0.13781805785230103,0.137802683730934,0.6322971948445792
0,1,wrong_lineage,1736,0.037073657483899215,0.03657914321544895,0.9158453373768006
0,2,primary,1736,0.03786575683633794,0.037317408533142846,0.9155354449472096
0,2,direction_blind,1736,0.13091069111989914,0.13090030017232793,0.6515837104072398
0,2,wrong_lineage,1736,0.04120951656564623,0.04049325746516098,0.9291101055806938
0,3,primary,1736,0.04195399577382558,0.040840003138715865,0.935251798561151
0,3,direction_blind,1736,0.13192416569435797,0.13191199795613665,0.660431654676259
0,3,wrong_lineage,1736,0.043114896114427405,0.041902105770992897,0.9273381294964029
0,4,primary,1736,0.0357790079159416,0.03570525905312828,0.9237160120845922
0,4,direction_blind,1736,0.14457453396751835,0.14457256843558838,0.6419939577039275
0,4,wrong_lineage,1736,0.03890210112105443,0.03854684368530078,0.9169184290030211
0,5,primary,1736,0.031787092047499264,0.03161100385965768,0.920933734939759
0,5,direction_blind,1736,0.13919283817197156,0.13918757617203165,0.6167168674698795
0,5,wrong_lineage,1736,0.03977538982535012,0.03848730309213369,0.9231927710843374
0,6,primary,1798,0.0475930820071821,0.04495803666696983,0.9416725228390724
0,6,direction_blind,1798,0.13343949991614318,0.13340681206594193,0.6458186929023191
0,6,wrong_lineage,1798,0.045167320862740355,0.044648211544966364,0.9290231904427266
0,7,primary,1736,0.037437997162879155,0.03648457997415744,0.9275471698113208
0,7,direction_blind,1736,0.14092337958016668,0.14085708953096823,0.6573584905660378
0,7,wrong_lineage,1736,0.03929528451513101,0.03903221291713248,0.9154716981132075
0,8,primary,1736,0.04038031160164642,0.03964585177895835,0.9199395770392749
0,8,direction_blind,1736,0.14423004504690937,0.1442237133873651,0.6404833836858006
0,8,wrong_lineage,1736,0.04181682255062312,0.041334837543732045,0.925226586102719
0,9,primary,1736,0.04420575346398318,0.04404381359509891,0.9373198847262247
0,9,direction_blind,1736,0.14056559013559952,0.14055948512978922,0.659221902017291
0,9,wrong_lineage,1736,0.044954195685912884,0.044115216613748634,0.9445244956772334
0,10,primary,1736,0.043183389798090104,0.04196175213592273,0.9383070301291249
0,10,direction_blind,1736,0.13887002391106043,0.13885399234824028,0.6578192252510761
0,10,wrong_lineage,1736,0.04258938633949092,0.040250957517032296,0.9225251076040172
0,11,primary,1736,0.03718522712127337,0.03609085125284216,0.9134036144578314
0,11,direction_blind,1736,0.14255371495668342,0.1425506489758449,0.6490963855421686
0,11,wrong_lineage,1736,0.043351661459387306,0.04275405134481173,0.9051204819277109
0,12,primary,1736,0.032604257139797296,0.03213847361425066,0.9155455904334828
0,12,direction_blind,1736,0.13045672167830769,0.13044810599232845,0.6136023916292974
0,12,wrong_lineage,1736,0.03708499913860583,0.03634126087337088,0.9207772795216741
0,13,primary,1736,0.044269816887600594,0.03956529398042269,0.9336661911554922
0,13,direction_blind,1736,0.1399152447652833,0.13991005384321273,0.6597717546362339
0,13,wrong_lineage,1736,0.04095346537962601,0.040643738559949225,0.9229671897289586
0,14,primary,1736,0.03773287375759569,0.037520894223877756,0.9217191097467383
0,14,direction_blind,1736,0.14142936231228395,0.14142242601453484,0.639293937068304
0,14,wrong_lineage,1736,0.038120438045846874,0.03782669528071263,0.9178818112049117
0,15,primary,1736,0.038443362121756176,0.03798565940025629,0.9171732522796353
0,15,direction_blind,1736,0.1365481535117621,0.13653924898239464,0.6299392097264438
0,15,wrong_lineage,1736,0.03990136007535283,0.039799499440627585,0.9270516717325228
0,16,primary,1736,0.04170029048020001,0.04123502761589557,0.9436222692036645
0,16,direction_blind,1736,0.14200326805728514,0.14198973994470046,0.6666666666666666
0,16,wrong_lineage,1736,0.04169926666494408,0.04161528306767763,0.9422128259337562
0,17,primary,1736,0.04828997229080634,0.04815479478553786,0.9424198250728864
0,17,direction_blind,1736,0.1444096189947761,0.14440002166382246,0.6625364431486881
0,17,wrong_lineage,1736,0.04927841676562987,0.04917127108979441,0.9373177842565598
0,18,primary,1736,0.04215156568463407,0.04186937816093447,0.9395248380129589
0,18,direction_blind,1736,0.13709127296098741,0.1370860753675069,0.6681065514758819
0,18,wrong_lineage,1736,0.042984925093141516,0.04125155883972432,0.9251259899208063
0,19,primary,1736,0.039865473522514766,0.03847840834746864,0.9181818181818182
0,19,direction_blind,1736,0.13581697471358772,0.13578865470261084,0.6477272727272727
0,19,wrong_lineage,1736,0.04448743611593182,0.0423789645091721,0.9303030303030303
0,20,primary,1736,0.04476762843932792,0.04319969494286208,0.9494301994301995
0,20,direction_blind,1736,0.1319845259996658,0.1319685509194847,0.6495726495726496
0,20,wrong_lineage,1736,0.04742363419107725,0.0451833526112925,0.9373219373219374
0,21,primary,1736,0.042619490528549187,0.038675239403804684,0.935064935064935
0,21,direction_blind,1736,0.13120218131772562,0.1311909239214979,0.665945165945166
0,21,wrong_lineage,1736,0.04101531509896254,0.03922754840320536,0.9206349206349206
0,22,primary,1736,0.037289768172572894,0.03665981469710943,0.9186492709132771
0,22,direction_blind,1736,0.1390262332405208,0.13901935918341368,0.656945510360706
0,22,wrong_lineage,1736,0.0419613284528562,0.04017454017739531,0.9286262471220261
0,23,primary,1736,0.040994659820612935,0.03748042467726246,0.9356683345246605
0,23,direction_blind,1736,0.13507776772742663,0.13506363015657993,0.6497498213009293
0,23,wrong_lineage,1736,0.042713360097771345,0.04190823309117253,0.9256611865618298
0,24,primary,1736,0.04713561928538851,0.04560803804537499,0.9314546839299315
0,24,direction_blind,1736,0.13510464231756814,0.13508002102549907,0.6473724295506473
0,24,wrong_lineage,1736,0.04761108807931348,0.04489173229432373,0.9367859862909368
0,25,primary,1736,0.04179531299048852,0.03986139515352997,0.9363636363636364
0,25,direction_blind,1736,0.13388599126729792,0.1338808548292389,0.6416666666666667
0,25,wrong_lineage,1736,0.04113638245438038,0.04060894829683224,0.9409090909090909
0,26,primary,1736,0.03832352064636109,0.03698269826391439,0.9384724186704385
0,26,direction_blind,1736,0.13544372010362685,0.13543024404736517,0.6364922206506365
0,26,wrong_lineage,1736,0.04209883602211615,0.040843787819988625,0.9285714285714286
0,27,primary,1736,0.03690580441395911,0.0358366280018267,0.9197026022304833
0,27,direction_blind,1736,0.135351981731427,0.13534567099008515,0.6527881040892193
0,27,wrong_lineage,1736,0.04447866820992485,0.04299865638663453,0.929368029739777
0,28,primary,1798,0.04835492858672172,0.04738292189739465,0.924597364568082
0,28,direction_blind,1798,0.1323484629914938,0.1323409204429227,0.6303074670571011
0,28,wrong_lineage,1798,0.04899039361952105,0.04745858782673443,0.9158125915080527
0,29,primary,1736,0.036482919222651296,0.03440119618138838,0.9188988095238095
0,29,direction_blind,1736,0.14022188891372014,0.1402066218317743,0.6510416666666666
0,29,wrong_lineage,1736,0.03713062443094457,0.03627099665198684,0.9203869047619048
0,30,primary,1736,0.035416235817682835,0.03508154153289291,0.913570887035633
0,30,direction_blind,1736,0.1428536802821108,0.1428461485646662,0.6398786959818044
0,30,wrong_lineage,1736,0.04135741598994309,0.04092677900124108,0.9219105382865808
0,31,primary,1736,0.04557049059245208,0.04041560076583737,0.9293785310734464
0,31,direction_blind,1736,0.1260574485559802,0.12604788696461597,0.6730225988700564
0,31,wrong_lineage,1736,0.04708916068614263,0.04673270495617403,0.923728813559322
0,32,primary,1736,0.0459139031415256,0.045494035430910455,0.9392348087021756
0,32,direction_blind,1736,0.1368303897425431,0.13682312390600274,0.6519129782445612
0,32,wrong_lineage,1736,0.047033817159781034,0.045338493207389065,0.9414853713428357
0,33,primary,1736,0.04835382591201016,0.045651792492908135,0.9418103448275862
0,33,direction_blind,1736,0.1413371569001618,0.1413276566989971,0.6645114942528736
0,33,wrong_lineage,1736,0.04788425708679154,0.04702811316364427,0.9410919540229885
0,34,primary,1736,0.04020381110100561,0.03906988808124159,0.937950937950938
0,34,direction_blind,1736,0.13655205844956192,0.13653372261959854,0.6522366522366523
0,34,wrong_lineage,1736,0.04179377546275749,0.04141394625646558,0.9264069264069265
