identity,delta_r_ohm,pair,window,sample,cycle,landmark,phase,ara_phase,physical_time
coupled_50,50.0,1,0,0,0,0,0.37398079918580357,0.7479615983716071,0.12993129899836212
coupled_50,50.0,1,0,1,0,1,0.36724036961740675,0.7344807392348135,0.1507333090252979
coupled_50,50.0,1,0,2,0,2,0.3667177989954239,0.7334355979908478,0.15211704457714126
coupled_50,50.0,1,0,3,0,3,0.3661952283734411,0.7323904567468822,0.1535007801289846
coupled_50,50.0,1,0,4,0,4,0.3656726577514583,0.7313453155029166,0.15488451568082795
coupled_50,50.0,1,0,5,0,5,0.9076471519669478,1.8152943039338956,1.416030222658717
coupled_50,50.0,1,0,6,0,6,0.9087043536243378,1.8174087072486755,1.417359755458067
coupled_50,50.0,1,0,7,0,7,0.909761555281728,1.819523110563456,1.4186892882574174
coupled_50,50.0,1,0,8,1,0,0.3731636146824069,0.7463272293648138,2.5964054752368915
coupled_50,50.0,1,0,9,1,1,0.41733481053912413,0.8346696210782483,2.7210653334581196
coupled_50,50.0,1,0,10,1,2,0.4215053558819626,0.8430107117639252,2.7223270346411366
coupled_50,50.0,1,0,11,1,3,0.42567590122480103,0.8513518024496021,2.7235887358241535
coupled_50,50.0,1,0,12,1,4,0.4298464465676395,0.859692893135279,2.7248504370071704
coupled_50,50.0,1,0,13,1,5,0.4245196293181639,0.8490392586363278,2.7309923278670647
coupled_50,50.0,1,0,14,1,6,0.4238903590392047,0.8477807180784094,2.73226709314502
coupled_50,50.0,1,0,15,1,7,0.42326108876024526,0.8465221775204905,2.733541858422975
coupled_50,50.0,1,0,16,2,0,0.42263181848128584,0.8452636369625717,2.7348166237009304
coupled_50,50.0,1,0,17,2,1,0.4319416296822145,0.863883259364429,2.7371350769824563
coupled_50,50.0,1,0,18,2,2,0.44292141557886433,0.8858428311577287,2.739628891796103
coupled_50,50.0,1,0,19,2,3,0.44062271552501575,0.8812454310500315,2.7571876184780217
coupled_50,50.0,1,0,20,2,4,0.45143025292242767,0.9028605058448553,2.759757693561428
coupled_50,50.0,1,0,21,2,5,0.9470939990790879,1.8941879981581757,4.045841714782972
coupled_50,50.0,1,0,22,2,6,0.9633878057705625,1.926775611541125,4.04720478843086
coupled_50,50.0,1,0,23,2,7,0.9796816124620475,1.959363224924095,4.048567862078749
coupled_50,50.0,1,0,24,3,0,0.9959754191535328,1.9919508383070657,4.049930935726638
