family,radial_mode,n,median_x_l,median_x_c,median_x_p,median_x_r,median_rho,radial_accuracy,path_sector_accuracy
continuous stochastic,contraction,48,0.14710835386963794,0.9972977332322043,1.9790322218393053,2.0,0.10898395243785129,1.0,1.0
continuous stochastic,expansion,48,1.8528916461303622,0.9972977332322043,1.9790322218393053,2.0,0.10898395243785129,1.0,1.0
continuous stochastic,neutral,48,1.0,0.9972977332322043,1.9790322218393053,2.0,0.10898395243785129,1.0,1.0
deterministic chaos,contraction,48,0.14710835386963794,1.0072203756784552,1.494979203881265,6.51143028561539e-05,0.04442526552415155,1.0,0.5
deterministic chaos,expansion,48,1.8528916461303622,1.0072203756784552,1.494979203881265,6.51143028561539e-05,0.04442526552415155,1.0,0.5
deterministic chaos,neutral,48,1.0,1.0072203756784552,1.494979203881265,6.51143028561539e-05,0.04442526552415155,1.0,0.5
finite stochastic,contraction,168,0.14710835386963794,1.0027522041470396,0.0,2.0,0.013457712428836161,1.0,1.0
finite stochastic,expansion,168,1.8528916461303622,1.0027522041470396,0.0,2.0,0.013457712428836161,1.0,1.0
finite stochastic,neutral,168,1.0,1.0027522041470396,0.0,2.0,0.013457712428836161,1.0,1.0
irrational rotation,contraction,120,0.14710835386963794,2.0,2.0,1.3960929476307473e-06,1.0000000000000002,1.0,1.0
irrational rotation,expansion,120,1.8528916461303622,2.0,2.0,1.3960929476307473e-06,1.0000000000000002,1.0,1.0
irrational rotation,neutral,120,1.0,2.0,2.0,1.3960929476307473e-06,1.0000000000000002,1.0,1.0
periodic rational,contraction,168,0.14710835386963794,2.0,0.0,0.0,1.0000000000000002,1.0,1.0
periodic rational,expansion,168,1.8528916461303622,2.0,0.0,0.0,1.0000000000000002,1.0,1.0
periodic rational,neutral,168,1.0,2.0,0.0,0.0,1.0000000000000002,1.0,1.0
