trajectory_id,phase_id,split,family,parameter,parameter_index,replicate,radial_mode,radial_span,control,endpoint_error,x_l,x_c,radial_log_gain,x_p,x_r,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:0:1:neutral,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,neutral,0.75,endpoint_shuffled,0.0,1.0,1.0082705790620328,0.0,0.0,1.9917999262088542,0.013353896788183058,,,False
calibration:periodic rational:0:1:neutral,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,neutral,0.75,radial_inverted,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000004,0.4,0.3999999999999999,True
calibration:periodic rational:0:1:expansion,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,expansion,0.75,chronological,0.0,1.7615941559557649,2.0,0.7499999999999999,0.0,0.0,1.0000000000000004,0.4,0.3999999999999999,True
calibration:periodic rational:0:1:expansion,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,expansion,0.75,phase_reflected,0.0,1.7615941559557649,0.0,0.7499999999999999,0.0,0.0,1.0,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:1:expansion,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,expansion,0.75,shuffled,0.0,1.7615941559557649,1.031999494636036,0.7499999999999999,0.0,2.0,0.013804112090142425,,,False
calibration:periodic rational:0:1:expansion,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,expansion,0.75,endpoint_shuffled,0.0,1.7615941559557649,1.0082705790620328,0.7499999999999999,0.0,1.9917999262088542,0.013353896788183058,,,False
calibration:periodic rational:0:1:expansion,calibration:periodic rational:0:1,calibration,periodic rational,5,0,1,expansion,0.75,radial_inverted,0.0,0.23840584404423515,2.0,-0.7499999999999999,0.0,0.0,1.0000000000000004,0.4,0.3999999999999999,True
calibration:periodic rational:0:2:contraction,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,contraction,1.15,chronological,0.0,0.0890067105245741,0.0,-1.15,0.0,0.0,1.0,0.4,0.4,True
calibration:periodic rational:0:2:contraction,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,contraction,1.15,phase_reflected,0.0,0.0890067105245741,2.0,-1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:2:contraction,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,contraction,1.15,shuffled,0.0,0.0890067105245741,1.0006244150364354,-1.15,0.0,1.9763738245613038,0.013475775958779137,,,False
calibration:periodic rational:0:2:contraction,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,contraction,1.15,endpoint_shuffled,0.0,0.0890067105245741,1.0159476804082213,-1.15,0.0,1.9916603081937028,0.013090581203642565,,,False
calibration:periodic rational:0:2:contraction,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,contraction,1.15,radial_inverted,0.0,1.9109932894754258,0.0,1.15,0.0,0.0,1.0,0.4,0.4,True
calibration:periodic rational:0:2:neutral,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,neutral,1.15,chronological,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,True
calibration:periodic rational:0:2:neutral,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,neutral,1.15,phase_reflected,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:2:neutral,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,neutral,1.15,shuffled,0.0,1.0,1.0006244150364354,0.0,0.0,1.9763738245613038,0.013475775958779137,,,False
calibration:periodic rational:0:2:neutral,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,neutral,1.15,endpoint_shuffled,0.0,1.0,1.0159476804082213,0.0,0.0,1.9916603081937028,0.013090581203642565,,,False
calibration:periodic rational:0:2:neutral,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,neutral,1.15,radial_inverted,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,True
calibration:periodic rational:0:2:expansion,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,expansion,1.15,chronological,0.0,1.9109932894754258,0.0,1.15,0.0,0.0,1.0,0.4,0.4,True
calibration:periodic rational:0:2:expansion,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,expansion,1.15,phase_reflected,0.0,1.9109932894754258,2.0,1.15,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:2:expansion,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,expansion,1.15,shuffled,0.0,1.9109932894754258,1.0006244150364354,1.15,0.0,1.9763738245613038,0.013475775958779137,,,False
calibration:periodic rational:0:2:expansion,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,expansion,1.15,endpoint_shuffled,0.0,1.9109932894754258,1.0159476804082213,1.15,0.0,1.9916603081937028,0.013090581203642565,,,False
calibration:periodic rational:0:2:expansion,calibration:periodic rational:0:2,calibration,periodic rational,5,0,2,expansion,1.15,radial_inverted,0.0,0.0890067105245741,0.0,-1.15,0.0,0.0,1.0,0.4,0.4,True
calibration:periodic rational:0:3:contraction,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,contraction,0.35,chronological,0.0,0.56449788608452,0.0,-0.35,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:contraction,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,contraction,0.35,phase_reflected,0.0,0.56449788608452,2.0,-0.35,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:contraction,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,contraction,0.35,shuffled,0.0,0.56449788608452,0.9972172571423182,-0.35,0.0,2.0,0.012411129485371934,,,False
calibration:periodic rational:0:3:contraction,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,contraction,0.35,endpoint_shuffled,0.0,0.56449788608452,1.015816378479397,-0.35,0.0,1.9881318560684091,0.013339056091926076,,,False
calibration:periodic rational:0:3:contraction,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,contraction,0.35,radial_inverted,0.0,1.4355021139154798,0.0,0.3499999999999999,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:neutral,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,neutral,0.35,chronological,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:neutral,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,neutral,0.35,phase_reflected,0.0,1.0,2.0,0.0,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:neutral,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,neutral,0.35,shuffled,0.0,1.0,0.9972172571423182,0.0,0.0,2.0,0.012411129485371934,,,False
calibration:periodic rational:0:3:neutral,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,neutral,0.35,endpoint_shuffled,0.0,1.0,1.015816378479397,0.0,0.0,1.9881318560684091,0.013339056091926076,,,False
calibration:periodic rational:0:3:neutral,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,neutral,0.35,radial_inverted,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:expansion,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,expansion,0.35,chronological,0.0,1.4355021139154798,0.0,0.3499999999999999,0.0,0.0,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:3:expansion,calibration:periodic rational:0:3,calibration,periodic rational,5,0,3,expansion,0.35,phase_reflected,0.0,1.4355021139154798,2.0,0.3499999999999999,0.0,0.0,1.0000000000000002,0.4,0.3999999999999999,True
