identity,delta_r_ohm,pair,window,sample,cycle,landmark,phase,ara_phase,physical_time
coupled_50,50.0,1,0,0,0,0,0.6408698407243123,1.2817396814486246,0.865
coupled_50,50.0,1,0,1,0,1,0.7736837484978776,1.5473674969957552,1.1922916666666665
coupled_50,50.0,1,0,2,0,2,0.9064976562714429,1.8129953125428857,1.5195833333333333
coupled_50,50.0,1,0,3,0,3,0.039311564045008116,0.07862312809001623,1.8468749999999998
coupled_50,50.0,1,0,4,0,4,0.17212547181857338,0.34425094363714676,2.1741666666666664
coupled_50,50.0,1,0,5,0,5,0.3049393795921388,0.6098787591842776,2.5014583333333333
coupled_50,50.0,1,0,6,0,6,0.43775328736570407,0.8755065747314081,2.82875
coupled_50,50.0,1,0,7,0,7,0.5705671951392693,1.1411343902785387,3.1560416666666664
coupled_50,50.0,1,0,8,1,0,0.7033752869528141,1.4067505739056283,3.4833190011351447
coupled_50,50.0,1,0,9,1,1,0.8344964533986344,1.6689929067972689,3.8064392663297775
coupled_50,50.0,1,0,10,1,2,0.965611803884434,1.931223607768868,4.1295451993262215
coupled_50,50.0,1,0,11,1,3,0.09637780485799063,0.19275560971598127,4.452651132322665
coupled_50,50.0,1,0,12,1,4,0.22701960596628634,0.4540392119325727,4.775757065319109
coupled_50,50.0,1,0,13,1,5,0.35766140707458205,0.7153228141491641,5.098862998315553
coupled_50,50.0,1,0,14,1,6,0.488303208182878,0.976606416365756,5.421968931311997
coupled_50,50.0,1,0,15,1,7,0.6189450092911739,1.2378900185823478,5.7450748643084415
coupled_50,50.0,1,0,16,2,0,0.7495881830670004,1.4991763661340007,6.068184192213861
coupled_50,50.0,1,0,17,2,1,0.8806125612932856,1.7612251225865712,6.392236322641774
coupled_50,50.0,1,0,18,2,2,0.01161041667474949,0.02322083334949898,6.716291847978663
coupled_50,50.0,1,0,19,2,3,0.14232211597811162,0.28464423195622324,7.040347373315553
coupled_50,50.0,1,0,20,2,4,0.2730338152814733,0.5460676305629466,7.364402898652442
coupled_50,50.0,1,0,21,2,5,0.403745514584835,0.80749102916967,7.688458423989331
coupled_50,50.0,1,0,22,2,6,0.5344572138881971,1.0689144277763942,8.012513949326221
coupled_50,50.0,1,0,23,2,7,0.6651689131915588,1.3303378263831176,8.33656947466311
coupled_50,50.0,1,0,24,3,0,0.7958773672656805,1.591754734531361,8.660616954549807
coupled_50,50.0,1,0,25,3,1,0.9246728528682779,1.8493457057365559,8.979921875
coupled_50,50.0,1,0,26,3,2,0.054182626862845584,0.10836525372569117,9.29921875
coupled_50,50.0,1,0,27,3,3,0.18470333635532077,0.36940667271064154,9.618515625
coupled_50,50.0,1,0,28,3,4,0.31522404584779506,0.6304480916955901,9.9378125
coupled_50,50.0,1,0,29,3,5,0.44574475534027025,0.8914895106805405,10.257109375
coupled_50,50.0,1,0,30,3,6,0.5762654648327445,1.152530929665489,10.57640625
coupled_50,50.0,1,0,31,3,7,0.7067861743252197,1.4135723486504395,10.895703125
coupled_50,50.0,1,1,0,0,0,0.8373068838176945,1.674613767635389,11.215
coupled_50,50.0,1,1,1,0,1,0.9708742475028735,1.941748495005747,11.54175
coupled_50,50.0,1,1,2,0,2,0.10643560353443604,0.21287120706887208,11.8685
