quantile,isolation_s,total_events,minimum_specimen_events,eligible
0.975,32.0,31,3,False
0.975,16.0,39,3,False
0.975,8.0,55,3,True
0.98,32.0,27,3,False
0.98,16.0,36,3,False
0.98,8.0,49,3,True
0.985,32.0,20,3,False
0.985,16.0,26,3,False
0.985,8.0,35,3,False
0.99,32.0,18,2,False
0.99,16.0,22,2,False
0.99,8.0,27,2,False
