identity,role,filename,file_sha256,rows,columns,duration_seconds,sampling_hz,minimum_current,maximum_current,median_phase_backtrack_fraction,maximum_phase_backtrack_fraction,minimum_upward_crossings,median_upward_crossings,maximum_upward_crossings
coupled_0,coupled_sweep,oc091818_28.lvm,2445937f8c0faf438f5ff9f40e4cbcaaddbe6a285f990a1c3cb0761ba46009cc,40100,80,200.495,200.0,0.048034,0.283693,0.4600364098855333,0.46931344921319734,117,262.0,412
coupled_50,coupled_sweep,oc091818_39.lvm,e7dbd1bf00dff1f578baf8ee43d9a30dda6ab9bc07939773c01bb51609f25f72,40100,80,200.495,200.0,0.051112,0.301995,0.4603606074964463,0.4702112272126487,106,249.0,587
coupled_100,coupled_sweep,oc091818_41.lvm,024f56d31a112b6f008ac219b16d58b0965044a141dd45933582d6058d463957,40100,80,200.495,200.0,0.051922,0.297946,0.4592508541360134,0.4693633257687224,102,231.5,340
coupled_150,coupled_sweep,oc091818_42.lvm,c08a07c62c1f147944b677ab337c25d12c541c59b2b957401bb043e7917c7ac3,40100,80,200.495,200.0,0.05176,0.29908,0.4594129529414699,0.4690141898800469,106,212.0,308
coupled_170,coupled_sweep,oc091818_43.lvm,4919acecf1e86a6c4a216fa0199f2bd8c8fc1a58a165c83adbcdc77c92ea4c56,40100,80,200.495,200.0,0.051922,0.29989,0.46038554577420887,0.470086535823836,103,222.5,295
coupled_190,coupled_sweep,oc091818_45.lvm,4c5b5c76388caff55bbad62fab9032fa70d6d25bdb486926b9f0ff7ab5d3ef67,40100,80,200.495,200.0,0.052245,0.303777,0.46109628669044117,0.46931344921319734,123,210.0,304
coupled_240,coupled_sweep,oc091818_46.lvm,2552d7c944be1fab943c5bebda16f7f11c598f643ad89653e83fc5f44309465f,40100,80,200.495,200.0,0.052893,0.308311,0.46014863213546475,0.4690391281578094,105,215.5,290
coupled_290,coupled_sweep,oc091818_50.lvm,c99a36639ee9e5f3761de11dd71f1267bf629ca02e111383a4788a1dc439c5cc,40100,80,200.495,200.0,0.05014,0.315436,0.46317863288361305,0.4694880171575351,111,207.5,297
coupled_340,coupled_sweep,oc091818_51.lvm,0e0b78f3dee6742dc6fbafc92b27ef1e494969e724b8c61437ac9971ec4a4ec2,40100,80,200.495,200.0,0.050302,0.321913,0.46395171949425174,0.468091473602833,114,194.5,285
uncoupled_1000,uncoupled_source,oc032118_4.lvm,5b6f5faa74fa9a92000f5636aa123f9e7aae33b6c99a8ee24de7f67421e14116,20100,80,100.495,200.0,0.101846,0.404499,0.45992337927260063,0.4647992437434698,92,120.5,170
uncoupled_1150,uncoupled_source,oc032118_8.lvm,eaa9878416aa59aad7b725169cf0717d907b19d029f7927321c9d6ad4540dc4c,20100,80,100.495,200.0,0.108647,0.421826,0.46029653216577937,0.4661923478780039,92,115.5,154
