record,kind,file,sha256,rows
Wgn20,stress,Fig5_stress_Wgn20.txt,6FA451709B2928DE966F266DCE223591C72BEA5DEB5D5A8499286D707506EED6,25140
Wgn20,AE catalog,AE_Wgn20_Pc_150_Axial.mat,963CFDB6DB4B5A21E468AE9173CE77F868FC752C96B70F25F35D8E957A627CC6,13388
Wgn23,stress,Fig5_stress_Wgn23.txt,6888B7BD255FB6E9816F16F68F01C523CAF407B4999A45A7FFD5A44A88ECD098,25399
Wgn23,AE catalog,AE_Wgn23_Pc_150_Axial.mat,227A47D7DB3471962D383BDE02731B774ECB2FADC94F619E84BBEC7C82D89064,16383
