split,case_id,regime,mode,progress,front,front_velocity,candidate_geometry,open_mismatch,connection_response,hidden_edge_mean
holdout,0,progressive,forward,0.0,0.0,0.0,0.0020342872802221754,0.6987852097142131,0.0,0.0
holdout,0,progressive,forward,0.0013020833333333333,0.0013020833333333333,0.0013020833333333333,0.002118618148344879,0.6982772678953344,0.0,1.4995832065172267e-05
holdout,0,progressive,forward,0.0026041666666666665,0.0026041666666666665,0.0013020833333333333,0.00220648442252547,0.6977653331970237,0.0,3.106059000906441e-05
holdout,0,progressive,forward,0.00390625,0.00390625,0.0013020833333333335,0.0022980086516871277,0.6972494015518114,0.0,4.826697245843138e-05
holdout,0,progressive,forward,0.005208333333333333,0.005208333333333333,0.001302083333333333,0.0023933158515218227,0.6967294694524078,0.0,6.669208371438153e-05
holdout,0,progressive,forward,0.006510416666666666,0.006510416666666666,0.001302083333333333,0.0024925334420832354,0.6962055339551079,0.0,8.64176472859043e-05
holdout,0,progressive,forward,0.0078125,0.0078125,0.001302083333333334,0.002595791176852103,0.6956775926828849,0.0,0.0001075302248897811
holdout,0,progressive,forward,0.009114583333333332,0.009114583333333332,0.0013020833333333322,0.00270322106298339,0.6951456438281715,0.0,0.00013012144057413503
holdout,0,progressive,forward,0.010416666666666666,0.010416666666666666,0.001302083333333334,0.0028149572724618975,0.694609686155324,0.0,0.00015428820955991346
holdout,0,progressive,forward,0.01171875,0.01171875,0.001302083333333334,0.0029311360439132697,0.6940697190027721,0.0,0.00018013297132667862
holdout,0,progressive,forward,0.013020833333333332,0.013020833333333332,0.0013020833333333322,0.0030518955748412213,0.6935257422848493,0.0,0.00020776392639606234
holdout,0,progressive,forward,0.014322916666666666,0.014322916666666666,0.001302083333333334,0.0031773759040886604,0.6929777564933062,0.0,0.00023729527618800394
holdout,0,progressive,forward,0.015625,0.015625,0.001302083333333334,0.0033077187843512574,0.6924257626985046,0.0,0.0002688474652413749
holdout,0,progressive,forward,0.016927083333333332,0.016927083333333332,0.0013020833333333322,0.0034430675446063775,0.6918697625502943,0.0,0.0003025474250017351
holdout,0,progressive,forward,0.018229166666666664,0.018229166666666664,0.0013020833333333322,0.003583566942358322,0.6913097582785689,0.0,0.00033852881828479344
holdout,0,progressive,forward,0.01953125,0.01953125,0.0013020833333333356,0.003729363005642708,0.6907457526935061,0.0,0.000376932283424697
holdout,0,progressive,forward,0.020833333333333332,0.020833333333333332,0.0013020833333333322,0.003880602864778691,0.690177749185491,0.0,0.0004179056770116828
holdout,0,progressive,forward,0.022135416666666664,0.022135416666666664,0.0013020833333333322,0.004037434573907053,0.6896057517247227,0.0,0.000461604314014064
holdout,0,progressive,forward,0.0234375,0.0234375,0.0013020833333333356,0.004200006922405438,0.6890297648605078,0.0,0.0005081912039652564
holdout,0,progressive,forward,0.024739583333333332,0.024739583333333332,0.0013020833333333322,0.004368469236328916,0.6884497937202418,0.0,0.0005578372817779305
holdout,0,progressive,forward,0.026041666666666664,0.026041666666666664,0.0013020833333333322,0.004542971170084188,0.6878658440080807,0.0,0.0006107216316248126
holdout,0,progressive,forward,0.02734375,0.02734375,0.0013020833333333356,0.004723662488609202,0.6872779220033047,0.0,0.0006670317021997282
