gate,passed,observed
G1 independent physical traversal,True,source QA=True; |r|=0.0755; qualifying quadrants=4/4
G2 Irrationality parent traversal,False,qualifying quadrants=1/4; timing error=0.058 s
G3 broken-geometry discrimination,False,real=0.058 s; shuffle median=22.534 s; wrong_pair=0.058 s; connection_only=29.126 s; movement_only=18.502 s
G4 two-axis movement record,False,primary RMSE=0.7577; best control=0.7377; direction=0.528
G5 held-out rupture localization,False,main-slip predicted-risk percentile=0.7237
G6 repeated connection handover,False,all=9/15; dry=4/10; fluid=5/5
