record,channel,bout,start_index,end_alarm_index,alarm_samples,start_time_s,lead_s,horizon_end_s,contains_failure,earlier_false
Wgn20,acoustic,1,20387,20387,1,4524.1807,469.3593000000001,4534.1416,False,True
Wgn20,acoustic,2,20807,20807,1,4566.0166,427.52340000000004,4575.9775,False,True
Wgn20,acoustic,3,20841,20841,1,4569.4033,424.1367,4579.3643,False,True
Wgn20,acoustic,4,20895,20895,1,4574.7822,418.7578000000003,4584.7432,False,True
Wgn20,acoustic,5,20939,20960,3,4579.165,414.375,4589.126,False,True
Wgn20,acoustic,6,21068,21068,1,4592.0146,401.52539999999954,4601.9756,False,True
Wgn20,acoustic,7,21160,21166,2,4601.1787,392.3612999999996,4611.1396,False,True
Wgn20,acoustic,8,21199,21199,1,4605.0635,388.47649999999976,4615.0244,False,True
Wgn20,acoustic,9,21362,21362,1,4621.2998,372.2402000000002,4631.2607,False,True
Wgn20,acoustic,10,21453,21453,1,4630.3643,363.1756999999998,4640.3252,False,True
Wgn20,acoustic,11,21558,21558,1,4640.8232,352.71680000000015,4650.7842,False,True
Wgn20,acoustic,12,21609,21609,1,4645.9033,347.6367,4655.8643,False,True
Wgn20,acoustic,13,21645,21645,1,4649.4893,344.0506999999998,4659.4502,False,True
Wgn20,acoustic,14,21832,21832,1,4668.1162,325.4237999999996,4678.0771,False,True
Wgn20,acoustic,15,21876,21876,1,4672.499,321.04100000000017,4682.46,False,True
Wgn20,acoustic,16,21925,21925,1,4677.3799,316.16010000000006,4687.3408,False,True
Wgn20,acoustic,17,22122,22135,2,4697.0029,296.53709999999955,4706.9639,False,True
Wgn20,acoustic,18,22179,22179,1,4702.6807,290.8593000000001,4712.6416,False,True
Wgn20,acoustic,19,22365,22365,1,4721.208,272.33200000000033,4731.1689,False,True
Wgn20,acoustic,20,22434,22434,1,4728.0811,265.45889999999963,4738.042,False,True
Wgn20,acoustic,21,22665,22665,1,4751.0908,242.44920000000002,4761.0518,False,True
Wgn20,acoustic,22,22710,22710,1,4755.5732,237.96680000000015,4765.5342,False,True
Wgn20,acoustic,23,22815,22815,1,4766.0322,227.50780000000032,4775.9932,False,True
Wgn20,acoustic,24,22991,22991,1,4783.5635,209.97649999999976,4793.5244,False,True
Wgn20,acoustic,25,23090,23090,1,4793.4248,200.1152000000002,4803.3857,False,True
Wgn20,acoustic,26,23175,23175,1,4801.8916,191.64840000000004,4811.8525,False,True
Wgn20,acoustic,27,23411,23411,1,4825.3994,168.14059999999972,4835.3604,False,True
Wgn20,acoustic,28,23722,23722,1,4856.3779,137.16209999999955,4866.3389,False,True
Wgn20,acoustic,29,23780,23780,1,4862.1553,131.3846999999996,4872.1162,False,True
Wgn20,acoustic,30,23863,23863,1,4870.4229,123.11710000000039,4880.3838,False,True
Wgn20,acoustic,31,23911,23911,1,4875.2041,118.33590000000004,4885.165,False,True
Wgn20,acoustic,32,24014,24014,1,4885.4639,108.07610000000022,4895.4248,False,True
Wgn20,acoustic,33,24064,24064,1,4890.4443,103.09569999999985,4900.4053,False,True
Wgn20,acoustic,34,24129,24133,3,4896.9189,96.6211000000003,4906.8799,False,True
Wgn20,acoustic,35,24228,24228,1,4906.7803,86.75969999999961,4916.7412,False,True
Wgn20,acoustic,36,24315,24315,1,4915.4463,78.09370000000035,4925.4072,False,True
Wgn20,acoustic,37,24397,24403,2,4923.6143,69.92569999999978,4933.5752,False,True
Wgn20,acoustic,38,24481,24481,1,4931.9814,61.5586000000003,4941.9424,False,True
Wgn20,acoustic,39,24510,24514,2,4934.8701,58.66989999999987,4944.8311,False,True
Wgn20,acoustic,40,24676,24676,1,4951.4053,42.13469999999961,4961.3662,False,True
Wgn20,acoustic,41,24697,24697,1,4953.4971,40.04290000000037,4963.458,False,True
Wgn20,acoustic,42,24719,24721,2,4955.6885,37.85149999999976,4965.6494,False,True
Wgn20,acoustic,43,24766,24771,2,4960.3701,33.16989999999987,4970.3311,False,True
Wgn20,acoustic,44,24905,24905,1,4974.2158,19.32420000000002,4984.1768,False,True
Wgn20,acoustic,45,24992,24992,1,4982.8818,10.658199999999852,4992.8428,False,True
Wgn20,acoustic,46,25098,25098,1,4993.4404,0.09959999999955471,4997.5244,True,False
Wgn23,acoustic,1,20465,20465,1,4872.9092,461.4902000000002,4882.8701,False,True
Wgn23,acoustic,2,20676,20676,1,4893.9268,440.47260000000006,4903.8877,False,True
Wgn23,acoustic,3,20919,20919,1,4918.1318,416.26760000000013,4928.0928,False,True
Wgn23,acoustic,4,21015,21015,1,4927.6943,406.70510000000013,4937.6553,False,True
Wgn23,acoustic,5,21051,21061,2,4931.2803,403.1190999999999,4941.2412,False,True
Wgn23,acoustic,6,21361,21361,1,4962.1592,372.2402000000002,4972.1201,False,True
