record,channel,bout,start_index,end_alarm_index,alarm_samples,start_time_s,lead_s,horizon_end_s,contains_failure,earlier_false
Wgn23,acoustic,7,21403,21403,1,4966.3428,368.0565999999999,4976.3037,False,True
Wgn23,acoustic,8,21635,21635,1,4989.4521,344.9472999999998,4999.4131,False,True
Wgn23,acoustic,9,21734,21734,1,4999.3135,335.08590000000004,5009.2744,False,True
Wgn23,acoustic,10,21864,21864,1,5012.2627,322.1367,5022.2236,False,True
Wgn23,acoustic,11,21981,21981,1,5023.917,310.48239999999987,5033.8779,False,True
Wgn23,acoustic,12,22121,22121,1,5037.8623,296.53710000000046,5047.8232,False,True
Wgn23,acoustic,13,22389,22389,1,5064.5576,269.84180000000015,5074.5186,False,True
Wgn23,acoustic,14,22849,22849,1,5110.3779,224.02149999999983,5120.3389,False,True
Wgn23,acoustic,15,22884,22884,1,5113.8643,220.53510000000006,5123.8252,False,True
Wgn23,acoustic,16,22967,22967,1,5122.1318,212.26760000000013,5132.0928,False,True
Wgn23,acoustic,17,23035,23058,3,5128.9053,205.4940999999999,5138.8662,False,True
Wgn23,acoustic,18,23129,23129,1,5138.2686,196.1307999999999,5148.2295,False,True
Wgn23,acoustic,19,23405,23405,1,5165.7607,168.63870000000043,5175.7217,False,True
Wgn23,acoustic,20,23505,23505,1,5175.7217,158.6777000000002,5185.6826,False,True
Wgn23,acoustic,21,23530,23530,1,5178.2119,156.1875,5188.1729,False,True
Wgn23,acoustic,22,23618,23618,1,5186.9775,147.42190000000028,5196.9385,False,True
Wgn23,acoustic,23,23701,23701,1,5195.2451,139.15430000000015,5205.2061,False,True
Wgn23,acoustic,24,23746,23746,1,5199.7275,134.67190000000028,5209.6885,False,True
Wgn23,acoustic,25,23834,23834,1,5208.4932,125.90620000000035,5218.4541,False,True
Wgn23,acoustic,26,23894,23894,1,5214.4697,119.9297000000006,5224.4307,False,True
Wgn23,acoustic,27,24083,24083,1,5233.2959,101.10350000000017,5243.2568,False,True
Wgn23,acoustic,28,24392,24419,3,5264.0752,70.32420000000002,5274.0361,False,True
Wgn23,acoustic,29,24487,24487,1,5273.5381,60.86130000000048,5283.499,False,True
Wgn23,acoustic,30,24758,24758,1,5300.5322,33.867200000000594,5310.4932,False,True
Wgn23,acoustic,31,24888,24888,1,5313.4814,20.918000000000575,5323.4424,False,True
Wgn23,acoustic,32,25092,25092,1,5333.8018,0.5976000000000568,5343.7627,True,False
Wgn20,bulk_stress,1,20143,20143,1,4499.876,493.66399999999976,4509.8369,False,True
Wgn20,bulk_stress,2,20358,20358,1,4521.292,472.2479999999996,4531.2529,False,True
Wgn20,bulk_stress,3,20485,20485,1,4533.9424,459.59760000000006,4543.9033,False,True
Wgn20,bulk_stress,4,20559,20559,1,4541.3135,452.22649999999976,4551.2744,False,True
Wgn20,bulk_stress,5,20589,20589,1,4544.3018,449.2381999999998,4554.2627,False,True
Wgn20,bulk_stress,6,20613,20613,1,4546.6924,446.84760000000006,4556.6533,False,True
Wgn20,bulk_stress,7,20688,20688,1,4554.1631,439.3769000000002,4564.124,False,True
Wgn20,bulk_stress,8,20728,20728,1,4558.1475,435.3924999999999,4568.1084,False,True
Wgn20,bulk_stress,9,20761,20761,1,4561.4346,432.1054000000004,4571.3955,False,True
Wgn20,bulk_stress,10,20816,20816,1,4566.9131,426.6269000000002,4576.874,False,True
Wgn20,bulk_stress,11,20915,20915,1,4576.7744,416.7655999999997,4586.7354,False,True
Wgn20,bulk_stress,12,20962,20962,1,4581.4561,412.08389999999963,4591.417,False,True
Wgn20,bulk_stress,13,21007,21007,1,4585.9385,407.60149999999976,4595.8994,False,True
Wgn20,bulk_stress,14,21042,21042,1,4589.4248,404.1152000000002,4599.3857,False,True
Wgn20,bulk_stress,15,21126,21126,1,4597.792,395.7479999999996,4607.7529,False,True
Wgn20,bulk_stress,16,21316,21316,1,4616.7178,376.8221999999996,4626.6787,False,True
Wgn20,bulk_stress,17,21368,21368,1,4621.8975,371.6424999999999,4631.8584,False,True
Wgn20,bulk_stress,18,21422,21422,1,4627.2764,366.2636000000002,4637.2373,False,True
Wgn20,bulk_stress,19,21480,21480,1,4633.0537,360.4862999999996,4643.0146,False,True
Wgn20,bulk_stress,20,21558,21558,1,4640.8232,352.71680000000015,4650.7842,False,True
Wgn20,bulk_stress,21,21627,21627,1,4647.6963,345.84370000000035,4657.6572,False,True
Wgn20,bulk_stress,22,21707,21707,1,4655.665,337.875,4665.626,False,True
Wgn20,bulk_stress,23,21828,21828,1,4667.7178,325.8221999999996,4677.6787,False,True
Wgn20,bulk_stress,24,21890,21890,1,4673.8936,319.64639999999963,4683.8545,False,True
Wgn20,bulk_stress,25,21981,21981,1,4682.958,310.58200000000033,4692.9189,False,True
Wgn20,bulk_stress,26,22049,22049,1,4689.7314,303.8086000000003,4699.6924,False,True
Wgn20,bulk_stress,27,22124,22124,1,4697.2021,296.33789999999954,4707.1631,False,True
Wgn20,bulk_stress,28,22220,22220,1,4706.7646,286.77539999999954,4716.7256,False,True
Wgn20,bulk_stress,29,22273,22273,1,4712.0439,281.4961000000003,4722.0049,False,True
Wgn20,bulk_stress,30,22340,22340,1,4718.7178,274.8221999999996,4728.6787,False,True
Wgn20,bulk_stress,31,22392,22392,1,4723.8975,269.6424999999999,4733.8584,False,True
Wgn20,bulk_stress,32,22452,22452,1,4729.874,263.66600000000017,4739.835,False,True
Wgn20,bulk_stress,33,22525,22525,1,4737.1455,256.39450000000033,4747.1064,False,True
Wgn20,bulk_stress,34,22678,22678,1,4752.3857,241.15430000000015,4762.3467,False,True
Wgn20,bulk_stress,35,22734,22734,1,4757.9639,235.57610000000022,4767.9248,False,True
Wgn20,bulk_stress,36,22772,22772,1,4761.749,231.79100000000017,4771.71,False,True
Wgn20,bulk_stress,37,22838,22838,1,4768.3232,225.21680000000015,4778.2842,False,True
Wgn20,bulk_stress,38,23017,23017,1,4786.1533,207.38670000000002,4796.1143,False,True
Wgn20,bulk_stress,39,23052,23052,1,4789.6396,203.90039999999954,4799.6006,False,True
Wgn20,bulk_stress,40,23081,23081,1,4792.5283,201.01170000000002,4802.4893,False,True
Wgn20,bulk_stress,41,23185,23185,1,4802.8877,190.65229999999974,4812.8486,False,True
Wgn20,bulk_stress,42,23289,23289,1,4813.2471,180.29290000000037,4823.208,False,True
Wgn20,bulk_stress,43,23402,23402,1,4824.5029,169.03709999999955,4834.4639,False,True
Wgn20,bulk_stress,44,23465,23465,1,4830.7783,162.76170000000002,4840.7393,False,True
Wgn20,bulk_stress,45,23497,23497,1,4833.9658,159.57420000000002,4843.9268,False,True
Wgn20,bulk_stress,46,23531,23531,1,4837.3525,156.1875,4847.3135,False,True
Wgn20,bulk_stress,47,23560,23560,1,4840.2412,153.29879999999957,4850.2021,False,True
Wgn20,bulk_stress,48,23629,23629,1,4847.1143,146.42569999999978,4857.0752,False,True
Wgn20,bulk_stress,49,23657,23657,1,4849.9033,143.63670000000002,4859.8643,False,True
Wgn20,bulk_stress,50,23892,23892,1,4873.3115,120.22850000000017,4883.2725,False,True
Wgn20,bulk_stress,51,24019,24019,1,4885.9619,107.57809999999972,4895.9229,False,True
Wgn20,bulk_stress,52,24058,24058,1,4889.8467,103.69329999999991,4899.8076,False,True
Wgn20,bulk_stress,53,24089,24089,1,4892.9346,100.60540000000037,4902.8955,False,True
Wgn20,bulk_stress,54,24119,24119,1,4895.9229,97.61710000000039,4905.8838,False,True
Wgn20,bulk_stress,55,24159,24159,1,4899.9072,93.63280000000032,4909.8682,False,True
Wgn20,bulk_stress,56,24194,24194,1,4903.3936,90.14639999999963,4913.3545,False,True
Wgn20,bulk_stress,57,24257,24257,1,4909.6689,83.8711000000003,4919.6299,False,True
Wgn20,bulk_stress,58,24325,24325,1,4916.4424,77.09760000000006,4926.4033,False,True
Wgn20,bulk_stress,59,24576,24576,1,4941.4443,52.09569999999985,4951.4053,False,True
Wgn20,bulk_stress,60,24621,24621,1,4945.9268,47.61319999999978,4955.8877,False,True
Wgn20,bulk_stress,61,24733,24733,1,4957.083,36.457000000000335,4967.0439,False,True
Wgn20,bulk_stress,62,24842,24842,1,4967.9404,25.599599999999555,4977.9014,False,True
Wgn20,bulk_stress,63,24959,24959,1,4979.5947,13.945300000000316,4989.5557,False,True
Wgn20,bulk_stress,64,25027,25027,1,4986.3682,7.171800000000076,4996.3291,True,False
Wgn20,bulk_stress,65,25078,25078,1,4991.4482,2.0918000000001484,4997.5244,True,False
Wgn23,bulk_stress,1,20403,20403,1,4866.7334,467.66600000000017,4876.6943,False,True
Wgn23,bulk_stress,2,20432,20450,2,4869.6221,464.77730000000065,4879.583,False,True
Wgn23,bulk_stress,3,20660,20660,1,4892.333,442.0664000000006,4902.2939,False,True
Wgn23,bulk_stress,4,20745,20745,1,4900.7998,433.59960000000046,4910.7607,False,True
Wgn23,bulk_stress,5,20800,20800,1,4906.2783,428.1211000000003,4916.2393,False,True
Wgn23,bulk_stress,6,20826,20826,1,4908.8682,425.53120000000035,4918.8291,False,True
Wgn23,bulk_stress,7,20882,20882,1,4914.4463,419.95310000000063,4924.4072,False,True
Wgn23,bulk_stress,8,20944,20944,1,4920.6221,413.77730000000065,4930.583,False,True
Wgn23,bulk_stress,9,21370,21370,1,4963.0557,371.34370000000035,4973.0166,False,True
Wgn23,bulk_stress,10,21394,21394,1,4965.4463,368.95310000000063,4975.4072,False,True
Wgn23,bulk_stress,11,21470,21470,1,4973.0166,361.3828000000003,4982.9775,False,True
Wgn23,bulk_stress,12,21499,21499,1,4975.9053,358.4940999999999,4985.8662,False,True
Wgn23,bulk_stress,13,21553,21553,1,4981.2842,353.1152000000002,4991.2451,False,True
Wgn23,bulk_stress,14,21709,21709,1,4996.8232,337.5762000000004,5006.7842,False,True
Wgn23,bulk_stress,15,21736,21736,1,4999.5127,334.8867,5009.4736,False,True
Wgn23,bulk_stress,16,22004,22004,1,5026.208,308.1914000000006,5036.1689,False,True
Wgn23,bulk_stress,17,22174,22174,1,5043.1416,291.2578000000003,5053.1025,False,True
Wgn23,bulk_stress,18,22284,22284,1,5054.0986,280.3008,5064.0596,False,True
Wgn23,bulk_stress,19,22366,22366,1,5062.2666,272.1328000000003,5072.2275,False,True
Wgn23,bulk_stress,20,22493,22493,1,5074.917,259.48239999999987,5084.8779,False,True
Wgn23,bulk_stress,21,22569,22569,1,5082.4873,251.91210000000046,5092.4482,False,True
Wgn23,bulk_stress,22,22597,22597,1,5085.2764,249.1230000000005,5095.2373,False,True
Wgn23,bulk_stress,23,22672,22672,1,5092.7471,241.65230000000065,5102.708,False,True
Wgn23,bulk_stress,24,22722,22722,1,5097.7275,236.67190000000028,5107.6885,False,True
Wgn23,bulk_stress,25,22773,22773,1,5102.8076,231.59180000000015,5112.7686,False,True
Wgn23,bulk_stress,26,22826,22826,1,5108.0869,226.3125,5118.0479,False,True
Wgn23,bulk_stress,27,22931,22931,1,5118.5459,215.85350000000017,5128.5068,False,True
Wgn23,bulk_stress,28,23007,23007,1,5126.1162,208.28319999999985,5136.0771,False,True
Wgn23,bulk_stress,29,23031,23031,1,5128.5068,205.89260000000013,5138.4678,False,True
Wgn23,bulk_stress,30,23307,23307,1,5155.999,178.40040000000045,5165.96,False,True
Wgn23,bulk_stress,31,23337,23337,1,5158.9873,175.41210000000046,5168.9482,False,True
Wgn23,bulk_stress,32,23438,23438,1,5169.0479,165.35150000000067,5179.0088,False,True
Wgn23,bulk_stress,33,23474,23474,1,5172.6338,161.76560000000063,5182.5947,False,True
Wgn23,bulk_stress,34,23555,23555,1,5180.7021,153.6972999999998,5190.6631,False,True
Wgn23,bulk_stress,35,23596,23596,1,5184.7861,149.61329999999998,5194.7471,False,True
Wgn23,bulk_stress,36,23688,23688,1,5193.9502,140.44920000000002,5203.9111,False,True
Wgn23,bulk_stress,37,23734,23751,2,5198.5322,135.8672000000006,5208.4932,False,True
Wgn23,bulk_stress,38,23832,23832,1,5208.2939,126.10550000000057,5218.2549,False,True
Wgn23,bulk_stress,39,23874,23874,1,5212.4775,121.92190000000028,5222.4385,False,True
Wgn23,bulk_stress,40,23983,23983,1,5223.335,111.0644000000002,5233.2959,False,True
Wgn23,bulk_stress,41,24024,24024,1,5227.4189,106.98050000000057,5237.3799,False,True
Wgn23,bulk_stress,42,24167,24167,1,5241.6631,92.73630000000048,5251.624,False,True
Wgn23,bulk_stress,43,24194,24194,1,5244.3525,90.04690000000028,5254.3135,False,True
Wgn23,bulk_stress,44,24238,24238,1,5248.7354,85.66400000000067,5258.6963,False,True
Wgn23,bulk_stress,45,24370,24370,1,5261.8838,72.51560000000063,5271.8447,False,True
Wgn23,bulk_stress,46,24534,24553,2,5278.2197,56.179700000000594,5288.1807,False,True
Wgn23,bulk_stress,47,24653,24653,1,5290.0732,44.326200000000426,5300.0342,False,True
Wgn23,bulk_stress,48,24781,24781,1,5302.8232,31.576200000000426,5312.7842,False,True
Wgn23,bulk_stress,49,24823,24823,1,5307.0068,27.39260000000013,5316.9678,False,True
