medium,event,x_P,x_R,successor_loss,successor_null_loss,radius_mean,end_index,end_position,quadrant,parent_step
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1711,-337.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1727,-321.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1743,-305.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1759,-289.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1775,-273.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1791,-257.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1807,-241.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1823,-225.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1839,-209.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1855,-193.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1871,-177.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1887,-161.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1903,-145.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1919,-129.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1935,-113.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1951,-97.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1967,-81.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1983,-65.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,1999,-49.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,2015,-33.0,bA,0.0
dry,5,0.0,0.0,0.0,1.1102230246251565e-16,1.4142135623730956,2031,-17.0,bA,0.0
dry,5,0.40000000000000013,1.9999999999997224,0.0007997413576435643,0.0007997413576436753,1.412638265397573,2047,-1.0,Ba,2.039607805436842
dry,5,0.8562572220780031,1.9999999999999927,0.03252069480293186,0.03252069480293198,1.4031098375909203,2063,15.0,Ba,0.456257222078003
dry,5,1.2285008409616605,1.999999999999997,0.07120871312211588,0.07120871312211599,1.3825474178685684,2079,31.0,Ab,0.3722436188836573
dry,5,1.2285008409616605,1.9999999999999976,0.11267643984145113,0.11267643984145127,1.356803602658494,2095,47.0,Ab,6.661338147750939e-16
dry,5,1.2285008409616605,1.9999999999999982,0.15404582034844344,0.15404582034844358,1.3308192822545473,2111,63.0,Ab,6.661338147750939e-16
dry,5,1.2285008409616605,1.999999999999999,0.19537642510813552,0.19537642510813563,1.304811264312972,2127,79.0,Ab,6.661338147750939e-16
dry,5,1.2285008409616605,1.9999999999999993,0.2366554398291216,0.23665543982912168,1.2787428523559594,2143,95.0,Ab,4.440892098500626e-16
dry,5,1.2285008409616605,1.9999999999999991,0.2778138915154002,0.2778138915154003,1.2519767326120044,2159,111.0,Ab,2.220446049250313e-16
dry,5,1.2285008409616605,2.0,0.31566017512642275,0.31491246895197045,1.2185541097165677,2175,127.0,Ab,8.881784197001252e-16
dry,5,1.1732497222222344,0.4517364112933229,0.06275084020087467,0.277820599057839,1.1875626489224587,2191,143.0,aB,1.5492491169069087
dry,5,1.1732497222222344,0.23277849966680106,0.02770498646529497,0.2380373316689631,1.164445658483252,2207,159.0,aB,0.21895791162652187
dry,5,1.2014054533787937,0.3352937331040628,0.03480108261073806,0.20758564312287395,1.141367366310174,2223,175.0,aB,0.10631142122865589
