split,duration,turns,amplitude,seed,variant,progress,prefix_n,x_p,x_r,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
calibration,513,2,0.18,0,gradual reference,0.125,96,2.0,0.7979738310720379,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999
calibration,513,2,0.18,0,gradual reference,0.25,129,1.9235018959480004,0.8314801706627527,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0
calibration,513,2,0.18,0,gradual reference,0.375,193,1.948018258133277,0.9142633561714614,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0,1.0
calibration,513,2,0.18,0,gradual reference,0.5,257,2.0,0.5063291191179745,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,1.0
calibration,513,2,0.18,0,gradual reference,0.625,321,2.0,0.2194799713408471,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0
calibration,513,2,0.18,0,gradual reference,0.75,385,2.0,0.0783649010891642,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0
calibration,513,2,0.18,0,gradual reference,0.875,449,2.0,0.01094869459428233,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002
calibration,513,2,0.18,0,gradual reference,0.96875,497,2.0,0.00027185453201679024,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999
calibration,513,2,0.18,0,gradual reference,1.0,513,2.0,1.7878557370346743e-06,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0
calibration,513,2,0.18,0,front-loaded,0.125,96,1.7789231382055843,0.57046261073007,0.9999492496818242,0.9995578202499913,0.9983204858180732,0.9940124065117418,0.981910750661232,0.9681910100691454
calibration,513,2,0.18,0,front-loaded,0.25,129,1.7707536418105425,0.38818594789763594,0.9996603397893998,0.9986645568873459,0.9948595040427684,0.981263010852605,0.9417975145444981,0.8970632278136608
calibration,513,2,0.18,0,front-loaded,0.375,193,1.8234915163096364,0.28466899064989715,0.9993042892675155,0.9972537260514677,0.9893682830379268,0.9611567595728707,0.8827267576402386,0.8221693248167834
calibration,513,2,0.18,0,front-loaded,0.5,257,1.8429321254998452,0.49501387941526936,0.9986483449145321,0.9947068236231975,0.9799492530461866,0.931432407076523,0.8336806021401466,0.893437021816522
calibration,513,2,0.18,0,front-loaded,0.625,321,1.9125438854098646,0.3027542504604593,0.9983071541449702,0.9933411331930098,0.9745380008125745,0.9105610412807699,0.7524447078279421,0.8250445464764011
calibration,513,2,0.18,0,front-loaded,0.75,385,1.9255124764868161,0.1600917700999799,0.9979800401485703,0.9921171248607539,0.970473174473029,0.9017844591107768,0.7579677826253681,0.8117456804323091
calibration,513,2,0.18,0,front-loaded,0.875,449,1.9406996165664236,0.02854488343213423,0.9976573745824864,0.9909341878764301,0.9667831560478473,0.895664569084662,0.7742416907376951,0.839335585205275
calibration,513,2,0.18,0,front-loaded,0.96875,497,1.9840007728272335,0.00099843751674177,0.997252230031798,0.9894543189224944,0.9642614011667676,0.8926222582743522,0.7904076631804074,0.8588475882291153
calibration,513,2,0.18,0,front-loaded,1.0,513,2.0,0.00027121733993492724,0.9973392710652917,0.9897935010293788,0.9634672890874876,0.8918750162022256,0.7964032290353336,0.8633820107629024
calibration,513,2,0.18,0,back-loaded,0.125,96,1.857680941404755,1.2497437059180752,0.9999492496818243,0.9995578202499912,0.9983204858180732,0.9940124065117418,0.981910750661232,0.9681910100691455
calibration,513,2,0.18,0,back-loaded,0.25,129,1.7648949314247822,1.333811109252521,0.9996603397893997,0.9986645568873458,0.9948595040427684,0.981263010852605,0.9417975145444981,0.8970632278136608
calibration,513,2,0.18,0,back-loaded,0.375,193,1.8129980323308084,1.0851548728831588,0.9993042892675155,0.9972537260514677,0.9893682830379268,0.9611567595728706,0.8827267576402386,0.8221693248167834
calibration,513,2,0.18,0,back-loaded,0.5,257,1.8429321254998452,0.5000400312479547,0.9986483449145319,0.9947068236231975,0.9799492530461866,0.931432407076523,0.8336806021401465,0.893437021816522
calibration,513,2,0.18,0,back-loaded,0.625,321,1.8604206764715725,0.1791139765628022,0.9983071541449703,0.99334113319301,0.9745380008125742,0.91056104128077,0.7524447078279421,0.8250445464764014
