run_id,row_index,row_v,approach_u,approach_v,slope_in,slope_out,delta_tau_u,delta_tau_v,nearest_real_magnet_id,A_real,A_mirror,A_half_column_shift,A_cyclic_row_shift,A_stagger_inversion,x_P_approach,x_P_exit,delta_x_P,joint_positive,A_wrong_mean
1,0,0.0,0.5242754702682648,-0.02,0.14418622995965524,0.2225349873426772,0.0745109684256475,-0.013642120894251653,4,0.06855702207410297,0.06855702207410294,-0.06618203641560055,0.06855702207410297,-0.06618203641560055,1.936023269644219,1.6961372545073328,-0.23988601513688623,False,0.0011874928292512008
1,1,0.25,0.5664503296473605,0.23,0.021025586166911702,-0.06863370903463265,-0.08949356567679956,-0.0021260400531766255,9,0.08508348188452088,0.08508348188452088,-0.07795963741137635,-0.0779596374113764,-0.0779596374113764,1.6681404270304476,1.1993306962412909,-0.4688097307891568,False,-0.03719885758740207
1,2,0.5,0.5577983869950759,0.48,0.15028809034013366,0.20876120689800487,0.05573658918650215,-0.009997812308487508,15,0.04608512244729937,0.046085122447299336,-0.05594165849140861,-0.05594165849140861,-0.05594165849140861,0.9267976703109628,1.6614042084576552,0.7346065381466924,True,-0.030434963256731624
1,3,0.75,0.597350188096309,0.73,0.14712343875887735,0.14552142211504426,-0.0015519101791664491,0.00022707912659236662,20,0.001565858471702462,0.001565858471702462,2.127966673249316e-05,2.1279666732484595e-05,2.1279666732484595e-05,1.7970014723286492,1.4659053554119208,-0.33109611691672836,False,0.00040742436797498114
1,4,1.0,0.6299026206657401,0.98,0.10658457437294583,0.022459511066823257,-0.08353042084012141,0.005380074044473937,26,0.07242290742727349,0.07242290742727356,-0.07884879487065792,-0.07884879487065792,-0.07884879487065792,1.2017277187575126,1.135267180295746,-0.0664605384617667,False,-0.041030869296175054
2,0,0.0,0.4828585284208783,-0.02,0.026551600144837963,-0.04995476049263559,-0.07643479222142789,-0.0008931011478219286,3,0.07409141562108804,0.07409141562108805,-0.05041890176684831,0.07409141562108804,-0.05041890176684831,2.0,2.0,0.0,False,0.011836256927119867
2,1,0.25,0.4736128572881609,0.23,0.036436564599568566,0.2221872373069928,0.18048551113858494,-0.023142556773004697,9,0.12985888740671483,0.12985888740671483,-0.18023927716637692,-0.18023927716637692,-0.18023927716637692,1.9121689751127593,1.9323898020379675,0.020220826925208213,True,-0.10271473602310398
2,2,0.5,0.5348820347714989,0.48,0.33589095023236604,0.25628517633944653,-0.07014732206774468,0.020739572458603583,15,-0.06096671637848041,-0.06096671637848039,0.07117011775480844,0.07117011775480844,0.07117011775480844,1.761793562803016,1.7513811296689594,-0.010412433134056487,False,0.038135909221486235
2,3,0.75,0.6063496141296686,0.73,0.34553729609371664,0.18764284976660864,-0.1421659618339237,0.03768068226958754,21,-0.1311612138950431,-0.13116121389504307,0.07893312466752228,0.07893312466752167,0.07893312466752167,1.7979776496373188,1.5348134750002815,-0.26316417463703723,False,0.02640954002688064
2,4,1.0,0.6454356606162156,0.98,0.12742806104494425,-0.1391986744999596,-0.26427529528200805,-0.0015281825435012886,26,0.24126316871219458,0.2412631687121947,-0.24865791512906488,-0.24865791512906488,-0.24865791512906488,1.3156869415737973,1.1375407696518465,-0.1781461719219508,False,-0.12617764416875
3,0,0.0,0.44091574962358443,-0.02,-0.08891498743109555,-0.9445669653273698,-0.5981050262475058,-0.26910165846658696,3,0.41916842011765615,0.41916842011765676,-0.6528097552689504,0.41916842011765615,-0.6528097552689504,1.4646314514474277,0.8472041980608616,-0.6174272533865661,False,-0.11682066757564695
