gate,requirement,value,pass
G0,raw event clock physical-period QA,records=11; event_ok=9; period_ok=11; share_ok=11; direction_ok=11,False
G1,170-ohm closure referee,True,True
G2,coherent non-closure in >=3/7 candidate detunings,3,True
G3,shuffle chronology penalty in >=4/7; support preserved,hits=7; max_dxP=0.000000,True
G4,coupled candidate structure exceeds uncoupled detuned drift,hits=0; group=False,False
G5,wrong-record lineage penalty in >=4/7,0,False
G6,reversal preserves unsigned geometry and reverses orientation,max_dxP=0.000000; max_drho=0.000000; orientation_hits=9,True
