record,channel,rung,role,landmark,cross_index,cross_time_s,lead_s
Wgn20,acoustic,-2,grandchild,0.5,25098.0,4993.4404,0.09959999999955471
Wgn20,acoustic,-2,grandchild,0.75,25098.0,4993.4404,0.09959999999955471
Wgn20,acoustic,-2,grandchild,1.0,25059.0,4989.5557,3.9843000000000757
Wgn20,acoustic,-1,child,0.5,25098.0,4993.4404,0.09959999999955471
Wgn20,acoustic,-1,child,0.75,25099.0,4993.54,0.0
Wgn20,acoustic,-1,child,1.0,24868.0,4970.5303,23.00969999999961
Wgn20,acoustic,0,current,0.5,25098.0,4993.4404,0.09959999999955471
Wgn20,acoustic,0,current,0.75,25072.0,4990.8506,2.689400000000205
Wgn20,acoustic,0,current,1.0,24872.0,4970.9287,22.611299999999574
Wgn20,acoustic,1,parent,0.5,25034.0,4987.0654,6.474599999999555
Wgn20,acoustic,1,parent,0.75,25068.0,4990.4521,3.087899999999536
Wgn20,acoustic,1,parent,1.0,,,
Wgn20,acoustic,2,grandparent,0.5,25098.0,4993.4404,0.09959999999955471
Wgn20,acoustic,2,grandparent,0.75,25108.0,4994.4365,-0.8964999999998327
Wgn20,acoustic,2,grandparent,1.0,,,
Wgn20,bulk_stress,-2,grandchild,0.5,25078.0,4991.4482,2.0918000000001484
Wgn20,bulk_stress,-2,grandchild,0.75,25078.0,4991.4482,2.0918000000001484
Wgn20,bulk_stress,-2,grandchild,1.0,25078.0,4991.4482,2.0918000000001484
Wgn20,bulk_stress,-1,child,0.5,25078.0,4991.4482,2.0918000000001484
Wgn20,bulk_stress,-1,child,0.75,25078.0,4991.4482,2.0918000000001484
Wgn20,bulk_stress,-1,child,1.0,25078.0,4991.4482,2.0918000000001484
Wgn20,bulk_stress,0,current,0.5,25099.0,4993.54,0.0
Wgn20,bulk_stress,0,current,0.75,25099.0,4993.54,0.0
Wgn20,bulk_stress,0,current,1.0,25085.0,4992.1455,1.3945000000003347
Wgn20,bulk_stress,1,parent,0.5,25099.0,4993.54,0.0
Wgn20,bulk_stress,1,parent,0.75,25099.0,4993.54,0.0
Wgn20,bulk_stress,1,parent,1.0,25102.0,4993.8389,-0.2988999999997759
Wgn20,bulk_stress,2,grandparent,0.5,,,
Wgn20,bulk_stress,2,grandparent,0.75,,,
Wgn20,bulk_stress,2,grandparent,1.0,25105.0,4994.1377,-0.597700000000259
Wgn23,acoustic,-2,grandchild,0.5,25098.0,5334.3994,0.0
Wgn23,acoustic,-2,grandchild,0.75,24984.0,5323.0439,11.355500000000575
Wgn23,acoustic,-2,grandchild,1.0,24987.0,5323.3428,11.05659999999989
Wgn23,acoustic,-1,child,0.5,25098.0,5334.3994,0.0
Wgn23,acoustic,-1,child,0.75,25086.0,5333.2041,1.1953000000003158
Wgn23,acoustic,-1,child,1.0,25086.0,5333.2041,1.1953000000003158
Wgn23,acoustic,0,current,0.5,25098.0,5334.3994,0.0
Wgn23,acoustic,0,current,0.75,24987.0,5323.3428,11.05659999999989
Wgn23,acoustic,0,current,1.0,24992.0,5323.8408,10.558600000000297
Wgn23,acoustic,1,parent,0.5,24991.0,5323.7412,10.658199999999852
Wgn23,acoustic,1,parent,0.75,25002.0,5324.8369,9.5625
Wgn23,acoustic,1,parent,1.0,25053.0,5329.917,4.4823999999998705
Wgn23,acoustic,2,grandparent,0.5,25086.0,5333.2041,1.1953000000003158
Wgn23,acoustic,2,grandparent,0.75,25044.0,5329.0205,5.378900000000613
Wgn23,acoustic,2,grandparent,1.0,24806.0,5305.3135,29.085900000000038
Wgn23,bulk_stress,-2,grandchild,0.5,25041.0,5328.7217,5.677700000000186
Wgn23,bulk_stress,-2,grandchild,0.75,25041.0,5328.7217,5.677700000000186
Wgn23,bulk_stress,-2,grandchild,1.0,25041.0,5328.7217,5.677700000000186
Wgn23,bulk_stress,-1,child,0.5,25098.0,5334.3994,0.0
Wgn23,bulk_stress,-1,child,0.75,25098.0,5334.3994,0.0
Wgn23,bulk_stress,-1,child,1.0,25098.0,5334.3994,0.0
Wgn23,bulk_stress,0,current,0.5,24830.0,5307.7041,26.695300000000316
Wgn23,bulk_stress,0,current,0.75,24830.0,5307.7041,26.695300000000316
Wgn23,bulk_stress,0,current,1.0,24830.0,5307.7041,26.695300000000316
Wgn23,bulk_stress,1,parent,0.5,,,
Wgn23,bulk_stress,1,parent,0.75,,,
Wgn23,bulk_stress,1,parent,1.0,25099.0,5334.499,-0.09959999999955471
Wgn23,bulk_stress,2,grandparent,0.5,,,
Wgn23,bulk_stress,2,grandparent,0.75,,,
Wgn23,bulk_stress,2,grandparent,1.0,25101.0,5334.6982,-0.29879999999957363
