medium,event,relative_row,x_S,x_F,child_u,child_v,child_handover,active_Ab_child
dry,1,-128,1.6462113642403902,0.0,1.2924227284807803,-2.0,,False
dry,1,-127,1.6462381514653213,0.0,1.2924763029306425,-2.0,,False
dry,1,-126,1.6462709813518037,0.0,1.2925419627036074,-2.0,,False
dry,1,-125,1.646302393924804,0.0,1.292604787849608,-2.0,,False
dry,1,-124,1.6463298080383892,0.0,1.2926596160767785,-2.0,,False
dry,1,-123,1.6463544038786242,0.0,1.2927088077572484,-2.0,,False
dry,1,-122,1.646375775330677,0.0,1.2927515506613538,-2.0,,False
dry,1,-121,1.6464039798690897,0.0,1.2928079597381794,-2.0,,False
dry,1,-120,1.6464335662881555,0.0,1.292867132576311,-2.0,,False
dry,1,-119,1.646465425860004,0.0,1.292930851720008,-2.0,,False
dry,1,-118,1.6464921149632346,0.0,1.292984229926469,-2.0,,False
dry,1,-117,1.6465199706245002,0.0,1.2930399412490003,-2.0,,False
dry,1,-116,1.6465473574820808,0.0,1.2930947149641616,-2.0,,False
dry,1,-115,1.6465746843763929,0.0,1.2931493687527857,-2.0,,False
dry,1,-114,1.6465992066253479,0.0,1.2931984132506957,-2.0,,False
dry,1,-113,1.6466215047823607,0.0,1.2932430095647214,-2.0,,False
dry,1,-112,1.6466456181908993,0.0,1.2932912363817985,-2.0,,False
dry,1,-111,1.6466769871542448,0.0,1.2933539743084896,-2.0,,False
dry,1,-110,1.6467033164779004,0.0,1.2934066329558007,-2.0,,False
dry,1,-109,1.6467265522423011,0.0,1.2934531044846023,-2.0,,False
dry,1,-108,1.6467455169870218,0.0,1.2934910339740435,-2.0,,False
dry,1,-107,1.6467756430754683,0.0,1.2935512861509366,-2.0,,False
dry,1,-106,1.6468043954600693,0.0,1.2936087909201386,-2.0,,False
dry,1,-105,1.6468295691281172,0.0,1.2936591382562344,-2.0,,False
dry,1,-104,1.6468608508721712,0.0,1.2937217017443423,-2.0,,False
dry,1,-103,1.6468831980900434,0.0,1.2937663961800867,-2.0,,False
dry,1,-102,1.6469045341092479,0.0,1.2938090682184957,-2.0,,False
dry,1,-101,1.6469261018047012,0.0,1.2938522036094025,-2.0,,False
dry,1,-100,1.6469535758815737,0.0,1.2939071517631473,-2.0,,False
dry,1,-99,1.6469881119954353,0.0,1.2939762239908705,-2.0,,False
dry,1,-98,1.6470190230575052,0.0,1.2940380461150105,-2.0,,False
dry,1,-97,1.64705055010582,0.0,1.2941011002116398,-2.0,,False
dry,1,-96,1.6470840532162134,0.0,1.2941681064324269,-2.0,,False
dry,1,-95,1.6471131572035826,0.0,1.2942263144071653,-2.0,,False
dry,1,-94,1.6471407730117922,0.0,1.2942815460235844,-2.0,,False
dry,1,-93,1.6471653143399814,0.0,1.2943306286799627,-2.0,,False
dry,1,-92,1.6471893350780056,0.0,1.2943786701560112,-2.0,,False
dry,1,-91,1.6472126689641255,0.0,1.294425337928251,-2.0,,False
dry,1,-90,1.6472330074126915,0.0,1.294466014825383,-2.0,,False
dry,1,-89,1.6472439343545842,0.0,1.2944878687091683,-2.0,,False
dry,1,-88,1.647259911838576,0.0,1.294519823677152,-2.0,,False
dry,1,-87,1.6472760692123367,0.0,1.2945521384246734,-2.0,,False
dry,1,-86,1.6472961650822444,0.0,1.2945923301644888,-2.0,,False
dry,1,-85,1.6473186676594653,0.0,1.2946373353189307,-2.0,,False
dry,1,-84,1.6473314207552563,0.0,1.2946628415105126,-2.0,,False
