identity,family,delta_r_ohm,pair,condition,window,x_p,x_r,local_loss,null_loss,occupied_b4,occupied_b8,occupied_b16,occupied_b32,cycle_rho,cycle_miss_signed,cycle_miss_abs,cycle_closure,coherent_nonclosure,best_rho,best_lag,best_miss_abs,orientation
coupled_0,coupled,0.0,1,chronological,0,1.4388857117629508,1.151589570184032,0.4144131482107004,0.7197236913920197,3,5,9,13,0.411295541833933,-0.01684993357704649,0.01684993357704649,False,False,0.6112708804027587,1,0.04143579693494569,0.04143579693494569
coupled_0,coupled,0.0,1,shuffled,0,1.4388857117629508,2.0,0.8419689019301357,0.8209777450351308,3,5,9,13,0.24166435493445218,0.014722776844442906,0.014722776844442906,False,False,0.44785767217431244,11,0.08083710842404676,-0.08060604306749382
coupled_0,coupled,0.0,1,reversed,0,1.4388857117629508,1.9642316702736589,0.4234596461150019,0.4311707753454612,3,5,9,13,0.411295541833933,0.016849933577046488,0.016849933577046488,False,False,0.6112708804027588,1,0.04143579693494571,-0.04143579693494571
coupled_0,coupled,0.0,1,wrong_record,0,1.0844129532345619,1.983347271548512,0.5329023458172388,0.5373767402832804,2,4,4,7,0.33017848926109555,-0.01632331590688584,0.01632331590688584,False,False,0.8041172250953003,1,0.002348079389355189,-0.002348079389355189
coupled_0,coupled,0.0,1,chronological,1,1.3356143810225265,2.0,0.13636253372229548,0.12351008871406786,3,5,8,12,0.5810127048168522,-0.029423268087689688,0.029423268087689688,False,False,0.790926931488999,1,0.017079021095228485,0.017079021095228485
coupled_0,coupled,0.0,1,shuffled,1,1.3356143810225265,2.0,0.3064443954453702,0.2566823571360998,3,5,8,12,0.5484034625906908,0.04218513221723377,0.04218513221723377,False,False,0.5484034625906908,8,0.04218513221723377,-0.01557521070994934
coupled_0,coupled,0.0,1,reversed,1,1.3356143810225265,1.674567663422722,0.3625728085993778,0.43303452768017675,3,5,8,12,0.5810127048168522,0.029423268087689688,0.029423268087689688,False,False,0.790926931488999,1,0.017079021095228485,-0.017079021095228485
coupled_0,coupled,0.0,1,wrong_record,1,1.0035843815994516,1.065898448782846,0.5600067122611938,1.0507693540612013,3,5,6,9,0.4469004522854485,0.048383624184068615,0.048383624184068615,False,False,0.8749852762917033,1,0.008459066128914177,0.008459066128914177
coupled_0,coupled,0.0,1,chronological,2,1.2014054533787928,0.9187741685052557,0.17205975143512336,0.3745419872111677,4,6,9,14,0.4817987630383356,-0.04075189595486877,0.04075189595486877,False,False,0.8022773671963299,1,0.021426913047631172,0.021426913047631172
coupled_0,coupled,0.0,1,shuffled,2,1.2014054533787928,2.0,0.34858462565292087,0.3246361770222292,4,6,9,14,0.33823440373315355,-0.05145868408108579,0.05145868408108579,False,False,0.47240701578707694,16,0.006735147227302736,-0.007308211479888872
coupled_0,coupled,0.0,1,reversed,2,1.2014054533787928,1.2560922389404967,0.3200557114956377,0.5096054279669812,4,6,9,14,0.4817987630383356,0.04075189595486877,0.04075189595486877,False,False,0.8022773671963298,1,0.021426913047631172,-0.021426913047631172
coupled_0,coupled,0.0,1,wrong_record,2,0.7473931188332408,0.6710357171622592,0.1426851384510992,0.425268386769336,3,3,5,6,0.4285385063755176,0.019388839709704953,0.019388839709704953,False,False,0.8079953687628804,1,0.009483676950996734,0.009483676950996734
coupled_0,coupled,0.0,1,chronological,3,0.5999999999999992,1.9308920407737789,0.8748137635286811,0.9061239520963703,4,6,6,8,0.37957924193504106,0.03789209131109902,0.03789209131109902,False,False,0.8281897026530107,1,0.012458389333495481,0.012458389333495481
coupled_0,coupled,0.0,1,shuffled,3,0.5999999999999992,2.0,0.521210856372462,0.40245864893307165,4,6,6,8,0.26720019800478917,-0.05191184937536898,0.05191184937536898,False,False,0.6003765526853545,9,0.042629554047360345,-0.03326534659710383
coupled_0,coupled,0.0,1,reversed,3,0.5999999999999992,0.2055988004913279,0.06616402709950772,0.6436226956713058,4,6,6,8,0.37957924193504106,-0.03789209131109902,0.03789209131109902,False,False,0.8281897026530108,1,0.012458389333495483,-0.012458389333495483
coupled_0,coupled,0.0,1,wrong_record,3,1.2148282925504996,1.617369398047581,0.5531288439381082,0.683985791502945,4,7,11,14,0.1462811615277752,0.1599121629300753,0.1599121629300753,False,False,0.7650544938861351,1,0.0107211743214807,-0.0107211743214807
coupled_0,coupled,0.0,1,chronological,4,1.0234915163096352,1.0127377864309248,0.411710578866014,0.8130645155780317,4,7,9,12,0.6511443035422568,0.05955002716117655,0.05955002716117655,False,False,0.7122505844612703,1,0.014267407016792374,0.014267407016792374
coupled_0,coupled,0.0,1,shuffled,4,1.0234915163096352,2.0,0.6471969949759552,0.6136440328955146,4,7,9,12,0.3225637223396188,-0.035021261747974944,0.035021261747974944,False,False,0.5463726452323924,12,0.04097081606904259,0.032654949254361555
coupled_0,coupled,0.0,1,reversed,4,1.0234915163096352,1.793295265697553,0.7605291392700955,0.8481917660940973,4,7,9,12,0.6511443035422568,-0.05955002716117655,0.05955002716117655,False,False,0.71225058446127,1,0.014267407016792374,-0.014267407016792374
coupled_0,coupled,0.0,1,wrong_record,4,1.3663716958860088,1.4419521275064375,0.3493065263701338,0.48449115571428614,3,5,7,13,0.6639439502100442,0.024421663364065004,0.024421663364065004,False,False,0.7525645580430997,1,0.017819742598289265,0.017819742598289265
coupled_0,coupled,0.0,1,chronological,5,1.2915274761983515,0.5053429028824121,0.13057510288707494,0.5167782198673061,4,6,10,15,0.5506059457614796,0.034648056018652396,0.034648056018652396,False,False,0.8031984881251689,1,0.0034850421028706424,0.0034850421028706424
coupled_0,coupled,0.0,1,shuffled,5,1.2915274761983515,2.0,0.32301852746764353,0.2767078663971327,4,6,10,15,0.5083751082121137,0.03226636578221976,0.03226636578221976,False,False,0.5083751082121137,8,0.03226636578221976,-0.0017754253588978146
coupled_0,coupled,0.0,1,reversed,5,1.2915274761983515,1.6863760552207796,0.6339622281007337,0.7518634128349689,4,6,10,15,0.5506059457614796,-0.034648056018652396,0.034648056018652396,False,False,0.803198488125169,1,0.0034850421028706402,-0.0034850421028706402
coupled_0,coupled,0.0,1,wrong_record,5,1.2970853654340473,1.4547249089975918,0.2467424934382442,0.3392290761120839,3,5,7,12,0.5943149494176109,-0.014806673614192571,0.014806673614192571,False,False,0.780047904685855,1,0.00828526321706709,0.00828526321706709
coupled_0,coupled,0.0,1,chronological,6,1.2217668361837322,0.7785107110848091,0.165642746612226,0.4255374890896813,3,5,7,11,0.42980709134772394,-0.014549036258669334,0.014549036258669334,False,False,0.7641544759817199,1,0.0040121063272947075,-0.0040121063272947075
coupled_0,coupled,0.0,1,shuffled,6,1.2217668361837322,2.0,0.8596158481588857,0.30458037799652954,3,5,7,11,0.44543796392237056,0.0019125476645872777,0.0019125476645872777,False,False,0.6632332732067874,12,0.001958027789791375,0.0594066370057466
coupled_0,coupled,0.0,1,reversed,6,1.2217668361837322,1.5543751091445854,0.3558243886155875,0.45783593229488506,3,5,7,11,0.42980709134772394,0.014549036258669332,0.014549036258669332,False,False,0.76415447598172,1,0.004012106327294708,0.004012106327294708
coupled_0,coupled,0.0,1,wrong_record,6,1.404900711474488,0.7637724532634436,0.17671361066047567,0.46273889534877705,3,5,8,13,0.5594333824649327,0.08210360779471426,0.08210360779471426,False,False,0.8092372087787632,1,0.008352754853615805,-0.008352754853615805
coupled_0,coupled,0.0,1,chronological,7,1.2217668361837322,1.7507575167681895,0.32283976367738526,0.3688000886305846,3,5,7,11,0.6086068018932006,0.045869707836977296,0.045869707836977296,False,False,0.8128669221758492,1,0.004034448731191946,-0.004034448731191946
coupled_0,coupled,0.0,1,shuffled,7,1.2217668361837322,1.6095540792333325,0.14961552075984927,0.1859092809495591,3,5,7,11,0.6164486701418399,0.01986144091082932,0.01986144091082932,False,False,0.7218319887714867,5,0.014316891616242455,0.01748345052917291
