medium,event,drop_source_row,drop_position_before,drop_position_after,stress_before_mpa,stress_after_mpa,instantaneous_fall_mpa
dry,1,28580,285.79001,285.80001,72.1493947832882,60.1276544804004,12.0217403028878
dry,2,35925,359.24002,359.25002,81.3744792497348,63.8374171917027,17.537062058032106
dry,3,43428,434.27002,434.28002,96.9360161181781,71.9483080146564,24.987708103521697
dry,4,51992,519.91002,519.92002,91.4015205605939,67.7363241813185,23.6651963792754
dry,5,60181,601.80003,601.81003,98.9523354344122,71.0535998494987,27.89873558491351
dry,6,69014,690.13003,690.14003,99.5402930714225,70.7530630536234,28.78723001779909
dry,7,77100,770.99004,771.00004,86.522701496469,64.6949079151329,21.827793581336095
dry,8,84945,849.44004,849.45004,96.4831584441581,69.4289708330152,27.054187611142893
dry,9,92591,925.90004,925.91004,82.6556555814584,64.2690096119327,18.386645969525702
dry,10,100413,1004.12005,1004.13005,87.8665780674266,67.389957321075,20.4766207463516
fluid,1,38164,0.129063152111498,0.21083899075865,66.3009130553079,56.1299946139911,10.1709184413168
fluid,2,47285,0.360000296461125,0.42792819077946,64.2324286988769,55.0118822055461,9.2205464933308
fluid,3,57343,0.53867012270974,0.626493179126302,70.78662153802,58.586557944239,12.200063593781003
fluid,4,68332,0.707906670313562,0.821478340554576,80.4221890554794,64.9641465529154,15.458042502563998
fluid,5,80591,0.93282591413271,1.06078703463607,86.1745679444017,68.8510677509428,17.323500193458898
