gate,passed,value
D1 endpoint recovery,True,"{""irrational_to_rational"": {""irrational_x_p"": 2.0, ""rational_x_p"": 0.0, ""pre_x_r"": 8.403243578365138e-05, ""post_x_r"": 0.0}, ""rational_to_irrational"": {""irrational_x_p"": 2.0, ""rational_x_p"": 0.0, ""pre_x_r"": 0.0, ""post_x_r"": 8.403243578365029e-05}}"
D2 finite ordered excursion,True,"{""irrational_to_rational"": {""estimate"": 1.1514046291434865, ""ci_low"": 0.6384986175910181, ""ci_high"": 1.4746202341352868, ""n"": 96}, ""rational_to_irrational"": {""estimate"": 1.155634025847392, ""ci_low"": 0.7373676808389991, ""ci_high"": 1.7882396438008, ""n"": 96}}"
D3 reclosure,True,"{""irrational_to_rational"": {""error"": {""estimate"": 0.0, ""ci_low"": 0.0, ""ci_high"": 0.0, ""n"": 96}, ""post_share"": 1.0}, ""rational_to_irrational"": {""error"": {""estimate"": 1.7414997395548415e-18, ""ci_low"": 8.944667923005412e-19, ""ci_high"": 9.718652748888501e-16, ""n"": 96}, ""post_share"": 1.0}}"
D4 beyond window smear,False,"{""irrational_to_rational"": {""estimate"": 0.10919198974175179, ""ci_low"": -0.0009585001334661775, ""ci_high"": 0.22603880916012092, ""n"": 96}, ""rational_to_irrational"": {""estimate"": -0.0004343912856636777, ""ci_low"": -0.002559629183546562, ""ci_high"": 0.03776361997649724, ""n"": 96}}"
D5 ordered vs destroyed chronology,True,"{""irrational_to_rational"": {""estimate"": 0.017920736931661345, ""ci_low"": 0.007216783117589054, ""ci_high"": 0.02993582939069389, ""n"": 96}, ""rational_to_irrational"": {""estimate"": 0.017487146248858672, ""ci_low"": 0.00638475830960622, ""ci_high"": 0.02697722130981367, ""n"": 96}}"
D6 directional symmetry,False,median excursion difference=0.004229
