identity,family,delta_r_ohm,pair,condition,x_p,x_r,local_loss,null_loss,cycle_rho,cycle_miss_signed,cycle_miss_abs,best_rho,best_lag,best_miss_abs,orientation,windows,closure_share,coherent_nonclosure_share
coupled_0,coupled,0.0,1,chronological,1.786313713864834,0.01851484013581341,0.009194592870060532,0.9959304373720504,0.997901166504649,0.0768550452504509,0.0768550452504509,0.9999202539232294,1.0,0.13451083320303686,0.13451083320303686,17,0.0,1.0
coupled_0,coupled,0.0,1,reversed,1.786313713864834,0.018137858029757706,0.009034457921249269,0.9961989895859775,0.9979011665046492,-0.07685504525045092,0.07685504525045092,0.9999202539232294,1.0,0.13451083320303686,-0.13451083320303686,17,0.0,1.0
coupled_0,coupled,0.0,1,shuffled,1.786313713864834,1.8051874195003061,1.0545587319457264,1.1015757172775977,0.13646354039405337,-0.08293072824740254,0.2438020890562556,0.39995675638133543,10.0,0.30789984067237125,0.07762711214905652,17,0.0,0.0
coupled_0,coupled,0.0,1,wrong_record,1.7509775004326928,0.013575512327683776,0.006751038156613051,0.998054251069343,0.9968249221339271,0.07374295698309102,0.07374295698309102,0.9998889971005188,1.0,0.13422589820311195,0.13422589820311195,17,0.0,1.0
coupled_0,coupled,0.0,2,chronological,1.786313713864834,0.021266037516550554,0.010609577730040032,0.9952300278641981,0.9991660239829796,0.07811181622405158,0.07811181622405158,0.999970942769693,1.0,0.13472685518805394,0.13472685518805394,17,0.0,1.0
coupled_0,coupled,0.0,2,reversed,1.786313713864834,0.019796560445633753,0.009782609199673598,0.9949283858626559,0.9991660239829795,-0.0781118162240516,0.0781118162240516,0.9999709427696931,1.0,0.1347268551880539,-0.1347268551880539,17,0.0,1.0
coupled_0,coupled,0.0,2,shuffled,1.786313713864834,1.837519516088645,0.966694669477734,1.0435991149750374,0.1769732486754553,0.24070607873232144,0.3277828436936447,0.37351496794365346,9.0,0.34569113414714375,0.08985708488240815,17,0.0,0.0
coupled_0,coupled,0.0,2,wrong_record,1.7509775004326928,0.020731256814189327,0.010282953926456144,1.0013174378878373,0.9983252136248287,0.07767335939906955,0.07767335939906955,0.9999458213113139,1.0,0.13431494339395025,0.13431494339395025,17,0.0,1.0
coupled_0,coupled,0.0,3,chronological,1.5505697309388182,0.024673515649266564,0.01261241330569473,0.9996713620479827,0.9625730711010347,0.07247727639803608,0.07247727639803608,0.999317824234089,15.0,0.13430781200050426,0.1342082955048654,18,0.0,1.0
coupled_0,coupled,0.0,3,reversed,1.5505697309388182,0.025173804424843085,0.012551044263942624,1.000345285256177,0.9625730711010347,-0.07247727639803608,0.07247727639803608,0.9993178242340892,15.0,0.13430781200050426,-0.13420829550486538,18,0.0,1.0
coupled_0,coupled,0.0,3,shuffled,1.5505697309388182,1.7852722432604782,0.967243224596936,1.1263448102596905,0.16565270780704966,-0.012814327714093441,0.24159228625615398,0.39013836590555695,14.0,0.3461166123885703,0.06318927953330603,18,0.0,0.0
coupled_0,coupled,0.0,3,wrong_record,1.5535053975777122,0.025684881447501695,0.012726441390554226,0.999127584320787,0.9634397006929936,0.07049801228777877,0.07049801228777877,0.9992523108491401,8.0,0.13440380311127664,0.13408811070005006,18,0.0,1.0
coupled_0,coupled,0.0,4,chronological,1.7323556195543965,0.01752095590765903,0.00877206819183168,0.9970204087616277,0.9977129521943499,0.07831094337923493,0.07831094337923493,0.999920953045521,1.0,0.13471417204582434,0.13471417204582434,17,0.0,1.0
coupled_0,coupled,0.0,4,reversed,1.7323556195543965,0.01899666832173946,0.009417609255549709,0.996122158417822,0.9977129521943496,-0.07831094337923493,0.07831094337923493,0.9999209530455208,1.0,0.13471417204582434,-0.13471417204582434,17,0.0,1.0
coupled_0,coupled,0.0,4,shuffled,1.7323556195543965,1.7428719174975726,1.04074452536953,1.108260184036602,0.1803991014130767,0.1131999325496896,0.22152473695839509,0.37055752013878834,12.0,0.3388937166970339,-0.20819481344971652,17,0.0,0.0
coupled_0,coupled,0.0,4,wrong_record,1.7323556195543965,0.013029030644311709,0.006521753619826172,0.9982392775381749,0.9964608916917796,0.07467324364707412,0.07467324364707412,0.9998653821319584,1.0,0.13398255424784486,0.13398255424784486,17,0.0,1.0
coupled_0,coupled,0.0,5,chronological,1.786313713864834,0.019890005205290266,0.009904005820943551,0.9958776499776202,0.9974183374303925,0.07754960065991773,0.07754960065991773,0.9998876354663719,1.0,0.134646242990608,0.134646242990608,17,0.0,1.0
coupled_0,coupled,0.0,5,reversed,1.786313713864834,0.019746698084252858,0.009750718524662094,0.9955806828513732,0.9974183374303928,-0.07754960065991774,0.07754960065991774,0.9998876354663718,1.0,0.134646242990608,-0.134646242990608,17,0.0,1.0
coupled_0,coupled,0.0,5,shuffled,1.786313713864834,1.858997528852667,1.084610456373318,1.1177365111711282,0.15215270422299726,-0.034750054995889,0.21270418668752814,0.37099881558217274,11.0,0.25717742423872464,0.16702880857858626,17,0.0,0.0
coupled_0,coupled,0.0,5,wrong_record,1.7509775004326928,0.011765417109682468,0.0058845357417316,0.9996771326676266,0.9969137104557964,0.07335009326993934,0.07335009326993934,0.9999091958551434,1.0,0.13430140668090576,0.13430140668090576,17,0.0,1.0
coupled_0,coupled,0.0,6,chronological,1.6756589711823773,0.038938593352384095,0.01913616538726981,0.9878754184039382,0.775111181771234,0.08365637380874906,0.08365637380874906,0.9994842889944053,16.0,0.14848103438846363,0.13523175813691068,18,0.0,0.16666666666666666
coupled_0,coupled,0.0,6,reversed,1.6756589711823773,0.03673114853505757,0.018016484715732153,0.978954551830726,0.7751111817712341,-0.08365637380874906,0.08365637380874906,0.9994842889944053,16.0,0.14848103438846363,-0.1352317581369107,18,0.0,0.16666666666666666
coupled_0,coupled,0.0,6,shuffled,1.6756589711823773,1.8177363012683998,1.0564832399157953,1.1405340688821437,0.15973380145846344,0.04187297548335379,0.19266754094384952,0.38162863663669133,14.0,0.3573413226086731,-0.12677189103607178,18,0.0,0.0
coupled_0,coupled,0.0,6,wrong_record,1.6362602046305765,0.03678273234745517,0.018220331528698844,0.983867267356159,0.77615404775722,0.079548159306253,0.079548159306253,0.998372429684764,16.0,0.14236063057764353,0.13498165212425955,18,0.0,0.1111111111111111
coupled_0,coupled,0.0,7,chronological,1.786313713864834,0.019319792411279055,0.00955019473552187,0.9966241175192032,0.9991641241704994,0.07744988113930704,0.07744988113930704,0.9999720546787539,1.0,0.13467685341542246,0.13467685341542246,17,0.0,1.0
coupled_0,coupled,0.0,7,reversed,1.786313713864834,0.01776517384184018,0.008866274763856884,0.9963394018058863,0.9991641241704994,-0.07744988113930704,0.07744988113930704,0.999972054678754,1.0,0.13467685341542246,-0.13467685341542246,17,0.0,1.0
coupled_0,coupled,0.0,7,shuffled,1.786313713864834,1.7992935676913107,1.0068893599337452,1.1746941422802062,0.15747616261565356,-0.03942015108386994,0.3554078394484172,0.3822696895119407,10.0,0.2532546935444386,-0.09671090543268299,17,0.0,0.0
coupled_0,coupled,0.0,7,wrong_record,1.7141371736342068,0.015784263747166266,0.007864758695347735,0.9968740525504427,0.998419854494957,0.07152419117951117,0.07152419117951117,0.9999567029048696,1.0,0.13407739086047224,0.13407739086047224,17,0.0,1.0
coupled_0,coupled,0.0,8,chronological,1.7509775004326928,0.022235215231592925,0.011073812644022999,0.9960607557590684,0.9959143205956181,0.07796669161597115,0.07796669161597115,0.9999328787617294,1.0,0.13500550421051014,0.13462979436288533,17,0.0,1.0
coupled_0,coupled,0.0,8,reversed,1.7509775004326928,0.021419809181882948,0.010634784042053128,0.995932205161283,0.9959143205956181,-0.07796669161597115,0.07796669161597115,0.9999328787617295,1.0,0.13500550421051014,-0.13462979436288533,17,0.0,1.0
coupled_0,coupled,0.0,8,shuffled,1.7509775004326928,1.9021716849746193,1.0185042377082707,1.0587353663474213,0.14593133203876824,0.20044043959697888,0.34754435553670804,0.35964579059716745,8.0,0.31357584175250713,0.09152259485370509,17,0.0,0.0
