medium,event,handover_time_s,persistent_fall_per_step,final_20_percent,start_coupling,end_coupling
dry,1,-41.135,0.0015997941069187949,False,0.984167362485035,0.970432801092446
dry,2,-34.965,0.0010768861399790275,False,0.978273361351162,0.94740851903688
dry,3,-35.805,0.0016265733630691503,False,0.973035718250319,0.912419851992508
dry,4,-24.995,0.0016483612665740832,False,1.00641192092533,0.898145128645646
dry,5,-7.24499999999999,0.0008533061107651729,True,1.01425412258614,0.953545867222222
dry,6,-15.775,0.0009491517178932263,False,0.993219825109175,0.804502788829993
dry,7,-35.445,0.000810994158511269,False,0.999938202886664,0.872089559226669
dry,8,-0.984999999999985,0.0006620617595364253,True,1.00505137011751,0.800915601268718
dry,9,-0.504999999999984,0.0007908837679551084,True,1.00811723893768,0.747260411520708
dry,10,-3.80499999999998,0.0006054074739177961,True,1.00890806338977,0.66580996534975
fluid,1,-0.504999999999984,0.001684650061547499,True,0.986591604075511,0.490053931188204
fluid,2,-0.504999999999984,0.001079787847620861,True,0.999551408722493,0.461642586458015
fluid,3,-2.62499999999998,0.0010352937264848094,True,0.99407548265096,0.510633652907555
fluid,4,-0.984999999999985,0.0012189919304892438,True,0.996697219580394,0.56408495974924
fluid,5,-0.504999999999984,0.001501927236404299,True,1.00247119364026,0.586192556902806
