identity,family,stratum,condition,window,window_id,x_p,x_r,local_loss,null_loss,occupied_b4,occupied_b8,occupied_b16,occupied_b32,cycle_rho,cycle_miss_signed,cycle_miss_abs,cycle_closure,best_rho,best_lag,best_miss_abs,any_coherent_return,median_rho,orientation
single:free,single,free,chronological,0,single:free:w000,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
single:free,single,free,shuffled,0,single:free:w000,0.5999999999999995,2.0,1.2158944567191639,1.1278077232482207,4,8,8,8,0.10206207261596575,0.4020433619923482,0.4020433619923482,False,0.41439208543888295,6,0.4421837315047693,False,0.12542429785981557,0.4469067647173964
single:free,single,free,reversed,0,single:free:w000,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,-0.125
single:driven1,single,driven1,chronological,0,single:driven1:w000,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
single:driven1,single,driven1,shuffled,0,single:driven1:w000,0.5999999999999995,2.0,1.3199346385118835,1.0981751077321995,4,8,8,8,0.24346363386227066,0.11370819117478337,0.11370819117478337,False,0.42794587113451055,13,0.46633475225030663,False,0.22447575788476726,0.3040867239846963
single:driven1,single,driven1,reversed,0,single:driven1:w000,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,-0.125
single:driven1,single,driven1,chronological,1,single:driven1:w001,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
single:driven1,single,driven1,shuffled,1,single:driven1:w001,0.5999999999999995,1.9624935665690089,1.136901660240419,1.1586296939847227,4,8,8,8,0.10206207261596575,0.27704336199234825,0.27704336199234825,False,0.4258393412478113,11,0.3444304246602341,False,0.17643307522431856,-0.29534708315804237
single:driven1,single,driven1,reversed,1,single:driven1:w001,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,-0.125
single:driven1,single,driven1,chronological,2,single:driven1:w002,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
single:driven1,single,driven1,shuffled,2,single:driven1:w002,0.5999999999999995,1.9849490809717574,1.0666666666666667,1.0747546895706426,4,8,8,8,0.1604487366468594,-0.23284708315804234,0.23284708315804234,False,0.48664755999421017,16,0.27906817683815194,False,0.18889078015666533,0.07596131805486395
single:driven1,single,driven1,reversed,2,single:driven1:w002,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,-0.125
single:driven1,single,driven1,chronological,3,single:driven1:w003,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
single:driven1,single,driven1,shuffled,3,single:driven1:w003,0.5999999999999995,1.582960787041763,1.0354161764866803,1.3082019276316579,4,8,8,8,0.34846171252933794,-0.22295663800765184,0.22295663800765184,False,0.34846171252933794,8,0.22295663800765184,False,0.18801726208483543,-0.3262469584203898
single:driven1,single,driven1,reversed,3,single:driven1:w003,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,-0.125
single:driven1,single,driven1,chronological,4,single:driven1:w004,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
single:driven1,single,driven1,shuffled,4,single:driven1:w004,0.5999999999999995,1.8001445896533044,1.2505609058248173,1.3894005103952975,4,8,8,8,0.06646004278475817,0.14215291684195777,0.14215291684195777,False,0.3718957454670068,15,0.3497199610771486,False,0.2159559657925169,0.09312437002434887
single:driven1,single,driven1,reversed,4,single:driven1:w004,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,-0.125
single:driven1,single,driven1,chronological,5,single:driven1:w005,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,4,8,8,8,1.0,0.0,0.0,True,1.0,2,0.25,True,1.0,0.125
