path_id,direction,duration,duration_hat,absolute_error,abrupt_intercept,abrupt_slope,abrupt_r2,positive_window_count
q11:d31:t320:r0:irrational_to_rational,irrational_to_rational,320,192.0,128.0,32.00000000000004,0.49999999999999983,1.0,4
q11:d31:t320:r0:rational_to_irrational,rational_to_irrational,320,144.0,176.0,-31.999999999999883,0.9249999999999999,0.9956363636363637,4
q11:d31:t320:r10:irrational_to_rational,irrational_to_rational,320,192.0,128.0,32.00000000000004,0.49999999999999983,1.0,4
q11:d31:t320:r10:rational_to_irrational,rational_to_irrational,320,144.0,176.0,-31.999999999999883,0.9249999999999999,0.9956363636363637,4
q11:d31:t320:r11:irrational_to_rational,irrational_to_rational,320,160.0,160.0,32.00000000000004,0.49999999999999983,1.0,3
q11:d31:t320:r11:rational_to_irrational,rational_to_irrational,320,80.0,240.0,-31.999999999999883,0.9249999999999999,0.9956363636363637,3
q11:d31:t320:r1:irrational_to_rational,irrational_to_rational,320,160.0,160.0,32.00000000000004,0.49999999999999983,1.0,3
q11:d31:t320:r1:rational_to_irrational,rational_to_irrational,320,80.0,240.0,-31.999999999999883,0.9249999999999999,0.9956363636363637,3
q11:d31:t320:r2:irrational_to_rational,irrational_to_rational,320,128.0,192.0,32.00000000000004,0.49999999999999983,1.0,3
q11:d31:t320:r2:rational_to_irrational,rational_to_irrational,320,32.0,288.0,-31.999999999999883,0.9249999999999999,0.9956363636363637,2
q11:d31:t320:r3:irrational_to_rational,irrational_to_rational,320,16.0,304.0,48.0,0.3999999999999999,0.9846153846153847,2
q11:d31:t320:r3:rational_to_irrational,rational_to_irrational,320,-16.0,336.0,1.236054661406883e-13,0.7499999999999998,1.0,0
q11:d31:t320:r4:irrational_to_rational,irrational_to_rational,320,-80.0,400.0,2.6416278739585927e-14,0.24999999999999992,1.0,0
q11:d31:t320:r4:rational_to_irrational,rational_to_irrational,320,-144.0,464.0,4.579784323690768e-14,0.39999999999999997,0.9142857142857143,0
q11:d31:t320:r5:irrational_to_rational,irrational_to_rational,320,0.0,320.0,0.0,0.0,1.0,0
q11:d31:t320:r5:rational_to_irrational,rational_to_irrational,320,0.0,320.0,0.0,0.0,1.0,0
