record,event_id,rung,role,first_warning_lead_s
Wgn23,Wgn23:E000,-2,grandchild,
Wgn23,Wgn23:E000,-1,child,
Wgn23,Wgn23:E000,0,current,
Wgn23,Wgn23:E000,1,parent,
Wgn23,Wgn23:E000,2,grandparent,
Wgn23,Wgn23:E001,-2,grandchild,
Wgn23,Wgn23:E001,-1,child,
Wgn23,Wgn23:E001,0,current,
Wgn23,Wgn23:E001,1,parent,
Wgn23,Wgn23:E001,2,grandparent,
Wgn24,Wgn24:E000,-2,grandchild,
Wgn24,Wgn24:E000,-1,child,
Wgn24,Wgn24:E000,0,current,
Wgn24,Wgn24:E000,1,parent,
Wgn24,Wgn24:E000,2,grandparent,
Wgn24,Wgn24:E001,-2,grandchild,
Wgn24,Wgn24:E001,-1,child,
Wgn24,Wgn24:E001,0,current,
Wgn24,Wgn24:E001,1,parent,
Wgn24,Wgn24:E001,2,grandparent,
Wgn24,Wgn24:E002,-2,grandchild,
Wgn24,Wgn24:E002,-1,child,
Wgn24,Wgn24:E002,0,current,
Wgn24,Wgn24:E002,1,parent,
Wgn24,Wgn24:E002,2,grandparent,
Wgn24,Wgn24:E003,-2,grandchild,
Wgn24,Wgn24:E003,-1,child,
Wgn24,Wgn24:E003,0,current,
Wgn24,Wgn24:E003,1,parent,
Wgn24,Wgn24:E003,2,grandparent,
Wgn24,Wgn24:E004,-2,grandchild,
Wgn24,Wgn24:E004,-1,child,
Wgn24,Wgn24:E004,0,current,
Wgn24,Wgn24:E004,1,parent,
Wgn24,Wgn24:E004,2,grandparent,
Wgn24,Wgn24:E005,-2,grandchild,
Wgn24,Wgn24:E005,-1,child,
Wgn24,Wgn24:E005,0,current,
Wgn24,Wgn24:E005,1,parent,
Wgn24,Wgn24:E005,2,grandparent,
Wgn24,Wgn24:E006,-2,grandchild,
Wgn24,Wgn24:E006,-1,child,
Wgn24,Wgn24:E006,0,current,
Wgn24,Wgn24:E006,1,parent,
Wgn24,Wgn24:E006,2,grandparent,
Wgn24,Wgn24:E007,-2,grandchild,
Wgn24,Wgn24:E007,-1,child,
Wgn24,Wgn24:E007,0,current,
Wgn24,Wgn24:E007,1,parent,
Wgn24,Wgn24:E007,2,grandparent,
Wgn24,Wgn24:E008,-2,grandchild,
Wgn24,Wgn24:E008,-1,child,
Wgn24,Wgn24:E008,0,current,
Wgn24,Wgn24:E008,1,parent,
Wgn24,Wgn24:E008,2,grandparent,
Wgn24,Wgn24:E009,-2,grandchild,
Wgn24,Wgn24:E009,-1,child,
Wgn24,Wgn24:E009,0,current,
Wgn24,Wgn24:E009,1,parent,
Wgn24,Wgn24:E009,2,grandparent,
Wgn24,Wgn24:E010,-2,grandchild,
Wgn24,Wgn24:E010,-1,child,
Wgn24,Wgn24:E010,0,current,
Wgn24,Wgn24:E010,1,parent,
Wgn24,Wgn24:E010,2,grandparent,
Wgn24,Wgn24:E011,-2,grandchild,
Wgn24,Wgn24:E011,-1,child,
Wgn24,Wgn24:E011,0,current,
Wgn24,Wgn24:E011,1,parent,
Wgn24,Wgn24:E011,2,grandparent,
Wgn24,Wgn24:E012,-2,grandchild,
Wgn24,Wgn24:E012,-1,child,
Wgn24,Wgn24:E012,0,current,
Wgn24,Wgn24:E012,1,parent,
Wgn24,Wgn24:E012,2,grandparent,
