gate,passed,value
M1 stable endpoints,True,maximum grouped median=0.013715
M2 abrupt-smear calibration,True,"{""irrational_to_rational"": {""median_abs_intercept"": 32.00000000000008, ""median_r2"": 0.9846153846153847}, ""rational_to_irrational"": {""median_abs_intercept"": 15.999999999999893, ""median_r2"": 0.9956363636363637}}"
M3 positive deconvolved duration,False,"{""irrational_to_rational"": {""estimate"": 56.0, ""ci_low"": 8.0, ""ci_high"": 96.0, ""n"": 144}, ""rational_to_irrational"": {""estimate"": 24.0, ""ci_low"": 0.0, ""ci_high"": 72.0, ""n"": 144}}"
M4 duration ordering,False,"{""irrational_to_rational"": {""estimate"": -0.03401822905328951, ""ci_low"": -0.2057825541583835, ""ci_high"": 0.14006697955178715, ""n"": 144}, ""rational_to_irrational"": {""estimate"": -0.016945439536800937, ""ci_low"": -0.185892612860386, ""ci_high"": 0.15434449285436394, ""n"": 144}}"
M5 numerical recovery,False,"{""irrational_to_rational"": {""estimate"": 352.0, ""ci_low"": 304.0, ""ci_high"": 448.0, ""n"": 144}, ""rational_to_irrational"": {""estimate"": 376.0, ""ci_low"": 352.0, ""ci_high"": 448.0, ""n"": 144}}"
M6 directional symmetry,False,"hat difference=32.000; width wins={'irrational_to_rational': 2, 'rational_to_irrational': 2}"
