pair_id,q,d,duration,replicate,condition,window,true_center,irrational_to_rational,rational_to_irrational,parent_ridge,forward_error,reverse_error,parent_error,parent_abs_error,better_single_error,wrong_reverse_ridge,wrong_pair_parent,wrong_pair_abs_error
q19:d59:t288:r0,19,59,288,0,asymmetric,128,1376,1600.0,1165.8079733638951,1382.9039866819476,224.0,-210.19202663610486,6.903986681947572,6.903986681947572,210.19202663610486,1745.9575714952582,1672.978785747629,296.978785747629
q19:d59:t288:r0,19,59,288,0,asymmetric,256,1376,1653.812291513999,1109.8985541053335,1381.8554228096664,277.81229151399907,-266.10144589466654,5.855422809666379,5.855422809666379,266.10144589466654,1701.9988717394936,1677.9055816267464,301.9055816267464
q19:d59:t288:r0,19,59,288,0,asymmetric,384,1376,1710.3014596824257,1056.0,1383.150729841213,334.30145968242573,-320.0,7.1507298412129785,7.1507298412129785,320.0,1644.0354784903811,1677.1684690864035,301.16846908640355
q19:d59:t288:r0,19,59,288,0,asymmetric,512,1376,1768.0412807277048,994.5471514917097,1381.2942161097071,392.0412807277048,-381.45284850829034,5.294216109707122,5.294216109707122,381.45284850829034,1581.8843235044656,1674.9628021160852,298.9628021160852
q19:d59:t288:r0,19,59,288,0,clean,128,1376,1556.0517395236775,1197.2077323771096,1376.6297359503935,180.0517395236775,-178.79226762289045,0.629735950393524,0.629735950393524,178.79226762289045,1793.5244835688354,1674.7881115462565,298.78811154625646
q19:d59:t288:r0,19,59,288,0,clean,256,1376,1611.310277425542,1143.6674192553019,1377.488848340422,235.31027742554193,-232.33258074469813,1.4888483404220096,1.4888483404220096,232.33258074469813,1749.6107601320223,1680.460518778782,304.460518778782
q19:d59:t288:r0,19,59,288,0,clean,384,1376,1668.6188659489626,1087.6740968605377,1378.1464814047501,292.6188659489626,-288.3259031394623,2.1464814047501477,2.1464814047501477,288.3259031394623,1689.7713567917278,1679.1951113703453,303.19511137034533
q19:d59:t288:r0,19,59,288,0,clean,512,1376,1726.591135710577,1033.5093359850923,1380.0502358478348,350.59113571057696,-342.4906640149077,4.050235847834756,4.050235847834756,342.4906640149077,1627.0925690637332,1676.841852387155,300.8418523871551
q19:d59:t288:r1,19,59,288,1,asymmetric,128,1395,1615.1669601170893,1184.0,1399.5834800585446,220.16696011708927,-211.0,4.583480058544637,4.583480058544637,211.0,1760.0,1687.5834800585446,292.58348005854464
q19:d59:t288:r1,19,59,288,1,asymmetric,256,1395,1664.0,1121.4966792562564,1392.7483396281282,269.0,-273.50332074374364,-2.2516603718718216,2.2516603718718216,269.0,1718.4829307124278,1691.241465356214,296.2414653562139
q19:d59:t288:r1,19,59,288,1,asymmetric,384,1395,1728.0,1068.4961018320569,1398.2480509160284,333.0,-326.50389816794313,3.2480509160284328,3.2480509160284328,326.50389816794313,1659.1712610937598,1693.5856305468799,298.5856305468799
q19:d59:t288:r1,19,59,288,1,asymmetric,512,1395,1784.6072018028392,1013.5219244481018,1399.0645631254706,389.6072018028392,-381.4780755518982,4.064563125470613,4.064563125470613,381.4780755518982,1596.660057086657,1690.633629444748,295.63362944474807
q19:d59:t288:r1,19,59,288,1,clean,128,1395,1568.0,1216.0,1392.0,173.0,-179.0,-3.0,3.0,173.0,1824.0,1696.0,301.0
q19:d59:t288:r1,19,59,288,1,clean,256,1395,1632.0,1159.3926157796925,1395.6963078898461,237.0,-235.6073842203075,0.696307889846139,0.696307889846139,235.6073842203075,1771.6384743629826,1701.8192371814912,306.8192371814912
q19:d59:t288:r1,19,59,288,1,clean,384,1395,1689.5998129736465,1103.7134470085934,1396.65662999112,294.5998129736465,-291.28655299140655,1.6566299911200986,1.6566299911200986,291.28655299140655,1712.692470436918,1701.1461417052824,306.1461417052824
q19:d59:t288:r1,19,59,288,1,clean,512,1395,1745.8789888691758,1046.5412914861154,1396.2101401776456,350.8789888691758,-348.45870851388463,1.2101401776455987,1.2101401776455987,348.45870851388463,1650.2973848714792,1698.0881868703275,303.0881868703275
q19:d59:t288:r2,19,59,288,2,asymmetric,128,1414,1632.0,1216.0,1424.0,218.0,-198.0,10.0,10.0,198.0,1792.0,1712.0,298.0
q19:d59:t288:r2,19,59,288,2,asymmetric,256,1414,1689.75281660982,1152.0,1420.87640830491,275.75281660982,-262.0,6.876408304910001,6.876408304910001,262.0,1746.7860047034544,1718.2694106566373,304.2694106566373
q19:d59:t288:r2,19,59,288,2,asymmetric,384,1414,1746.4375967066824,1091.183681906214,1418.8106393064481,332.43759670668237,-322.8163180937861,4.810639306448138,4.810639306448138,322.8163180937861,1689.439396533786,1717.9384966202342,303.9384966202342
q19:d59:t288:r2,19,59,288,2,asymmetric,512,1414,1804.3404577061428,1036.7515342825532,1420.545995994348,390.34045770614284,-377.24846571744683,6.545995994348004,6.545995994348004,377.24846571744683,1627.552204781177,1715.9463312436599,301.94633124365987
q19:d59:t288:r2,19,59,288,2,clean,128,1414,1594.0280188228153,1248.0,1421.0140094114076,180.02801882281528,-166.0,7.014009411407642,7.014009411407642,166.0,1838.4590379086674,1716.2435283657414,302.24352836574144
