gate,passed,observed
G1 causality QA,True,alarm=22107; calibration_end=17819; slip=22114
G2 primary dense forecast,True,lead=14.000000000123691 ms; bouts=1
G3 dense false-alarm boundary,True,earlier false bouts=0
G4 dense child ordering,True,grandchild=16.0 ms; child=14.0 ms; current-full=-2.0 ms
G5 marker specificity,True,"real=0.0 bins; pseudo median=2060.5; shifted=[3335.0, 2221.0, 1107.0]"
G6 repeated scale ordering,False,grandchild<=current 5/15; alarm horizon contains drop 3/15
G7 Irrationality address,True,finite rung addresses=5/5
