time_s,time_to_slip_s,stress_mpa,displacement_micrometre,r-2_grandchild_xS,r-2_grandchild_xF,r-2_grandchild_h,r-2_grandchild_active_Ab,r-2_grandchild_gap,r-1_child_xS,r-1_child_xF,r-1_child_h,r-1_child_active_Ab,r-1_child_gap,r0_current_xS,r0_current_xF,r0_current_h,r0_current_active_Ab,r0_current_gap,r1_parent_xS,r1_parent_xF,r1_parent_h,r1_parent_active_Ab,r1_parent_gap,r2_grandparent_xS,r2_grandparent_xF,r2_grandparent_h,r2_grandparent_active_Ab,r2_grandparent_gap
7730.4503700000005,-44.228000000000065,1.8521849099999999,-0.18966400000000003,0.0,1.0,,False,1.0,0.0,1.0,,False,1.0,0.0,1.0,,False,1.0,0.0,1.0,,False,1.0,0.0,1.0,,False,1.0
7730.45237,-44.22600000000057,1.85658146,-0.169953,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0
7730.45437,-44.22400000000016,1.85565081,-0.13787,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0
7730.45637,-44.22200000000066,1.8568883500000002,-0.106226,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0
7730.45837,-44.220000000000255,1.8565253899999998,-0.128464,0.0,0.00888451555853954,,False,0.00888451555853954,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0
7730.460370000001,-44.21799999999985,1.8631190899999999,-0.12414100000000002,0.0,0.005581814851353863,,False,0.005581814851353863,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0
7730.46237,-44.21600000000035,1.85687837,-0.17818700000000004,0.0,0.006572067370344776,,False,0.006572067370344776,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,,False,0.0
7730.464370000001,-44.21399999999994,1.8562360100000002,-0.17412200000000003,0.0,0.03486385215985421,,False,0.03486385215985421,0.0,0.0,,False,0.0,0.0,0.031585066560663476,,False,0.031585066560663476,0.0,0.031585066560663476,,False,0.031585066560663476,0.0,0.031585066560663476,,False,0.031585066560663476
7730.46637,-44.212000000000444,1.8542316299999997,-0.165661,0.0,0.6314083449635953,,False,0.6314083449635953,0.0,0.1693290307202609,,False,0.1693290307202609,0.0,0.1420306782554566,,False,0.1420306782554566,0.0,0.1420306782554566,,False,0.1420306782554566,0.0,0.1420306782554566,,False,0.1420306782554566
7730.4683700000005,-44.210000000000036,1.8534365499999998,-0.128726,0.0,0.7753755629776751,,False,0.7753755629776751,0.0,0.33338304095771853,,False,0.33338304095771853,0.0,0.24848623501669034,,False,0.24848623501669034,0.0,0.24848623501669034,,False,0.24848623501669034,0.0,0.24848623501669034,,False,0.24848623501669034
7730.47037,-44.20800000000054,1.85136362,-0.16572000000000003,0.0,0.9341051792077856,,False,0.9341051792077856,0.0,0.7572320600107374,,False,0.7572320600107374,0.0,0.27517845567382215,,False,0.27517845567382215,0.0,0.3818059050315779,,False,0.3818059050315779,0.0,0.3818059050315779,,False,0.3818059050315779
7730.47237,-44.20600000000013,1.8547217799999998,-0.158896,0.0,0.9220822122704082,,False,0.9220822122704082,0.0,0.8126294432359652,,False,0.8126294432359652,0.0,0.33271229866444874,,False,0.33271229866444874,0.0,0.4052701457646227,,False,0.4052701457646227,0.0,0.4052701457646227,,False,0.4052701457646227
7730.47437,-44.20400000000063,1.85619611,-0.109626,0.0,0.8597785851368025,,False,0.8597785851368025,0.0,0.8136078800202905,,False,0.8136078800202905,0.0,0.32948961098741125,,False,0.32948961098741125,0.0,0.4023781595019819,,False,0.4023781595019819,0.0,0.4023781595019819,,False,0.4023781595019819
7730.47637,-44.202000000000226,1.8562361299999999,-0.072862,0.0,0.7681364953758998,,False,0.7681364953758998,0.0,0.7812650471951595,,False,0.7812650471951595,0.0,0.3486213585239423,,False,0.3486213585239423,0.0,0.3997385084028167,,False,0.3997385084028167,0.0,0.3997385084028167,,False,0.3997385084028167
7730.478370000001,-44.19999999999982,1.85636365,-0.154608,0.0,0.8614754443238205,,False,0.8614754443238205,0.0,0.7384016053448034,,False,0.7384016053448034,0.0,0.35329810440576154,,False,0.35329810440576154,0.0,0.3969109038629033,,False,0.3969109038629033,0.0,0.3969109038629033,,False,0.3969109038629033
7730.48037,-44.19800000000032,1.8611651200000001,-0.15988600000000003,0.0,0.7897589667742869,,False,0.7897589667742869,0.0,0.623800379014431,,False,0.623800379014431,0.0,0.407773744640025,,False,0.407773744640025,0.0,0.3756450907253834,,False,0.3756450907253834,0.0,0.3756450907253834,,False,0.3756450907253834
7730.482370000001,-44.19599999999991,1.8564733000000002,-0.168084,0.0,0.8779504771143892,,False,0.8779504771143892,0.0,0.6069665109514657,,False,0.6069665109514657,0.0,0.4186189077443096,,False,0.4186189077443096,0.0,0.37437698368593797,,False,0.37437698368593797,0.0,0.37437698368593797,,False,0.37437698368593797
7730.48437,-44.194000000000415,1.8557534599999999,-0.166793,0.0,0.8932834884143681,,False,0.8932834884143681,0.0,0.6164026293298747,,False,0.6164026293298747,0.0,0.43134720689765715,,False,0.43134720689765715,0.0,0.37978393855742204,,False,0.37978393855742204,0.0,0.37978393855742204,,False,0.37978393855742204
7730.4863700000005,-44.19200000000001,1.8536842899999997,-0.21357600000000002,0.0,1.2618632267583156,,False,1.2618632267583156,0.0,0.6684019818175668,,False,0.6684019818175668,0.0,0.445538716963186,,False,0.445538716963186,0.0,0.4118299094857005,,False,0.4118299094857005,0.0,0.4118299094857005,,False,0.4118299094857005
7730.48837,-44.19000000000051,1.85246348,-0.15449000000000002,0.0,1.3281173982591135,,False,1.3281173982591135,0.0,0.7407348188970757,,False,0.7407348188970757,0.0,0.47014460593596047,,False,0.47014460593596047,0.0,0.4539624237977522,,False,0.4539624237977522,0.0,0.4539624237977522,,False,0.4539624237977522
7730.49037,-44.1880000000001,1.84997732,-0.11208100000000001,0.0,1.40177450382556,,False,1.40177450382556,0.0,0.9105007202310863,,False,0.9105007202310863,0.0,0.5038840212083675,,False,0.5038840212083675,0.0,0.479262680820236,,False,0.479262680820236,0.0,0.5160599644365771,,False,0.5160599644365771
7730.49237,-44.186000000000604,1.8550295,-0.14657499999999998,0.0,1.2323331844155216,,False,1.2323331844155216,0.0,0.9291315305055386,,False,0.9291315305055386,0.0,0.5014293382320462,,False,0.5014293382320462,0.0,0.49655898787729474,,False,0.49655898787729474,0.0,0.5209283338651496,,False,0.5209283338651496
7730.49437,-44.1840000000002,1.85456396,-0.11801499999999998,0.0,1.1052684382706968,,False,1.1052684382706968,0.0,0.9440087754623936,,False,0.9440087754623936,0.0,0.5391750269752477,,False,0.5391750269752477,0.0,0.5084393366433645,,False,0.5084393366433645,0.0,0.5296242347141632,,False,0.5296242347141632
7730.49637,-44.1820000000007,1.85514859,-0.115512,0.0,0.8622848475830804,,False,0.8622848475830804,0.0,0.9281356139287827,,False,0.9281356139287827,0.0,0.5632876864165339,,False,0.5632876864165339,0.0,0.5270706912953911,,False,0.5270706912953911,0.0,0.5324089387429929,,False,0.5324089387429929
7730.49837,-44.18000000000029,1.8570159099999999,-0.13173500000000002,0.0,0.8322525335500712,,False,0.8322525335500712,0.0,0.8820269564933497,,False,0.8820269564933497,0.0,0.5577659655940082,,False,0.5577659655940082,0.0,0.5252209417734665,,False,0.5252209417734665,0.0,0.5276890778685054,,False,0.5276890778685054
