split,duration,turns,amplitude,seed,variant,suffix_error,recent_tick_error,final_history_distance,peak_history_distance,retention_ratio,emergence_progress,closure_jump_share
calibration,513,2,0.18,0,back-loaded,0.0,0.0,0.09569028232237264,0.11534147592469245,0.8296259567967532,0.125,0.01973160312667941
calibration,513,2,0.18,0,early burst,0.0,0.0,0.28409416935290854,0.42391729347885015,0.6701641422115807,0.375,0.00569608164512795
calibration,513,2,0.18,0,front-loaded,0.0,0.0,0.09569028259577599,0.13692179008816643,0.6988681825891939,0.125,0.01692041928882893
calibration,513,2,0.18,0,negative detour,0.0,0.0,0.06936095102405349,0.14527670225338846,0.47744029116985065,0.125,0.008272403948400451
calibration,513,2,0.18,0,oscillatory detour,0.0,0.0,0.048947184572437435,0.1258762019813521,0.3888517750137449,0.125,0.009814977473167483
calibration,513,2,0.18,0,positive detour,0.0,0.0,0.06936095061471698,0.13615419761462375,0.5094293957138138,0.125,0.008793335953628072
calibration,513,2,0.18,0,pseudo-stochastic bridge,0.0,0.0,0.0883866876345266,0.22205980274370093,0.39803101030645144,0.125,0.011812565635254978
calibration,513,2,0.18,1,back-loaded,0.0,0.0,0.09569028232237264,0.11534147592469245,0.8296259567967532,0.125,0.01973160312667941
calibration,513,2,0.18,1,early burst,0.0,0.0,0.28409416935290854,0.42391729347885015,0.6701641422115807,0.375,0.00569608164512795
calibration,513,2,0.18,1,front-loaded,0.0,0.0,0.09569028259577599,0.13692179008816643,0.6988681825891939,0.125,0.01692041928882893
calibration,513,2,0.18,1,negative detour,0.0,0.0,0.06936095102405349,0.14527670225338846,0.47744029116985065,0.125,0.008272403948400451
calibration,513,2,0.18,1,oscillatory detour,0.0,0.0,0.048947184572437435,0.1258762019813521,0.3888517750137449,0.125,0.009814977473167483
calibration,513,2,0.18,1,positive detour,0.0,0.0,0.06936095061471698,0.13615419761462375,0.5094293957138138,0.125,0.008793335953628072
calibration,513,2,0.18,1,pseudo-stochastic bridge,1.1102230246251565e-16,0.0,0.10024739927292352,0.19011388943237126,0.5273018166754422,0.125,0.021320118820912396
calibration,513,2,0.18,2,back-loaded,0.0,0.0,0.09569028232237264,0.11534147592469245,0.8296259567967532,0.125,0.01973160312667941
calibration,513,2,0.18,2,early burst,0.0,0.0,0.28409416935290854,0.42391729347885015,0.6701641422115807,0.375,0.00569608164512795
calibration,513,2,0.18,2,front-loaded,0.0,0.0,0.09569028259577599,0.13692179008816643,0.6988681825891939,0.125,0.01692041928882893
calibration,513,2,0.18,2,negative detour,0.0,0.0,0.06936095102405349,0.14527670225338846,0.47744029116985065,0.125,0.008272403948400451
calibration,513,2,0.18,2,oscillatory detour,0.0,0.0,0.048947184572437435,0.1258762019813521,0.3888517750137449,0.125,0.009814977473167483
calibration,513,2,0.18,2,positive detour,0.0,0.0,0.06936095061471698,0.13615419761462375,0.5094293957138138,0.125,0.008793335953628072
calibration,513,2,0.18,2,pseudo-stochastic bridge,0.0,0.0,0.036039488384148936,0.08957653157831388,0.4023318133571712,0.125,0.0018299727826153749
calibration,513,2,0.3,0,back-loaded,0.0,0.0,0.09569028232237264,0.11534147592469245,0.8296259567967532,0.125,0.01973160312667941
calibration,513,2,0.3,0,early burst,0.0,0.0,0.28409416935290854,0.42391729347885015,0.6701641422115807,0.375,0.00569608164512795
calibration,513,2,0.3,0,front-loaded,0.0,0.0,0.09569028259577599,0.13692179008816643,0.6988681825891939,0.125,0.01692041928882893
calibration,513,2,0.3,0,negative detour,0.0,0.0,0.17315335321180558,0.3388342855078611,0.5110266599859428,0.125,0.006820847443587273
calibration,513,2,0.3,0,oscillatory detour,0.0,0.0,0.12169839238311654,0.26293250884455743,0.4628503067875231,0.125,0.010871744879974306
calibration,513,2,0.3,0,positive detour,0.0,0.0,0.17315335413453967,0.3187586838958797,0.5432114100179276,0.375,0.007244694311310656
calibration,513,2,0.3,0,pseudo-stochastic bridge,1.1102230246251565e-16,0.0,0.26609585441483,0.5365779756828102,0.49591274050377443,0.125,0.022558197531082656
calibration,513,2,0.3,1,back-loaded,0.0,0.0,0.09569028232237264,0.11534147592469245,0.8296259567967532,0.125,0.01973160312667941
calibration,513,2,0.3,1,early burst,0.0,0.0,0.28409416935290854,0.42391729347885015,0.6701641422115807,0.375,0.00569608164512795
calibration,513,2,0.3,1,front-loaded,0.0,0.0,0.09569028259577599,0.13692179008816643,0.6988681825891939,0.125,0.01692041928882893
calibration,513,2,0.3,1,negative detour,0.0,0.0,0.17315335321180558,0.3388342855078611,0.5110266599859428,0.125,0.006820847443587273
calibration,513,2,0.3,1,oscillatory detour,0.0,0.0,0.12169839238311654,0.26293250884455743,0.4628503067875231,0.125,0.010871744879974306
calibration,513,2,0.3,1,positive detour,0.0,0.0,0.17315335413453967,0.3187586838958797,0.5432114100179276,0.375,0.007244694311310656
calibration,513,2,0.3,1,pseudo-stochastic bridge,0.0,0.0,0.1137095878738596,0.28031289556068406,0.40565236089626483,0.125,0.01296398962418995
calibration,513,2,0.3,2,back-loaded,0.0,0.0,0.09569028232237264,0.11534147592469245,0.8296259567967532,0.125,0.01973160312667941
calibration,513,2,0.3,2,early burst,0.0,0.0,0.28409416935290854,0.42391729347885015,0.6701641422115807,0.375,0.00569608164512795
calibration,513,2,0.3,2,front-loaded,0.0,0.0,0.09569028259577599,0.13692179008816643,0.6988681825891939,0.125,0.01692041928882893
calibration,513,2,0.3,2,negative detour,0.0,0.0,0.17315335321180558,0.3388342855078611,0.5110266599859428,0.125,0.006820847443587273
calibration,513,2,0.3,2,oscillatory detour,0.0,0.0,0.12169839238311654,0.26293250884455743,0.4628503067875231,0.125,0.010871744879974306
calibration,513,2,0.3,2,positive detour,0.0,0.0,0.17315335413453967,0.3187586838958797,0.5432114100179276,0.375,0.007244694311310656
calibration,513,2,0.3,2,pseudo-stochastic bridge,0.0,0.0,0.11540683218570766,0.17956621500798783,0.6426979160894709,0.125,0.0006045148582450384
calibration,513,4,0.18,0,back-loaded,0.0,0.0,0.3078015788452646,0.37512796022116746,0.8205242250238861,0.25,0.019886127302457667
calibration,513,4,0.18,0,early burst,0.0,0.0,0.5146388487911255,0.5173296589294935,0.9947986547998504,0.375,0.005201345200149534
calibration,513,4,0.18,0,front-loaded,0.0,0.0,0.30780157919985607,0.3751278381798933,0.8205244929123314,0.25,0.019886140947098074
calibration,513,4,0.18,0,negative detour,0.0,0.0,0.23970561097812967,0.41289223709489936,0.5805524769966446,0.375,0.005774965400781655
calibration,513,4,0.18,0,oscillatory detour,0.0,0.0,0.17068631888405314,0.33584121962498475,0.5082351686152434,0.125,0.010397209465247926
calibration,513,4,0.18,0,positive detour,0.0,0.0,0.2401490234373742,0.41097033182990655,0.5843463745133984,0.375,0.0057913655940023375
calibration,513,4,0.18,0,pseudo-stochastic bridge,0.0,0.0,0.23006008316867702,0.4184555917857885,0.5497837469129747,0.25,0.01025039585480488
calibration,513,4,0.18,1,back-loaded,0.0,0.0,0.3078015788452646,0.37512796022116746,0.8205242250238861,0.25,0.019886127302457667
