split,duration,turns,amplitude,seed,variant,suffix_error,recent_tick_error,final_history_distance,peak_history_distance,retention_ratio,emergence_progress,closure_jump_share
calibration,513,4,0.18,1,early burst,0.0,0.0,0.5146388487911255,0.5173296589294935,0.9947986547998504,0.375,0.005201345200149534
calibration,513,4,0.18,1,front-loaded,0.0,0.0,0.30780157919985607,0.3751278381798933,0.8205244929123314,0.25,0.019886140947098074
calibration,513,4,0.18,1,negative detour,0.0,0.0,0.23970561097812967,0.41289223709489936,0.5805524769966446,0.375,0.005774965400781655
calibration,513,4,0.18,1,oscillatory detour,0.0,0.0,0.17068631888405314,0.33584121962498475,0.5082351686152434,0.125,0.010397209465247926
calibration,513,4,0.18,1,positive detour,0.0,0.0,0.2401490234373742,0.41097033182990655,0.5843463745133984,0.375,0.0057913655940023375
calibration,513,4,0.18,1,pseudo-stochastic bridge,0.0,0.0,0.15832887468113993,0.2340380222624561,0.6765091977387587,0.125,0.004978788067004551
calibration,513,4,0.18,2,back-loaded,0.0,0.0,0.3078015788452646,0.37512796022116746,0.8205242250238861,0.25,0.019886127302457667
calibration,513,4,0.18,2,early burst,0.0,0.0,0.5146388487911255,0.5173296589294935,0.9947986547998504,0.375,0.005201345200149534
calibration,513,4,0.18,2,front-loaded,0.0,0.0,0.30780157919985607,0.3751278381798933,0.8205244929123314,0.25,0.019886140947098074
calibration,513,4,0.18,2,negative detour,0.0,0.0,0.23970561097812967,0.41289223709489936,0.5805524769966446,0.375,0.005774965400781655
calibration,513,4,0.18,2,oscillatory detour,0.0,0.0,0.17068631888405314,0.33584121962498475,0.5082351686152434,0.125,0.010397209465247926
calibration,513,4,0.18,2,positive detour,0.0,0.0,0.2401490234373742,0.41097033182990655,0.5843463745133984,0.375,0.0057913655940023375
calibration,513,4,0.18,2,pseudo-stochastic bridge,0.0,0.0,0.39673007556593426,0.4423655083877213,0.8968377236550078,0.125,0.021697327553948112
calibration,513,4,0.3,0,back-loaded,0.0,0.0,0.3078015788452646,0.37512796022116746,0.8205242250238861,0.25,0.019886127302457667
calibration,513,4,0.3,0,early burst,0.0,0.0,0.5146388487911255,0.5173296589294935,0.9947986547998504,0.375,0.005201345200149534
calibration,513,4,0.3,0,front-loaded,0.0,0.0,0.30780157919985607,0.3751278381798933,0.8205244929123314,0.25,0.019886140947098074
calibration,513,4,0.3,0,negative detour,0.0,0.0,0.44882044898663265,0.4496104778464008,0.9982428593222464,0.375,0.001757140677753598
calibration,513,4,0.3,0,oscillatory detour,0.0,0.0,0.3150976263075889,0.4764544431400884,0.6613384151293203,0.125,0.013559749310141925
calibration,513,4,0.3,0,positive detour,0.0,0.0,0.4492037871457841,0.4499931416334419,0.9982458521816743,0.375,0.0017541478183256845
calibration,513,4,0.3,0,pseudo-stochastic bridge,2.220446049250313e-16,0.0,0.5144628687283747,0.5443421397820669,0.945109391924618,0.25,0.021595289585860055
calibration,513,4,0.3,1,back-loaded,0.0,0.0,0.3078015788452646,0.37512796022116746,0.8205242250238861,0.25,0.019886127302457667
calibration,513,4,0.3,1,early burst,0.0,0.0,0.5146388487911255,0.5173296589294935,0.9947986547998504,0.375,0.005201345200149534
calibration,513,4,0.3,1,front-loaded,0.0,0.0,0.30780157919985607,0.3751278381798933,0.8205244929123314,0.25,0.019886140947098074
calibration,513,4,0.3,1,negative detour,0.0,0.0,0.44882044898663265,0.4496104778464008,0.9982428593222464,0.375,0.001757140677753598
calibration,513,4,0.3,1,oscillatory detour,0.0,0.0,0.3150976263075889,0.4764544431400884,0.6613384151293203,0.125,0.013559749310141925
calibration,513,4,0.3,1,positive detour,0.0,0.0,0.4492037871457841,0.4499931416334419,0.9982458521816743,0.375,0.0017541478183256845
calibration,513,4,0.3,1,pseudo-stochastic bridge,0.0,0.0,0.4006226410556662,0.4559334429083351,0.8786866751869546,0.375,0.013830523368768992
calibration,513,4,0.3,2,back-loaded,0.0,0.0,0.3078015788452646,0.37512796022116746,0.8205242250238861,0.25,0.019886127302457667
calibration,513,4,0.3,2,early burst,0.0,0.0,0.5146388487911255,0.5173296589294935,0.9947986547998504,0.375,0.005201345200149534
calibration,513,4,0.3,2,front-loaded,0.0,0.0,0.30780157919985607,0.3751278381798933,0.8205244929123314,0.25,0.019886140947098074
calibration,513,4,0.3,2,negative detour,0.0,0.0,0.44882044898663265,0.4496104778464008,0.9982428593222464,0.375,0.001757140677753598
calibration,513,4,0.3,2,oscillatory detour,0.0,0.0,0.3150976263075889,0.4764544431400884,0.6613384151293203,0.125,0.013559749310141925
calibration,513,4,0.3,2,positive detour,0.0,0.0,0.4492037871457841,0.4499931416334419,0.9982458521816743,0.375,0.0017541478183256845
calibration,513,4,0.3,2,pseudo-stochastic bridge,2.220446049250313e-16,0.0,0.5059454662017006,0.5059454662017006,1.0,0.375,0.010100252846033877
calibration,513,6,0.18,0,back-loaded,0.0,0.0,0.4591489259663009,0.4695300582385228,0.977890377644474,0.25,0.022109622355526007
calibration,513,6,0.18,0,early burst,0.0,0.0,0.42908070391819686,0.5084651550260132,0.8438743533885719,0.125,0.03170461171349063
calibration,513,6,0.18,0,front-loaded,0.0,0.0,0.4591489265229893,0.4695385725259915,0.9778726464428498,0.25,0.02212735355715023
calibration,513,6,0.18,0,negative detour,0.0,0.0,0.400385413656679,0.4047443330301357,0.9892304375435638,0.375,0.002302373080566901
calibration,513,6,0.18,0,oscillatory detour,0.0,0.0,0.2786544343584769,0.46175470127493423,0.6034685377086454,0.125,0.012541028287984205
calibration,513,6,0.18,0,positive detour,0.0,0.0,0.4003854133851197,0.4047580354870488,0.9891969480070544,0.375,0.002273729170076605
calibration,513,6,0.18,0,pseudo-stochastic bridge,0.0,0.0,0.2564756965801508,0.4853644863855284,0.5284187528636579,0.125,0.013565774473842919
calibration,513,6,0.18,1,back-loaded,0.0,0.0,0.4591489259663009,0.4695300582385228,0.977890377644474,0.25,0.022109622355526007
calibration,513,6,0.18,1,early burst,0.0,0.0,0.42908070391819686,0.5084651550260132,0.8438743533885719,0.125,0.03170461171349063
calibration,513,6,0.18,1,front-loaded,0.0,0.0,0.4591489265229893,0.4695385725259915,0.9778726464428498,0.25,0.02212735355715023
calibration,513,6,0.18,1,negative detour,0.0,0.0,0.400385413656679,0.4047443330301357,0.9892304375435638,0.375,0.002302373080566901
calibration,513,6,0.18,1,oscillatory detour,0.0,0.0,0.2786544343584769,0.46175470127493423,0.6034685377086454,0.125,0.012541028287984205
calibration,513,6,0.18,1,positive detour,0.0,0.0,0.4003854133851197,0.4047580354870488,0.9891969480070544,0.375,0.002273729170076605
calibration,513,6,0.18,1,pseudo-stochastic bridge,4.440892098500626e-16,0.0,0.5459715999284412,0.5717101380967523,0.9549797415627511,0.125,0.0066806434105910854
calibration,513,6,0.18,2,back-loaded,0.0,0.0,0.4591489259663009,0.4695300582385228,0.977890377644474,0.25,0.022109622355526007
calibration,513,6,0.18,2,early burst,0.0,0.0,0.42908070391819686,0.5084651550260132,0.8438743533885719,0.125,0.03170461171349063
calibration,513,6,0.18,2,front-loaded,0.0,0.0,0.4591489265229893,0.4695385725259915,0.9778726464428498,0.25,0.02212735355715023
calibration,513,6,0.18,2,negative detour,0.0,0.0,0.400385413656679,0.4047443330301357,0.9892304375435638,0.375,0.002302373080566901
calibration,513,6,0.18,2,oscillatory detour,0.0,0.0,0.2786544343584769,0.46175470127493423,0.6034685377086454,0.125,0.012541028287984205
calibration,513,6,0.18,2,positive detour,0.0,0.0,0.4003854133851197,0.4047580354870488,0.9891969480070544,0.375,0.002273729170076605
calibration,513,6,0.18,2,pseudo-stochastic bridge,0.0,0.0,0.4267364808076776,0.43141971728564604,0.9891445933268098,0.5,0.010855406673190179
calibration,513,6,0.3,0,back-loaded,0.0,0.0,0.4591489259663009,0.4695300582385228,0.977890377644474,0.25,0.022109622355526007
calibration,513,6,0.3,0,early burst,0.0,0.0,0.42908070391819686,0.5084651550260132,0.8438743533885719,0.125,0.03170461171349063
calibration,513,6,0.3,0,front-loaded,0.0,0.0,0.4591489265229893,0.4695385725259915,0.9778726464428498,0.25,0.02212735355715023
calibration,513,6,0.3,0,negative detour,0.0,0.0,0.46997718337926514,0.5234421120974276,0.8978589466102965,0.375,0.025852618534849263
calibration,513,6,0.3,0,oscillatory detour,0.0,0.0,0.4184018138606878,0.5622447820990696,0.7441630890706317,0.125,0.01803421875805894
calibration,513,6,0.3,0,positive detour,0.0,0.0,0.4699771853992887,0.5205832784261635,0.9027896301627897,0.375,0.02596304667525641
calibration,513,6,0.3,0,pseudo-stochastic bridge,0.0,0.0,0.4179290537700915,0.5536905958072617,0.7548061262640111,0.25,0.00603536883425332
calibration,513,6,0.3,1,back-loaded,0.0,0.0,0.4591489259663009,0.4695300582385228,0.977890377644474,0.25,0.022109622355526007
calibration,513,6,0.3,1,early burst,0.0,0.0,0.42908070391819686,0.5084651550260132,0.8438743533885719,0.125,0.03170461171349063
calibration,513,6,0.3,1,front-loaded,0.0,0.0,0.4591489265229893,0.4695385725259915,0.9778726464428498,0.25,0.02212735355715023
calibration,513,6,0.3,1,negative detour,0.0,0.0,0.46997718337926514,0.5234421120974276,0.8978589466102965,0.375,0.025852618534849263
calibration,513,6,0.3,1,oscillatory detour,0.0,0.0,0.4184018138606878,0.5622447820990696,0.7441630890706317,0.125,0.01803421875805894
calibration,513,6,0.3,1,positive detour,0.0,0.0,0.4699771853992887,0.5205832784261635,0.9027896301627897,0.375,0.02596304667525641
calibration,513,6,0.3,1,pseudo-stochastic bridge,4.440892098500626e-16,0.0,0.42713332487777084,0.49670238031914726,0.8599381476757247,0.375,0.029734131140322848
calibration,513,6,0.3,2,back-loaded,0.0,0.0,0.4591489259663009,0.4695300582385228,0.977890377644474,0.25,0.022109622355526007
calibration,513,6,0.3,2,early burst,0.0,0.0,0.42908070391819686,0.5084651550260132,0.8438743533885719,0.125,0.03170461171349063
calibration,513,6,0.3,2,front-loaded,0.0,0.0,0.4591489265229893,0.4695385725259915,0.9778726464428498,0.25,0.02212735355715023
calibration,513,6,0.3,2,negative detour,0.0,0.0,0.46997718337926514,0.5234421120974276,0.8978589466102965,0.375,0.025852618534849263
calibration,513,6,0.3,2,oscillatory detour,0.0,0.0,0.4184018138606878,0.5622447820990696,0.7441630890706317,0.125,0.01803421875805894
calibration,513,6,0.3,2,positive detour,0.0,0.0,0.4699771853992887,0.5205832784261635,0.9027896301627897,0.375,0.02596304667525641
calibration,513,6,0.3,2,pseudo-stochastic bridge,4.440892098500626e-16,0.0,0.4785389245776152,0.5803845746201237,0.8245204050966223,0.25,0.020987703853523408
calibration,1025,2,0.18,0,back-loaded,0.0,0.0,0.09579527305194163,0.11457225788304197,0.8361122912470808,0.125,0.0198134451886914
calibration,1025,2,0.18,0,early burst,0.0,0.0,0.2838607800719388,0.42034412489217426,0.6753056918417836,0.375,0.005631560320924502
calibration,1025,2,0.18,0,front-loaded,0.0,0.0,0.0957952730874937,0.13095695929328463,0.7315019652598638,0.25,0.017334652723282898
calibration,1025,2,0.18,0,negative detour,0.0,0.0,0.06925556043749373,0.14283593148855098,0.48486091500754425,0.125,0.00833200729322713
calibration,1025,2,0.18,0,oscillatory detour,0.0,0.0,0.04900769455131011,0.11908544350852958,0.41153387943506214,0.25,0.009949829563072495
calibration,1025,2,0.18,0,positive detour,0.0,0.0,0.06925556040955962,0.13290775567608876,0.5210799028037405,0.375,0.008954404503498
calibration,1025,2,0.18,0,pseudo-stochastic bridge,0.0,0.0,0.08840847155514242,0.205032196433324,0.43119311548658484,0.25,0.012429201436714934
calibration,1025,2,0.18,1,back-loaded,0.0,0.0,0.09579527305194163,0.11457225788304197,0.8361122912470808,0.125,0.0198134451886914
calibration,1025,2,0.18,1,early burst,0.0,0.0,0.2838607800719388,0.42034412489217426,0.6753056918417836,0.375,0.005631560320924502
calibration,1025,2,0.18,1,front-loaded,0.0,0.0,0.0957952730874937,0.13095695929328463,0.7315019652598638,0.25,0.017334652723282898
calibration,1025,2,0.18,1,negative detour,0.0,0.0,0.06925556043749373,0.14283593148855098,0.48486091500754425,0.125,0.00833200729322713
calibration,1025,2,0.18,1,oscillatory detour,0.0,0.0,0.04900769455131011,0.11908544350852958,0.41153387943506214,0.25,0.009949829563072495
calibration,1025,2,0.18,1,positive detour,0.0,0.0,0.06925556040955962,0.13290775567608876,0.5210799028037405,0.375,0.008954404503498
calibration,1025,2,0.18,1,pseudo-stochastic bridge,1.1102230246251565e-16,0.0,0.10033099452764944,0.17154702298699467,0.5848600155262137,0.125,0.021320308840343957
calibration,1025,2,0.18,2,back-loaded,0.0,0.0,0.09579527305194163,0.11457225788304197,0.8361122912470808,0.125,0.0198134451886914
calibration,1025,2,0.18,2,early burst,0.0,0.0,0.2838607800719388,0.42034412489217426,0.6753056918417836,0.375,0.005631560320924502
calibration,1025,2,0.18,2,front-loaded,0.0,0.0,0.0957952730874937,0.13095695929328463,0.7315019652598638,0.25,0.017334652723282898
calibration,1025,2,0.18,2,negative detour,0.0,0.0,0.06925556043749373,0.14283593148855098,0.48486091500754425,0.125,0.00833200729322713
calibration,1025,2,0.18,2,oscillatory detour,0.0,0.0,0.04900769455131011,0.11908544350852958,0.41153387943506214,0.25,0.009949829563072495
calibration,1025,2,0.18,2,positive detour,0.0,0.0,0.06925556040955962,0.13290775567608876,0.5210799028037405,0.375,0.008954404503498
calibration,1025,2,0.18,2,pseudo-stochastic bridge,0.0,0.0,0.03586728635775308,0.08499773200101637,0.4219793341935782,0.125,0.0011817321696318934
calibration,1025,2,0.3,0,back-loaded,0.0,0.0,0.09579527305194163,0.11457225788304197,0.8361122912470808,0.125,0.0198134451886914
calibration,1025,2,0.3,0,early burst,0.0,0.0,0.2838607800719388,0.42034412489217426,0.6753056918417836,0.375,0.005631560320924502
calibration,1025,2,0.3,0,front-loaded,0.0,0.0,0.0957952730874937,0.13095695929328463,0.7315019652598638,0.25,0.017334652723282898
calibration,1025,2,0.3,0,negative detour,0.0,0.0,0.1729320978571684,0.3354854534913741,0.515468244770305,0.125,0.006815030132935908
calibration,1025,2,0.3,0,oscillatory detour,0.0,0.0,0.12184964188513447,0.25530453531876135,0.4772717481614601,0.25,0.01063785310245202
calibration,1025,2,0.3,0,positive detour,0.0,0.0,0.17293209785244956,0.31465535946870155,0.5495920938529285,0.375,0.007266180975219735
calibration,1025,2,0.3,0,pseudo-stochastic bridge,1.1102230246251565e-16,0.0,0.2662655376662381,0.5342006222848942,0.49843734087646985,0.125,0.021389797827556657
calibration,1025,2,0.3,1,back-loaded,0.0,0.0,0.09579527305194163,0.11457225788304197,0.8361122912470808,0.125,0.0198134451886914
calibration,1025,2,0.3,1,early burst,0.0,0.0,0.2838607800719388,0.42034412489217426,0.6753056918417836,0.375,0.005631560320924502
calibration,1025,2,0.3,1,front-loaded,0.0,0.0,0.0957952730874937,0.13095695929328463,0.7315019652598638,0.25,0.017334652723282898
calibration,1025,2,0.3,1,negative detour,0.0,0.0,0.1729320978571684,0.3354854534913741,0.515468244770305,0.125,0.006815030132935908
calibration,1025,2,0.3,1,oscillatory detour,0.0,0.0,0.12184964188513447,0.25530453531876135,0.4772717481614601,0.25,0.01063785310245202
calibration,1025,2,0.3,1,positive detour,0.0,0.0,0.17293209785244956,0.31465535946870155,0.5495920938529285,0.375,0.007266180975219735
calibration,1025,2,0.3,1,pseudo-stochastic bridge,0.0,0.0,0.11365542511053373,0.28021588031493966,0.40559951485545487,0.125,0.01253876941819168
calibration,1025,2,0.3,2,back-loaded,0.0,0.0,0.09579527305194163,0.11457225788304197,0.8361122912470808,0.125,0.0198134451886914
calibration,1025,2,0.3,2,early burst,0.0,0.0,0.2838607800719388,0.42034412489217426,0.6753056918417836,0.375,0.005631560320924502
calibration,1025,2,0.3,2,front-loaded,0.0,0.0,0.0957952730874937,0.13095695929328463,0.7315019652598638,0.25,0.017334652723282898
calibration,1025,2,0.3,2,negative detour,0.0,0.0,0.1729320978571684,0.3354854534913741,0.515468244770305,0.125,0.006815030132935908
calibration,1025,2,0.3,2,oscillatory detour,0.0,0.0,0.12184964188513447,0.25530453531876135,0.4772717481614601,0.25,0.01063785310245202
calibration,1025,2,0.3,2,positive detour,0.0,0.0,0.17293209785244956,0.31465535946870155,0.5495920938529285,0.375,0.007266180975219735
calibration,1025,2,0.3,2,pseudo-stochastic bridge,0.0,0.0,0.11519065936344709,0.16667776864513836,0.6910979208552476,0.125,0.0008579923180647271
calibration,1025,4,0.18,0,back-loaded,0.0,0.0,0.30297359889101394,0.3721892452621117,0.8140310413258902,0.25,0.02030317086901602
calibration,1025,4,0.18,0,early burst,0.0,0.0,0.512839712988713,0.5151693432652915,0.9954779330194365,0.375,0.004522066980563406
calibration,1025,4,0.18,0,front-loaded,0.0,0.0,0.3029735989086187,0.3721892371964072,0.814031059014039,0.25,0.020303171794511767
calibration,1025,4,0.18,0,negative detour,0.0,0.0,0.2319851889697989,0.4089861218459685,0.5672201978950491,0.375,0.0059304980674839995
calibration,1025,4,0.18,0,oscillatory detour,0.0,0.0,0.16294386242870382,0.3364748120268574,0.48426763788695615,0.25,0.01025028756238081
calibration,1025,4,0.18,0,positive detour,0.0,0.0,0.23198518896595613,0.40747767450790706,0.5693199983192072,0.375,0.005952452271993184
calibration,1025,4,0.18,0,pseudo-stochastic bridge,0.0,0.0,0.22242144500830727,0.4157306272556737,0.5350133726652725,0.25,0.010502240472737496
calibration,1025,4,0.18,1,back-loaded,0.0,0.0,0.30297359889101394,0.3721892452621117,0.8140310413258902,0.25,0.02030317086901602
calibration,1025,4,0.18,1,early burst,0.0,0.0,0.512839712988713,0.5151693432652915,0.9954779330194365,0.375,0.004522066980563406
calibration,1025,4,0.18,1,front-loaded,0.0,0.0,0.3029735989086187,0.3721892371964072,0.814031059014039,0.25,0.020303171794511767
calibration,1025,4,0.18,1,negative detour,0.0,0.0,0.2319851889697989,0.4089861218459685,0.5672201978950491,0.375,0.0059304980674839995
calibration,1025,4,0.18,1,oscillatory detour,0.0,0.0,0.16294386242870382,0.3364748120268574,0.48426763788695615,0.25,0.01025028756238081
calibration,1025,4,0.18,1,positive detour,0.0,0.0,0.23198518896595613,0.40747767450790706,0.5693199983192072,0.375,0.005952452271993184
calibration,1025,4,0.18,1,pseudo-stochastic bridge,0.0,0.0,0.14905726326051816,0.23223056851837162,0.6418503137270076,0.25,0.0048666875479215325
calibration,1025,4,0.18,2,back-loaded,0.0,0.0,0.30297359889101394,0.3721892452621117,0.8140310413258902,0.25,0.02030317086901602
calibration,1025,4,0.18,2,early burst,0.0,0.0,0.512839712988713,0.5151693432652915,0.9954779330194365,0.375,0.004522066980563406
calibration,1025,4,0.18,2,front-loaded,0.0,0.0,0.3029735989086187,0.3721892371964072,0.814031059014039,0.25,0.020303171794511767
calibration,1025,4,0.18,2,negative detour,0.0,0.0,0.2319851889697989,0.4089861218459685,0.5672201978950491,0.375,0.0059304980674839995
calibration,1025,4,0.18,2,oscillatory detour,0.0,0.0,0.16294386242870382,0.3364748120268574,0.48426763788695615,0.25,0.01025028756238081
calibration,1025,4,0.18,2,positive detour,0.0,0.0,0.23198518896595613,0.40747767450790706,0.5693199983192072,0.375,0.005952452271993184
calibration,1025,4,0.18,2,pseudo-stochastic bridge,0.0,0.0,0.3929987444438693,0.43886930172369387,0.8954801415827802,0.125,0.02174788665017865
calibration,1025,4,0.3,0,back-loaded,0.0,0.0,0.30297359889101394,0.3721892452621117,0.8140310413258902,0.25,0.02030317086901602
calibration,1025,4,0.3,0,early burst,0.0,0.0,0.512839712988713,0.5151693432652915,0.9954779330194365,0.375,0.004522066980563406
calibration,1025,4,0.3,0,front-loaded,0.0,0.0,0.3029735989086187,0.3721892371964072,0.814031059014039,0.25,0.020303171794511767
calibration,1025,4,0.3,0,negative detour,0.0,0.0,0.44590154437511376,0.4465932684586724,0.9984511094716093,0.375,0.0015488905283906592
calibration,1025,4,0.3,0,oscillatory detour,0.0,0.0,0.3118890130180863,0.47535750358478424,0.6561146309168508,0.25,0.012463715246766234
calibration,1025,4,0.3,0,positive detour,0.0,0.0,0.44590154435113494,0.4465932685564486,0.9984511091993178,0.375,0.001548890800682158
calibration,1025,4,0.3,0,pseudo-stochastic bridge,2.220446049250313e-16,0.0,0.5122654199329287,0.5426060948608843,0.9440834240246888,0.25,0.02102217128850183
calibration,1025,4,0.3,1,back-loaded,0.0,0.0,0.30297359889101394,0.3721892452621117,0.8140310413258902,0.25,0.02030317086901602
calibration,1025,4,0.3,1,early burst,0.0,0.0,0.512839712988713,0.5151693432652915,0.9954779330194365,0.375,0.004522066980563406
calibration,1025,4,0.3,1,front-loaded,0.0,0.0,0.3029735989086187,0.3721892371964072,0.814031059014039,0.25,0.020303171794511767
