medium,event,child_cross_relative_row,child_handover_before,child_handover_after,child_x_S_at_cross,child_x_F_at_cross,history_x_R_near_event,history_reclose_relative_row
dry,1,0,0.7670208930618724,1.0901747246509619,1.6275364928361036,1.751929454832498,1.8496524230611813,143.0
dry,2,3,0.972844453502873,1.0126669674648316,1.8252341143900594,1.8464087602965322,1.551096325612248,143.0
dry,3,5,0.9915853251070434,1.0169354228806595,1.8699985245380621,1.899973753554606,1.9999999999995808,143.0
dry,4,7,0.9999584387838061,1.0190441697841381,1.909493532122418,1.9448071491269745,1.999999999999821,143.0
dry,5,7,0.9952805975138856,1.0156178048381563,1.9053539846159635,1.9340819358338432,1.9999999999997224,143.0
dry,6,6,0.9829383079873375,1.003218905882869,1.940412953614464,1.9464867060292752,1.999999999999776,143.0
dry,7,4,0.974620055627992,1.00048755599243,1.9113758906971523,1.9122650177501064,1.999999999999824,143.0
dry,8,4,0.9926274845487068,1.0195212127065028,1.8767466647765159,1.9116585024513801,1.3831990193134127,143.0
dry,9,2,0.974766405179312,1.0109109651420969,1.8878178101245364,1.907405428301283,1.6935105795467411,143.0
dry,10,3,0.9988721454379761,1.0262330594851459,1.8725348996966216,1.9195466824431278,1.7230142023924635,143.0
fluid,1,-9,0.9983301245367132,1.006098278977166,1.7474984125648219,1.7566712588501021,1.994921016701479,111.0
fluid,2,-2,0.999133526201304,1.0041106732582605,1.8618976912834009,1.8690128991599764,1.9932233863004865,111.0
fluid,3,0,0.9836344537717213,1.0114255591237846,1.958839047498105,1.9810028255089402,1.995113447808405,127.0
fluid,4,5,0.9932665554810037,1.0036250482802398,1.9817400300864685,1.9888836360182813,1.985578901421802,127.0
fluid,5,10,0.9960777268096527,1.0006658093071603,1.9917070535198724,1.9930285089296034,1.999999999999985,143.0
