gate,passed,detail,value,threshold
G1 potential orientation,True,"{""periodic rational x_P < 0.75"": true, ""finite stochastic x_P < 0.75"": true, ""irrational rotation x_P > 1.25"": true, ""deterministic chaos x_P > 1.25"": true, ""continuous stochastic x_P > 1.25"": true}",,
G2 residual orientation,True,"{""periodic rational x_R < 0.75"": true, ""irrational rotation x_R < 0.75"": true, ""deterministic chaos x_R < 1.25"": true, ""finite stochastic x_R > 1.25"": true, ""continuous stochastic x_R > 1.25"": true}",,
G3 broad-sector recovery,True,,0.9565217391304348,0.85
G4 closure independence,True,"{""periodic median rho > 0.90"": true, ""irrational median rho > 0.90"": true, ""chaos median rho < 0.25"": true, ""finite stochastic median rho < 0.25"": true, ""continuous stochastic median rho < 0.25"": true, ""periodic exact closure share >= 0.95"": true, ""irrational no exact closure share >= 0.95"": true, ""irrational miss improvement share >= 0.80"": true}",1.0,
G5 order-destruction control,True,"{""periodic rational delta x_R >= 0.50"": true, ""periodic rational abs delta x_P < 0.10"": true, ""irrational rotation delta x_R >= 0.50"": true, ""irrational rotation abs delta x_P < 0.10"": true, ""deterministic chaos delta x_R >= 0.50"": true, ""deterministic chaos abs delta x_P < 0.10"": true, ""periodic rational rho drop >= 0.50"": true, ""irrational rotation rho drop >= 0.50"": true}",,
