record,evidence_role,stress_samples,ae_events_total,ae_events_synchronized,failure_time_s,acoustic_associated,acoustic_lead_s,acoustic_false_bouts,acoustic_total_bouts,bulk_associated,bulk_lead_s,bulk_false_bouts,bulk_total_bouts,real_error_s,pseudo_median_error_s,pseudo_zero_share
Wgn23,primary holdout,25399,16383,11621,5334.3994,True,0.5976000000000568,31,32,False,,49,49,0.0,0.0,0.543
Wgn20,disclosed development,25140,13388,6070,4993.54,True,0.09959999999955471,45,46,True,7.171800000000076,63,65,0.0,0.0,0.678
