identity,family,delta_r_ohm,pair,condition,x_p,x_r,local_loss,null_loss,cycle_rho,cycle_miss_signed,cycle_miss_abs,best_rho,best_lag,best_miss_abs,orientation,windows,closure_share,coherent_nonclosure_share
coupled_0,coupled,0.0,1,chronological,1.1802886550113736,1.41854643369902,0.3073321580244319,0.45370808926948064,0.43783714060189216,0.006789756709016411,0.03536643047278883,0.8222755061146073,1.0,0.01222722568033216,0.006420561999978196,52,0.0,0.0
coupled_0,coupled,0.0,1,reversed,1.1802886550113736,1.5184241859096979,0.32965120926796354,0.46103524121327044,0.43783714060189216,-0.0067897567090164125,0.03536643047278884,0.8222755061146074,1.0,0.01222722568033216,-0.006420561999978196,52,0.0,0.0
coupled_0,coupled,0.0,1,shuffled,1.1802886550113736,2.0,0.532842629184032,0.4064713228239478,0.4132402492849151,0.0022767890124505597,0.03526465610485428,0.5672633363891673,8.5,0.020333585998009825,-0.003025156468695276,52,0.0,0.0
coupled_0,coupled,0.0,1,wrong_record,1.211258631577976,1.568642747539338,0.3697040999532305,0.4234419094405628,0.4398760899807851,0.020367645311066843,0.03221719941528156,0.8111761957922723,1.0,0.009885012977411053,0.0031402988953154083,52,0.019230769230769232,0.0
coupled_0,coupled,0.0,2,chronological,1.2200273342570895,1.4794342216832674,0.36230766979230233,0.49079217299879846,0.41212882620642666,0.008010436851199404,0.028616799213590522,0.8327483861362844,1.0,0.008381272511628105,0.0012063874807647665,57,0.03508771929824561,0.017543859649122806
coupled_0,coupled,0.0,2,reversed,1.2200273342570895,1.4994827096073304,0.2967299733060524,0.4290034245136513,0.41212882620642666,-0.008010436851199404,0.02861679921359052,0.8327483861362842,1.0,0.008381272511628112,-0.0012063874807647682,57,0.03508771929824561,0.017543859649122806
coupled_0,coupled,0.0,2,shuffled,1.2200273342570895,2.0,0.4667468321021241,0.3978303223850972,0.41941699089636747,0.00025904849308708674,0.025563868853335937,0.6304358777366256,11.0,0.01876830378006897,0.0033976490542848544,57,0.05263157894736842,0.0
coupled_0,coupled,0.0,2,wrong_record,1.177793737522251,1.804304632297489,0.3522444379450278,0.44510898750249733,0.4248776469794547,-0.007321957403874688,0.030917497136094384,0.817868972335483,1.0,0.00981084382005454,0.003418058708871773,57,0.03508771929824561,0.0
coupled_0,coupled,0.0,3,chronological,1.1591718566439546,1.6903239566594193,0.3479071941152301,0.4367316411576194,0.42051499889504074,0.010291762536997305,0.03506685428213969,0.810524998743808,1.0,0.010796731338785365,0.004865586070019828,57,0.03508771929824561,0.0
coupled_0,coupled,0.0,3,reversed,1.1591718566439546,1.6980710839780808,0.315697561838544,0.4496009796283948,0.42051499889504074,-0.010291762536997307,0.035066854282139695,0.810524998743808,1.0,0.010796731338785366,-0.004865586070019829,57,0.03508771929824561,0.0
coupled_0,coupled,0.0,3,shuffled,1.1591718566439546,2.0,0.5189830096902184,0.4029318849353709,0.3882987405504633,-0.006391644547996558,0.024427972303700002,0.6043350859675152,12.0,0.02043551235938007,0.004759331364064015,57,0.03508771929824561,0.0
coupled_0,coupled,0.0,3,wrong_record,1.1569269691115038,1.5261536440803583,0.28743359049280687,0.4571323810703959,0.4166731230313479,0.0073624639561961636,0.03442378139390197,0.8255419387057175,1.0,0.009895952548896995,0.003210217220921376,57,0.03508771929824561,0.0
coupled_0,coupled,0.0,4,chronological,1.1676569497178961,1.4534301659952813,0.273674495660957,0.4495870000246713,0.44666997676487796,0.01421165163339823,0.03263917252336281,0.8104849106779843,1.0,0.010081295347928124,0.006760620948540247,53,0.05660377358490566,0.0
coupled_0,coupled,0.0,4,reversed,1.1676569497178961,1.5663615867677767,0.31447094267401887,0.4066541190862522,0.4466699767648779,-0.014211651633398235,0.032639172523362806,0.8104849106779843,1.0,0.010081295347928128,-0.006760620948540251,53,0.05660377358490566,0.0
coupled_0,coupled,0.0,4,shuffled,1.1676569497178961,2.0,0.44574564152911794,0.34749677249021693,0.42131870745944516,-0.0026827440950320624,0.018918223143479424,0.588554892265381,8.0,0.02298488955003883,0.0030627189420249228,53,0.03773584905660377,0.0
