method,RMSE,MAE,direction_agreement
two_axis_directional,0.7577366172157459,0.6065144533900034,0.5277216610549944
direction_blind,0.7571627302793265,0.6159809074001387,0.49696969696969695
connection_only,0.7377028040801092,0.6031969329951556,0.49135802469135803
movement_only,0.7562244350153702,0.6050606891211212,0.5261503928170594
wrong_pair,0.7437780651248407,0.5947316902136622,0.5358024691358024
persistence,1.0103941856318823,0.8211996401417272,0.458361391694725
