identity,family,delta_r_ohm,condition,x_p,x_r,local_loss,null_loss,cycle_rho,cycle_miss_signed,cycle_miss_abs,best_rho,best_lag,best_miss_abs,orientation,pairs,pair_closure_share,pair_coherent_nonclosure_share,x_p_q25,x_r_q25,local_loss_q25,null_loss_q25,cycle_rho_q25,cycle_miss_signed_q25,cycle_miss_abs_q25,best_rho_q25,best_lag_q25,best_miss_abs_q25,orientation_q25,x_p_q75,x_r_q75,local_loss_q75,null_loss_q75,cycle_rho_q75,cycle_miss_signed_q75,cycle_miss_abs_q75,best_rho_q75,best_lag_q75,best_miss_abs_q75,orientation_q75
coupled_0,coupled,0.0,chronological,1.7141371736342068,0.019098309822039104,0.009452953248929067,0.9964786123981448,0.9970757341507278,0.07673482140603011,0.07673482140603011,0.9998978378813654,1.0,0.13463080678898193,0.13456788282322402,40,0.0,0.9,1.670965391110316,0.016046418892504966,0.008009923470567832,0.9954311815757555,0.9592950795428564,0.07514683639685366,0.07514683639685366,0.9993894375424197,1.0,0.13451470373797564,0.13446536381776783,1.7509775004326928,0.0265842113572687,0.013303408789269305,0.9977327174514654,0.9988878292580202,0.07798150686385115,0.07798150686385115,0.9999654189757954,16.0,0.13765220913813794,0.13471559236236733
coupled_0,coupled,0.0,reversed,1.7141371736342068,0.018978225192579603,0.009381472014715238,0.9959706515230422,0.9970757341507278,-0.07673482140603012,0.07673482140603012,0.9998978378813654,1.0,0.13463080678898193,-0.13456788282322402,40,0.0,0.9,1.670965391110316,0.015524741999490976,0.007733627019083174,0.9939841201943681,0.9592950795428564,-0.07798150686385115,0.07514683639685366,0.9993894375424197,1.0,0.13451470373797564,-0.13471559236236733,1.7509775004326928,0.027870007459959104,0.014041244061950163,0.9969713768487968,0.9988878292580201,-0.07514683639685366,0.07798150686385115,0.9999654189757956,16.0,0.13765220913813794,-0.1344653638177678
coupled_0,coupled,0.0,shuffled,1.7141371736342068,1.8348173911419714,1.0401854694238564,1.125006858873763,0.16927623389190655,-0.015570760233474623,0.2992521614475119,0.3731543161660839,12.0,0.3175815638989474,0.02892308811833217,40,0.0,0.0,1.670965391110316,1.7826438989928375,0.9975122509768015,1.1008277165680471,0.1521418255380083,-0.08505286756200968,0.26743909626699314,0.3634399108248923,10.0,0.27615682947926656,-0.11150055916496808,1.7509775004326928,1.8825745141198904,1.0814829793274017,1.1443634120671609,0.19233605796692216,0.08430436104658763,0.3216358081901713,0.3860694057750585,13.0,0.3475896990428196,0.09027346237523239
coupled_0,coupled,0.0,wrong_record,1.7141371736342068,0.01867828296214054,0.009288739984697193,0.9981325280161781,0.9963326058453889,0.07517469007060101,0.07517469007060101,0.999871533267465,1.0,0.13438925107308244,0.13429212837621962,40,0.0,0.9,1.6518428688857052,0.013443364476363663,0.006693717022416331,0.9964995376888869,0.9569737216774621,0.07294767049134798,0.07294767049134798,0.9992417346368034,1.0,0.13419521880135857,0.13410737881342086,1.7370110897739706,0.02597706189202787,0.013010562717064167,0.9990731579403448,0.9983493658521083,0.07716024358034518,0.07716024358034518,0.9999542779708579,16.0,0.13476796835244292,0.1345249644537994
coupled_100,coupled,100.0,chronological,1.4743782540330743,0.018776075153303158,0.009035033922923853,0.947507640047544,0.9995209163418717,0.013763020812807215,0.013763020812807215,0.999983217016199,1.0,0.1267071909571901,0.12676199338213817,40,1.0,0.0,1.4214227254265408,0.016888821537595647,0.008113384322653489,0.9464445347113888,0.9993591752532536,0.012121840472375339,0.012121840472375339,0.999978494863601,1.0,0.1265886603490748,0.1265886603490748,1.5239052049655912,0.021265348904093706,0.01018911676658812,0.9484261720521028,0.9995894530289459,0.01451666901924605,0.01451666901924605,0.9999864889068479,1.0,0.12687430137605243,0.12689128141792716
coupled_100,coupled,100.0,reversed,1.4743782540330743,0.01809865725360786,0.008690651243054261,0.9486793185826321,0.9995209163418717,-0.013763020812807215,0.013763020812807215,0.9999832170161989,1.0,0.12670719095719007,-0.12676199338213814,40,1.0,0.0,1.4214227254265408,0.016042764299275574,0.00773423782307932,0.9473163466806193,0.9993591752532537,-0.014516669019246052,0.012121840472375335,0.999978494863601,1.0,0.12658866034907476,-0.12689128141792716,1.5239052049655912,0.020127072213941954,0.009690795065381464,0.9496725481761714,0.9995894530289459,-0.012121840472375335,0.014516669019246052,0.9999864889068479,1.0,0.12687430137605243,-0.12658866034907476
coupled_100,coupled,100.0,shuffled,1.4743782540330743,1.7965056124563126,1.0414616406452633,1.142775426829692,0.17167095959635237,0.016228425330377022,0.29779407428432514,0.37501145860106316,11.5,0.32558699693418414,-0.05677021385609712,40,0.0,0.0,1.4214227254265408,1.7625539500590708,1.0018304432307015,1.1324955112895876,0.14884203330131904,-0.10160905979244725,0.2675843990398374,0.361109069668629,11.0,0.2988811520333997,-0.13369202930585772,1.5239052049655912,1.8707738074206248,1.0659694535401698,1.1598641794409075,0.19444640597077134,0.10210040998321646,0.3211625591063609,0.38726137074308303,12.5,0.356046424945292,0.08131585234425998
coupled_100,coupled,100.0,wrong_record,1.73255733703345,0.011622515750586149,0.0055601505020702715,0.9545767244996851,0.9995732946465978,0.018796738461314317,0.018796738461314317,0.9999857395428386,1.0,0.12731527435716253,0.1273393001599895,40,1.0,0.0,1.7111761802281724,0.010881537408679668,0.005222551950791708,0.9531433424259431,0.9994434650376027,0.018332443219539453,0.018332443219539453,0.999982802638342,1.0,0.12721674012048748,0.12728473236736684,1.7509775004326928,0.012094139321628858,0.005831906407723252,0.9553367183221639,0.9996523925106426,0.019423825522633602,0.019423825522633602,0.9999882345674223,1.0,0.12737581429012523,0.12740630510808038
coupled_150,coupled,150.0,chronological,0.5999999999999995,0.06608088536166301,0.030918686740372105,0.9341867167992889,0.9996937161409059,0.0005144901192565822,0.001277252347119252,0.9999904179126409,1.0,0.12506227896108602,0.12505701946512637,40,1.0,0.0,0.5999999999999995,0.0615928989125359,0.028735712975872907,0.9336241936103611,0.9996411369508011,6.960188014050453e-05,0.0010855410085463721,0.9999887828693681,1.0,0.12501818712360613,0.12503244416864098,0.5999999999999995,0.0681337246694891,0.03176973966528739,0.9348919581585375,0.9997685492094172,0.0007970008851138665,0.00147603596060404,0.999992074721146,1.0,0.12508682500356166,0.1250879090899149
coupled_150,coupled,150.0,reversed,0.5999999999999995,0.06416857215410704,0.03000050534266514,0.933535556047661,0.9996937161409059,-0.0005144901192565823,0.0012772523471192522,0.9999904179126407,1.0,0.12506227896108602,-0.12505701946512637,40,1.0,0.0,0.5999999999999995,0.06099362304902384,0.028529704625335252,0.9332314974153894,0.9996411369508008,-0.0007970008851138665,0.0010855410085463721,0.9999887828693682,1.0,0.12501818712360613,-0.1250879090899149,0.5999999999999995,0.06781050853018908,0.03163530091148348,0.9340058598251704,0.9997685492094173,-6.960188014050452e-05,0.00147603596060404,0.9999920747211459,1.0,0.12508682500356164,-0.12503244416864098
coupled_150,coupled,150.0,shuffled,0.5999999999999995,1.8224089056072095,1.0630340546704502,1.1551153346185914,0.1741297222429189,-0.02508982841061482,0.2912203890427195,0.3803959184865081,12.0,0.32263707989575646,-0.029302732217100717,40,0.0,0.0,0.5999999999999995,1.7672184299571208,1.0198734886596144,1.1350904023472028,0.15614011327528363,-0.12037552827655289,0.25582398868528816,0.3656373447455512,10.0,0.2916686942614674,-0.1488495346811325,0.5999999999999995,1.9042818299830337,1.1085840500629311,1.1626172100410566,0.19876194356538718,0.10859910319906284,0.308981426023282,0.39718983498693805,13.0,0.35215216377825953,0.08839920791001199
