control,marker_time,handover_time,timing_error_s,parent_step
time_shuffle_000,7774.6783700000005,7760.14437,14.53400000000056,0.19731303729506375
time_shuffle_001,7774.6783700000005,7766.960370000001,7.717999999999847,0.167581570060401
time_shuffle_002,7774.6783700000005,7737.90437,36.77400000000034,0.18921951105098178
time_shuffle_003,7774.6783700000005,7746.89637,27.782000000000153,0.13709662411350304
time_shuffle_004,7774.6783700000005,7752.24037,22.438000000000102,0.19646557753982563
time_shuffle_005,7774.6783700000005,7756.656370000001,18.021999999999935,0.1403213864939315
time_shuffle_006,7774.6783700000005,7774.22437,0.454000000000633,0.1421621096845488
time_shuffle_007,7774.6783700000005,7759.120370000001,15.557999999999993,0.19563286481910813
time_shuffle_008,7774.6783700000005,7742.89637,31.782000000000153,0.13636966188555183
time_shuffle_009,7774.6783700000005,7758.9283700000005,15.75,0.21049348397882728
time_shuffle_010,7774.6783700000005,7756.30437,18.374000000000706,0.16315445502654852
time_shuffle_011,7774.6783700000005,7773.71237,0.9660000000003492,0.185196127794244
time_shuffle_012,7774.6783700000005,7768.91237,5.766000000000531,0.1710644456389003
time_shuffle_013,7774.6783700000005,7744.24037,30.438000000000102,0.1536627217776269
time_shuffle_014,7774.6783700000005,7737.10437,37.574000000000524,0.18888500378323347
time_shuffle_015,7774.6783700000005,7755.63237,19.046000000000276,0.16878991415203917
time_shuffle_016,7774.6783700000005,7743.37637,31.30200000000059,0.14899893522844176
time_shuffle_017,7774.6783700000005,7742.41637,32.262000000000626,0.20370401759415913
time_shuffle_018,7774.6783700000005,7755.63237,19.046000000000276,0.16241673959533595
time_shuffle_019,7774.6783700000005,7749.93637,24.74200000000019,0.19058634926864304
time_shuffle_020,7774.6783700000005,7760.20837,14.470000000000255,0.1547542535043968
time_shuffle_021,7774.6783700000005,7763.344370000001,11.333999999999833,0.18970937693678244
time_shuffle_022,7774.6783700000005,7760.52837,14.150000000000546,0.1597881722572408
time_shuffle_023,7774.6783700000005,7764.62437,10.054000000000087,0.18397077676668716
time_shuffle_024,7774.6783700000005,7759.24837,15.430000000000291,0.17732494712019337
time_shuffle_025,7774.6783700000005,7737.90437,36.77400000000034,0.1742610974920702
